source,destination,label
247,58,False
264,60,False
209,16,False
262,60,False
321,15,True
260,85,False
47,83,False
217,57,False
170,50,False
237,57,False
181,85,False
205,1,False
136,44,False
303,61,False
46,9,False
186,59,False
228,43,False
267,14,False
254,29,False
213,58,False
50,21,False
22,110,False
314,63,False
101,61,False
33,120,True
131,101,False
271,60,False
250,14,False
142,61,False
240,87,True
249,86,False
235,14,False
135,113,False
95,5,False
209,57,False
145,61,True
101,42,False
241,1,False
73,31,False
271,41,False
217,60,False
218,14,False
183,63,False
139,85,False
236,14,True
128,20,False
224,1,False
146,63,False
215,86,False
285,51,True
129,3,True
58,60,False
182,52,False
127,59,True
215,37,False
239,57,False
195,7,False
278,12,False
163,85,False
226,60,False
67,55,False
127,89,True
102,7,True
239,87,False
241,53,False
233,1,False
273,60,False
131,85,False
148,115,False
144,61,False
146,115,False
216,1,False
276,18,False
320,13,True
145,103,True
234,85,True
170,7,False
97,5,False
20,108,False
33,6,True
8,2,False
243,1,False
65,62,False
176,97,False
231,57,False
273,41,False
199,1,False
155,85,False
128,3,False
185,63,False
113,68,True
100,42,False
275,86,False
284,51,False
75,60,False
38,9,False
117,73,True
162,26,False
231,87,False
152,24,False
99,40,False
319,82,True
187,59,False
167,38,False
216,12,False
79,60,False
169,5,False
149,46,False
165,85,False
156,36,False
23,110,False
238,57,True
171,50,False
54,29,False
241,86,False
199,12,False
304,61,False
91,59,False
122,69,True
235,1,False
222,41,False
106,52,True
144,103,False
201,57,False
90,97,False
281,12,True
151,93,False
97,38,False
218,1,False
108,7,False
287,62,True
172,7,False
236,1,True
170,119,False
51,23,False
10,2,False
0,0,True
157,85,False
240,85,True
213,86,False
220,85,False
277,86,False
242,1,False
259,31,False
40,9,False
196,7,False
254,58,False
129,20,True
77,39,False
311,63,True
213,87,False
186,30,False
169,38,False
225,1,False
76,37,False
318,82,True
319,17,True
203,27,False
220,57,False
173,50,False
208,85,False
101,111,False
306,61,False
93,59,False
194,63,False
223,16,False
203,57,False
286,62,False
134,84,False
103,7,True
212,85,False
147,7,False
168,107,False
190,111,False
127,3,True
289,62,True
178,5,False
172,119,False
195,85,False
21,4,False
243,18,False
11,98,False
246,25,False
194,123,False
171,7,False
153,24,False
193,61,False
212,57,False
222,85,False
95,36,False
150,24,False
175,28,False
134,7,False
5,92,False
256,58,False
215,87,False
272,41,False
278,62,False
105,63,True
179,40,False
38,56,False
190,84,False
149,63,False
193,42,False
246,85,False
320,82,True
293,55,False
295,59,False
123,69,False
168,61,False
318,17,True
141,91,False
244,62,False
200,12,False
214,85,False
58,37,False
264,12,False
201,25,False
232,85,True
99,109,False
55,31,False
207,87,False
167,107,False
192,61,False
87,3,False
162,84,False
246,58,False
259,18,False
197,85,False
63,62,False
248,25,False
84,53,False
109,7,False
242,18,False
81,47,False
83,51,False
177,28,False
240,53,True
96,61,False
268,14,False
302,36,False
192,42,False
227,43,False
290,18,False
230,1,True
128,84,False
40,56,False
234,62,True
285,86,True
196,54,False
248,85,False
118,74,True
235,51,False
241,87,False
15,4,False
174,59,False
281,62,True
191,111,False
296,26,False
201,58,False
179,5,False
272,85,False
167,61,False
224,87,False
113,81,True
127,20,True
189,3,False
130,61,False
169,107,False
248,58,False
179,85,False
48,11,True
301,30,False
257,86,False
57,60,False
115,77,False
148,46,False
208,29,False
221,39,False
105,50,True
93,3,False
68,21,False
98,61,False
233,87,False
225,60,False
188,84,False
244,57,False
232,1,True
203,86,False
236,62,True
257,58,False
71,58,False
206,85,False
227,57,False
183,7,False
104,119,True
154,5,False
242,62,False
251,27,False
154,84,False
62,45,False
291,86,False
203,58,False
210,57,False
169,61,False
198,85,False
47,11,False
132,61,False
44,83,False
204,1,False
90,28,False
193,111,False
103,117,True
85,55,False
151,59,False
291,18,False
202,27,False
219,57,False
173,63,False
109,54,False
227,60,False
284,14,False
274,18,False
202,57,False
219,87,False
73,58,False
240,16,True
175,59,False
192,5,False
185,7,False
252,14,False
129,85,True
48,56,True
173,85,False
253,27,False
225,16,False
108,123,False
188,99,False
226,57,False
229,86,False
293,86,False
1,0,True
177,97,False
273,16,False
192,111,False
208,16,False
219,60,False
131,32,False
305,38,False
143,5,True
258,31,False
75,35,False
126,59,False
206,1,False
256,16,False
91,3,False
178,40,False
148,63,False
168,38,False
224,85,False
43,84,False
126,89,False
238,87,True
239,16,False
172,50,False
150,59,False
316,54,False
221,86,False
88,26,False
270,60,False
47,56,False
72,29,False
177,59,False
245,57,False
213,1,False
234,14,True
22,4,False
62,62,False
301,59,False
228,57,False
245,87,False
213,31,False
182,63,False
79,43,False
321,10,True
142,34,False
135,7,False
211,57,False
264,85,False
94,36,False
111,66,False
260,31,False
255,86,False
262,85,False
146,46,False
92,99,False
145,34,True
233,12,False
195,54,False
104,63,True
185,52,False
159,7,False
45,84,True
220,87,False
102,48,True
86,93,False
88,59,False
280,49,False
152,59,False
112,79,False
223,86,False
238,16,True
27,114,False
200,58,False
203,87,False
228,60,False
81,62,False
42,11,True
215,1,False
275,18,False
171,85,False
178,84,False
124,78,False
137,113,False
46,56,False
176,59,False
254,85,False
64,62,False
198,1,False
258,18,False
89,95,False
207,29,False
210,58,False
231,49,False
212,87,False
251,58,False
202,85,False
230,87,True
137,85,False
151,24,False
53,27,False
166,38,False
175,3,False
290,55,False
180,61,False
185,85,False
106,63,True
207,1,False
226,85,False
161,7,False
257,16,False
290,85,False
90,59,False
288,85,False
14,4,False
202,58,False
213,18,False
126,3,False
10,98,False
131,61,False
99,5,False
256,85,False
43,83,False
161,117,False
229,87,False
260,18,False
183,121,False
283,14,True
15,102,False
253,58,False
155,61,False
104,50,True
121,80,True
232,87,True
88,95,False
209,58,False
280,85,False
97,61,False
177,3,False
52,58,False
136,7,False
167,5,False
228,85,False
170,84,False
138,91,False
221,87,False
103,48,True
241,62,False
186,3,False
142,103,False
240,1,True
207,16,False
204,87,False
71,27,False
101,5,False
12,2,False
142,5,False
25,112,False
185,121,False
142,84,False
102,117,True
152,3,False
57,35,False
141,22,False
23,4,False
157,61,False
221,14,False
238,85,True
211,58,False
121,64,True
282,85,False
108,54,False
233,62,False
45,9,True
46,84,False
176,3,False
262,37,False
205,27,False
241,16,False
172,84,False
308,61,False
143,61,True
140,91,False
239,1,False
215,60,False
243,62,False
162,95,False
288,53,False
224,16,False
271,86,False
284,62,False
126,20,False
41,83,False
222,1,False
30,6,True
196,84,False
276,60,False
206,87,False
184,121,False
166,107,False
191,61,False
100,5,False
161,85,False
36,6,False
230,12,True
295,24,False
217,86,False
42,83,True
144,84,False
44,9,False
95,61,False
164,84,False
237,86,False
239,53,False
231,1,False
235,62,False
229,1,False
127,85,True
269,60,False
125,69,True
70,25,False
224,57,False
214,1,False
306,40,False
53,58,False
134,63,False
6,2,False
4,2,False
107,7,True
138,59,False
164,95,False
166,61,False
209,86,False
136,84,False
189,99,False
244,87,False
276,43,False
273,86,False
264,37,False
148,7,False
21,108,False
201,1,False
221,1,False
39,9,True
56,60,False
150,3,False
147,46,False
220,39,False
232,12,True
233,49,False
216,57,False
13,2,False
204,85,False
239,86,False
234,57,True
224,60,False
302,61,False
205,14,False
74,33,False
158,7,False
72,58,False
199,57,False
238,53,True
266,14,False
187,85,False
26,114,False
89,26,False
212,18,False
32,120,True
283,86,True
55,58,False
263,86,False
285,62,True
80,62,False
163,95,False
237,51,False
45,56,True
124,69,False
311,48,True
250,27,False
153,93,False
263,37,False
31,118,True
140,59,False
157,5,False
211,86,False
309,61,False
304,38,False
153,85,False
231,86,False
236,85,True
216,60,False
250,58,False
223,1,False
158,48,False
31,6,True
309,42,False
218,57,False
214,37,False
320,15,True
236,57,True
160,7,False
281,49,True
267,60,False
54,58,False
89,59,False
145,85,True
229,18,False
44,56,False
259,58,False
189,85,False
191,5,False
242,57,False
80,45,False
9,96,False
201,86,False
265,86,False
184,7,False
265,37,False
3,90,False
225,57,False
187,99,False
315,52,False
205,58,False
49,11,False
208,57,False
291,62,False
218,60,False
247,12,False
244,55,False
283,51,True
270,41,False
103,63,True
230,62,True
147,63,False
244,85,False
98,40,False
42,84,True
39,56,True
315,63,False
237,87,False
166,5,False
171,63,False
274,43,False
261,58,False
136,113,False
41,11,False
147,85,False
165,3,False
199,25,False
318,13,True
200,57,False
210,85,False
134,113,False
190,61,False
92,30,False
147,115,False
300,59,False
158,84,False
111,77,False
225,41,False
110,65,True
137,63,False
320,10,True
293,62,False
249,12,False
141,59,False
133,32,False
123,76,False
140,22,False
271,16,False
156,61,False
18,106,False
313,50,False
126,84,False
155,36,False
232,62,True
137,44,False
92,3,False
60,60,False
144,34,False
254,16,False
159,48,False
255,29,False
87,59,False
215,12,False
140,3,False
168,5,False
150,84,False
109,63,False
199,58,False
48,84,True
270,85,False
37,124,False
133,5,False
43,11,False
222,87,False
198,12,False
40,83,False
158,117,False
160,84,False
206,29,False
219,39,False
20,4,False
230,49,True
59,60,False
94,61,False
184,84,False
174,28,False
157,36,False
292,62,False
245,55,False
164,26,False
69,58,False
189,59,False
310,63,True
161,48,False
183,52,False
294,59,False
87,93,False
225,86,False
152,84,False
274,60,False
316,63,False
5,2,False
156,105,False
217,1,False
27,6,False
201,87,False
275,43,False
178,109,False
200,25,False
160,117,False
176,84,False
9,2,False
98,109,False
66,53,False
182,121,False
232,49,True
138,22,False
14,102,False
154,61,False
163,26,False
208,58,False
215,57,False
282,14,False
226,1,False
34,6,True
164,59,False
255,16,False
279,86,True
200,85,False
266,60,False
204,27,False
181,40,False
285,14,True
49,83,False
8,96,False
209,1,False
19,106,False
195,63,False
65,51,False
114,75,True
305,61,False
116,79,False
227,86,False
94,105,False
141,3,False
69,23,False
300,30,False
139,59,False
133,101,False
175,85,False
206,16,False
277,43,False
289,16,True
161,63,False
155,105,False
251,86,False
237,14,False
159,117,False
151,3,False
163,59,False
308,42,False
165,26,False
220,14,False
70,58,False
173,7,False
180,40,False
228,1,False
144,5,False
219,86,False
299,28,False
187,30,False
120,64,False
281,86,True
96,107,False
268,60,False
321,82,True
184,52,False
211,1,False
191,42,False
167,85,False
217,37,False
197,63,False
241,57,False
317,63,False
280,12,False
52,25,False
307,61,False
139,91,False
3,2,False
211,31,False
104,7,True
2,90,False
263,12,False
17,104,False
275,60,False
133,85,False
249,25,False
157,105,False
246,12,False
84,62,False
253,86,False
40,84,False
238,1,True
74,60,False
7,94,False
143,34,True
231,12,False
102,63,True
213,57,False
165,59,False
204,14,False
107,121,True
233,57,False
86,59,False
125,80,True
226,18,False
236,87,True
278,49,False
214,12,False
284,85,False
189,30,False
36,124,False
170,63,False
242,87,False
198,25,False
243,57,False
42,56,True
120,78,False
93,30,False
245,86,False
252,85,False
225,87,False
106,7,True
201,12,False
265,12,False
252,27,False
237,1,False
224,41,False
321,88,True
249,58,False
277,60,False
208,87,False
135,85,False
95,105,False
276,85,False
248,12,False
220,1,False
76,60,False
181,109,False
270,16,False
146,84,False
37,6,False
235,57,False
203,1,False
303,36,False
159,85,False
256,29,False
228,18,False
286,85,False
198,57,False
237,62,False
235,87,False
108,63,False
172,63,False
211,18,False
56,33,False
188,30,False
198,58,False
49,84,False
200,87,False
240,62,True
310,48,True
