source,destination
75,161
55,121
15,30
4,9
72,155
25,50
48,100
5,10
61,134
79,170
12,25
82,175
22,44
11,23
29,59
68,148
13,26
86,184
19,39
52,115
59,130
3,6
18,37
36,73
48,102
2,4
20,40
9,19
26,53
77,165
66,144
10,20
43,87
84,180
6,13
87,185
50,111
27,54
16,33
34,69
37,74
73,158
0,0
49,103
57,125
23,47
41,83
44,88
80,172
7,14
64,139
71,154
30,61
48,97
49,105
88,188
14,28
32,64
21,43
1,3
42,84
78,168
55,120
62,135
39,78
28,57
46,93
48,99
79,169
85,182
12,24
49,107
69,149
35,71
53,116
86,183
19,38
76,163
83,178
48,101
5,11
49,109
67,145
26,52
33,67
84,179
17,34
56,123
74,159
34,68
63,138
40,81
3,7
24,48
60,132
81,173
41,82
70,152
47,95
10,21
54,119
87,186
31,62
38,77
71,153
48,96
51,113
4,8
37,75
58,128
49,104
61,133
21,42
1,2
45,91
8,17
78,167
11,22
29,58
44,89
65,142
68,147
28,56
46,92
75,162
15,31
48,98
52,114
85,181
59,129
18,36
36,72
49,106
25,51
32,65
72,156
35,70
82,176
9,18
42,85
22,45
66,143
43,86
62,136
6,12
39,79
13,27
50,110
83,177
16,32
49,108
73,157
33,66
69,150
2,5
20,41
57,124
53,117
23,46
77,166
56,122
63,137
80,171
40,80
76,164
27,55
60,131
30,60
67,146
0,1
70,151
88,187
47,94
57,126
17,35
54,118
38,76
74,160
7,15
51,112
58,127
64,140
24,49
45,90
81,174
8,16
14,29
65,141
31,63
