source,destination,label
133,356,False
158,310,False
133,94,False
140,430,False
229,640,True
162,355,False
183,21,False
38,126,False
233,644,False
161,571,True
16,326,False
122,338,False
158,389,False
44,466,True
120,472,True
136,573,False
26,417,False
132,657,True
0,500,False
122,417,False
14,311,False
40,172,False
130,245,True
132,49,True
4,442,False
120,510,False
139,82,False
158,340,False
162,385,False
209,46,False
136,44,False
92,153,False
142,555,True
136,569,True
133,337,False
2,418,False
161,473,False
124,422,False
94,507,False
158,370,False
199,36,True
138,90,True
132,29,False
161,290,False
161,424,False
0,481,False
58,136,False
140,278,False
140,319,True
124,626,False
122,398,False
40,456,True
139,628,True
161,553,True
175,616,True
94,587,True
161,503,False
28,443,False
160,116,False
140,270,True
158,362,False
128,647,False
162,407,False
163,548,False
161,320,False
136,500,False
156,263,True
161,454,False
136,634,False
122,216,True
0,511,False
133,309,False
120,483,False
137,513,False
18,354,False
120,524,True
158,313,False
163,549,True
160,458,True
133,97,False
193,31,True
161,533,False
160,542,False
143,229,True
142,487,False
177,14,True
158,392,False
143,575,False
162,437,False
126,228,True
4,227,True
26,420,False
4,361,True
141,466,True
0,503,False
68,186,False
58,554,False
10,248,True
80,496,True
140,117,True
130,248,True
120,513,False
133,389,False
158,343,False
163,579,True
32,123,False
10,332,False
130,332,False
134,6,False
132,215,True
160,572,False
12,293,True
126,229,True
145,91,True
2,296,False
144,59,False
133,340,False
158,294,False
140,414,False
137,585,True
124,29,False
0,533,False
233,70,True
4,341,False
158,373,False
124,30,True
0,534,True
86,150,False
132,641,True
132,245,True
160,602,False
135,561,True
132,33,True
143,635,False
158,324,False
145,205,False
98,594,False
28,446,False
124,630,True
162,285,False
161,111,True
138,82,False
128,388,False
133,321,False
161,457,False
122,219,True
140,311,False
141,215,True
4,322,False
137,516,False
126,635,False
24,406,False
162,315,False
0,465,False
108,206,False
139,216,True
161,537,True
126,324,False
163,581,False
132,663,True
144,61,False
8,368,False
161,487,False
10,251,True
143,49,True
60,137,False
162,307,True
120,516,False
130,251,True
137,150,False
158,346,False
10,335,False
2,215,True
128,369,False
161,304,False
2,299,False
128,236,True
158,425,False
6,344,False
120,467,False
235,647,False
10,414,False
161,567,True
130,414,False
135,226,True
145,653,True
137,151,False
134,618,False
161,517,False
138,529,False
139,34,True
126,49,True
132,643,False
16,317,True
114,164,False
158,376,False
124,33,True
162,421,False
163,562,False
243,80,False
247,649,True
0,487,False
140,363,True
161,384,False
120,497,False
161,559,True
133,373,False
163,563,True
136,40,False
145,208,False
158,327,False
140,447,False
160,472,True
161,509,False
28,449,False
8,428,False
160,556,False
243,81,False
158,406,False
126,425,False
10,395,False
143,193,False
133,324,False
162,451,False
76,489,False
161,326,False
130,395,False
26,434,False
0,517,False
140,314,False
199,631,True
139,664,True
6,404,False
120,527,False
8,370,False
76,490,True
126,638,False
158,357,False
237,74,False
6,233,True
132,625,True
8,237,True
124,360,False
160,586,False
143,273,True
76,569,True
78,494,False
144,73,False
132,17,True
161,356,False
133,92,False
6,405,False
130,79,False
135,624,True
120,519,False
137,153,False
231,68,False
163,585,True
122,336,False
128,238,False
126,406,False
44,464,True
102,203,False
20,373,False
163,664,True
128,451,False
245,82,False
158,295,True
143,41,False
136,42,False
162,299,False
140,112,False
158,379,False
163,615,True
0,499,False
139,250,True
132,251,True
161,471,False
124,24,False
160,608,False
94,505,False
120,500,False
126,387,False
140,450,False
138,88,True
8,431,False
132,27,False
126,41,False
161,338,False
158,409,False
124,362,False
0,529,False
135,472,True
94,585,True
139,18,True
124,625,True
135,556,False
139,626,False
132,627,False
6,407,False
158,360,False
128,645,False
163,546,False
120,1,True
134,460,True
158,93,True
161,368,False
158,439,False
120,481,False
133,357,False
140,1,True
160,456,True
133,95,False
229,641,True
124,442,False
233,645,False
139,48,True
10,295,True
160,540,False
162,351,True
130,295,True
158,390,False
143,43,False
162,435,False
133,308,False
4,225,True
161,310,False
163,576,False
139,261,True
96,510,False
0,501,False
58,552,False
140,298,False
145,534,True
161,398,False
122,418,False
139,648,True
160,486,True
14,307,True
161,523,False
137,236,True
209,47,False
140,115,False
62,480,True
145,89,True
6,305,True
16,99,True
144,57,False
126,43,False
158,420,False
132,79,False
161,340,False
124,423,False
124,27,False
0,531,False
161,603,True
247,85,True
199,37,True
128,351,True
140,279,False
20,357,False
158,412,False
122,399,False
124,627,False
132,31,True
161,370,False
132,243,False
98,592,False
140,661,True
66,140,False
140,358,False
162,283,False
120,533,False
42,461,False
138,80,False
135,30,True
161,583,False
122,4,False
40,458,True
136,501,False
158,96,True
160,592,False
42,462,True
162,100,False
2,316,False
139,50,False
158,442,False
143,491,False
133,360,False
40,537,True
22,657,True
132,11,False
6,228,True
114,527,False
133,93,True
143,55,False
162,313,False
161,322,False
158,393,False
122,296,False
142,221,True
6,307,True
132,661,True
143,571,True
140,339,False
239,77,False
50,132,False
10,249,True
162,305,True
130,249,True
2,213,True
80,497,False
126,55,False
140,118,False
2,297,False
142,559,True
161,352,False
158,423,False
163,659,True
10,412,False
34,169,False
161,605,False
133,341,False
80,498,True
130,412,False
135,224,True
20,359,False
137,149,False
253,654,True
139,32,True
140,331,False
2,376,False
4,342,False
133,420,False
158,374,False
145,651,False
80,577,True
124,31,True
162,335,False
145,81,False
140,282,False
163,610,False
161,382,False
158,453,False
143,502,False
139,632,True
145,206,False
94,154,False
88,196,False
139,62,False
132,63,False
161,324,False
158,99,True
162,365,False
162,103,False
0,515,False
139,662,True
10,434,False
161,587,True
138,162,False
76,488,True
160,462,True
133,401,False
126,636,False
120,482,True
144,507,False
12,92,False
140,391,False
2,398,False
203,41,False
150,260,True
137,596,False
139,4,False
160,500,False
78,492,False
136,147,False
135,22,False
144,586,False
161,354,False
24,402,False
140,342,False
130,77,False
16,113,False
120,517,False
144,587,True
133,393,False
24,665,True
4,403,False
2,216,True
8,448,False
139,84,True
22,387,False
134,10,False
139,218,True
0,462,True
92,198,False
62,183,False
20,371,False
158,426,False
128,237,True
163,662,True
10,415,False
128,449,False
130,415,False
163,612,False
137,152,False
141,459,False
158,293,True
2,379,False
143,39,False
162,297,False
161,434,False
6,424,False
20,363,True
158,377,False
163,613,True
160,522,True
141,538,False
139,248,True
132,249,True
12,286,False
160,606,False
26,662,True
98,514,True
141,539,True
143,639,False
144,518,False
8,429,False
18,102,True
126,39,False
98,593,True
100,518,False
122,618,False
163,564,False
133,453,False
158,407,False
126,426,False
161,589,False
10,312,False
162,106,False
139,16,True
140,315,False
181,19,True
138,165,False
126,639,False
133,404,False
237,75,False
140,394,False
144,202,False
163,594,False
160,107,False
78,495,False
139,616,True
139,220,True
0,464,True
140,657,True
133,658,True
142,227,True
8,238,False
134,537,True
124,440,False
130,80,False
231,69,False
145,531,False
126,407,False
18,345,False
2,219,True
8,451,False
139,46,False
132,47,False
158,304,False
22,390,False
96,508,False
128,65,False
20,374,False
158,429,False
122,416,False
163,665,True
72,143,False
120,466,True
161,521,False
138,533,False
140,375,False
140,113,False
253,90,True
116,609,True
62,562,False
132,77,False
163,566,False
162,379,False
12,289,False
133,293,True
124,421,False
142,554,False
140,326,False
161,388,False
118,535,False
138,613,True
120,496,True
154,256,True
126,304,False
126,42,False
118,614,False
128,349,True
141,621,True
158,276,False
158,410,False
163,596,False
134,469,False
140,659,True
28,661,True
161,418,False
120,531,False
160,506,True
128,646,False
134,548,False
122,2,False
139,232,True
163,597,False
158,306,False
158,440,False
134,549,True
16,331,False
161,102,True
124,443,False
193,30,True
138,248,True
158,307,True
191,29,False
130,83,False
143,490,True
161,448,False
133,437,False
158,391,False
161,573,False
4,226,True
140,427,False
112,163,False
128,330,False
24,397,False
139,262,True
96,511,False
