source,destination
6,18
27,105
26,85
19,46
15,39
32,174
18,44
25,59
31,157
31,166
30,146
9,26
22,53
29,123
29,132
26,78
6,20
26,87
13,35
28,115
16,40
25,61
31,159
30,139
20,49
31,168
30,148
29,125
23,54
27,100
10,29
26,80
29,134
7,21
26,89
28,117
0,0
31,161
30,141
21,50
8,25
27,93
29,127
27,102
26,82
7,23
28,110
28,119
3,10
0,2
5,16
31,154
32,183
31,163
1,3
14,37
25,68
27,95
26,75
27,104
26,84
28,112
28,121
32,176
31,156
12,33
32,185
31,165
1,5
25,70
27,97
26,77
19,47
28,114
4,13
32,178
31,158
31,167
25,63
2,6
27,90
25,72
27,99
10,28
30,150
17,43
28,107
29,136
28,116
32,171
32,180
31,160
24,57
25,65
2,8
8,24
27,92
30,143
27,101
30,152
29,129
28,109
28,118
3,9
15,38
32,173
32,182
25,58
25,67
27,94
30,145
22,52
27,103
29,122
11,31
29,131
28,111
6,19
26,86
13,34
28,120
3,11
32,175
31,155
32,184
18,45
1,4
25,60
30,138
25,69
20,48
27,96
30,147
9,27
29,124
29,133
26,79
28,113
26,88
4,12
16,41
32,177
25,62
30,140
25,71
27,98
30,149
31,169
17,42
29,126
23,55
28,106
29,135
26,81
7,22
32,170
4,14
32,179
24,56
0,1
5,15
25,64
2,7
27,91
30,142
25,73
14,36
31,162
21,51
30,151
29,128
26,74
28,108
29,137
26,83
32,172
32,181
5,17
12,32
25,66
31,164
30,144
30,153
11,30
29,130
26,76
