0:drive truck0 depot0 depot1
1:drive truck0 depot0 distributor0
2:drive truck0 depot1 depot0
3:drive truck0 depot1 distributor0
4:drive truck0 distributor0 depot0
5:drive truck0 distributor0 depot1
6:drive truck1 depot0 depot1
7:drive truck1 depot0 distributor0
8:drive truck1 depot1 depot0
9:drive truck1 depot1 distributor0
10:drive truck1 distributor0 depot0
11:drive truck1 distributor0 depot1
12:drop hoist0 crate0 crate1 depot0
13:drop hoist0 crate0 crate2 depot0
14:drop hoist0 crate0 pallet0 depot0
15:drop hoist0 crate1 crate0 depot0
16:drop hoist0 crate1 crate2 depot0
17:drop hoist0 crate1 pallet0 depot0
18:drop hoist0 crate2 crate0 depot0
19:drop hoist0 crate2 crate1 depot0
20:drop hoist0 crate2 pallet0 depot0
21:drop hoist1 crate0 crate1 depot1
22:drop hoist1 crate0 crate2 depot1
23:drop hoist1 crate0 pallet1 depot1
24:drop hoist1 crate1 crate0 depot1
25:drop hoist1 crate1 crate2 depot1
26:drop hoist1 crate1 pallet1 depot1
27:drop hoist1 crate2 crate0 depot1
28:drop hoist1 crate2 crate1 depot1
29:drop hoist1 crate2 pallet1 depot1
30:drop hoist2 crate0 crate1 distributor0
31:drop hoist2 crate0 crate2 distributor0
32:drop hoist2 crate0 pallet2 distributor0
33:drop hoist2 crate1 crate0 distributor0
34:drop hoist2 crate1 crate2 distributor0
35:drop hoist2 crate1 pallet2 distributor0
36:drop hoist2 crate2 crate0 distributor0
37:drop hoist2 crate2 crate1 distributor0
38:drop hoist2 crate2 pallet2 distributor0
39:lift hoist0 crate0 crate1 depot0
40:lift hoist0 crate0 crate2 depot0
41:lift hoist0 crate0 pallet0 depot0
42:lift hoist0 crate0 pallet1 depot0
43:lift hoist0 crate0 pallet2 depot0
44:lift hoist0 crate1 crate0 depot0
45:lift hoist0 crate1 crate2 depot0
46:lift hoist0 crate1 pallet0 depot0
47:lift hoist0 crate1 pallet1 depot0
48:lift hoist0 crate1 pallet2 depot0
49:lift hoist0 crate2 crate0 depot0
50:lift hoist0 crate2 crate1 depot0
51:lift hoist0 crate2 pallet0 depot0
52:lift hoist0 crate2 pallet1 depot0
53:lift hoist0 crate2 pallet2 depot0
54:lift hoist1 crate0 crate1 depot1
55:lift hoist1 crate0 crate2 depot1
56:lift hoist1 crate0 pallet0 depot1
57:lift hoist1 crate0 pallet1 depot1
58:lift hoist1 crate0 pallet2 depot1
59:lift hoist1 crate1 crate0 depot1
60:lift hoist1 crate1 crate2 depot1
61:lift hoist1 crate1 pallet0 depot1
62:lift hoist1 crate1 pallet1 depot1
63:lift hoist1 crate1 pallet2 depot1
64:lift hoist1 crate2 crate0 depot1
65:lift hoist1 crate2 crate1 depot1
66:lift hoist1 crate2 pallet0 depot1
67:lift hoist1 crate2 pallet1 depot1
68:lift hoist1 crate2 pallet2 depot1
69:lift hoist2 crate0 crate1 distributor0
70:lift hoist2 crate0 crate2 distributor0
71:lift hoist2 crate0 pallet0 distributor0
72:lift hoist2 crate0 pallet1 distributor0
73:lift hoist2 crate0 pallet2 distributor0
74:lift hoist2 crate1 crate0 distributor0
75:lift hoist2 crate1 crate2 distributor0
76:lift hoist2 crate1 pallet0 distributor0
77:lift hoist2 crate1 pallet1 distributor0
78:lift hoist2 crate1 pallet2 distributor0
79:lift hoist2 crate2 crate0 distributor0
80:lift hoist2 crate2 crate1 distributor0
81:lift hoist2 crate2 pallet0 distributor0
82:lift hoist2 crate2 pallet1 distributor0
83:lift hoist2 crate2 pallet2 distributor0
84:load hoist0 crate0 truck0 depot0
85:load hoist0 crate0 truck1 depot0
86:load hoist0 crate1 truck0 depot0
87:load hoist0 crate1 truck1 depot0
88:load hoist0 crate2 truck0 depot0
89:load hoist0 crate2 truck1 depot0
90:load hoist1 crate0 truck0 depot1
91:load hoist1 crate0 truck1 depot1
92:load hoist1 crate1 truck0 depot1
93:load hoist1 crate1 truck1 depot1
94:load hoist1 crate2 truck0 depot1
95:load hoist1 crate2 truck1 depot1
96:load hoist2 crate0 truck0 distributor0
97:load hoist2 crate0 truck1 distributor0
98:load hoist2 crate1 truck0 distributor0
99:load hoist2 crate1 truck1 distributor0
100:load hoist2 crate2 truck0 distributor0
101:load hoist2 crate2 truck1 distributor0
102:unload hoist0 crate0 truck0 depot0
103:unload hoist0 crate0 truck1 depot0
104:unload hoist0 crate1 truck0 depot0
105:unload hoist0 crate1 truck1 depot0
106:unload hoist0 crate2 truck0 depot0
107:unload hoist0 crate2 truck1 depot0
108:unload hoist1 crate0 truck0 depot1
109:unload hoist1 crate0 truck1 depot1
110:unload hoist1 crate1 truck0 depot1
111:unload hoist1 crate1 truck1 depot1
112:unload hoist1 crate2 truck0 depot1
113:unload hoist1 crate2 truck1 depot1
114:unload hoist2 crate0 truck0 distributor0
115:unload hoist2 crate0 truck1 distributor0
116:unload hoist2 crate1 truck0 distributor0
117:unload hoist2 crate1 truck1 distributor0
118:unload hoist2 crate2 truck0 distributor0
119:unload hoist2 crate2 truck1 distributor0
