0:drive truck0 depot0 distributor0
1:drive truck0 depot0 distributor1
2:drive truck0 distributor0 depot0
3:drive truck0 distributor0 distributor1
4:drive truck0 distributor1 depot0
5:drive truck0 distributor1 distributor0
6:drive truck1 depot0 distributor0
7:drive truck1 depot0 distributor1
8:drive truck1 distributor0 depot0
9:drive truck1 distributor0 distributor1
10:drive truck1 distributor1 depot0
11:drive truck1 distributor1 distributor0
12:drop hoist0 crate0 crate1 depot0
13:drop hoist0 crate0 crate2 depot0
14:drop hoist0 crate0 crate3 depot0
15:drop hoist0 crate0 pallet0 depot0
16:drop hoist0 crate1 crate0 depot0
17:drop hoist0 crate1 crate2 depot0
18:drop hoist0 crate1 crate3 depot0
19:drop hoist0 crate1 pallet0 depot0
20:drop hoist0 crate2 crate0 depot0
21:drop hoist0 crate2 crate1 depot0
22:drop hoist0 crate2 crate3 depot0
23:drop hoist0 crate2 pallet0 depot0
24:drop hoist0 crate3 crate0 depot0
25:drop hoist0 crate3 crate1 depot0
26:drop hoist0 crate3 crate2 depot0
27:drop hoist0 crate3 pallet0 depot0
28:drop hoist1 crate0 crate1 distributor0
29:drop hoist1 crate0 crate2 distributor0
30:drop hoist1 crate0 crate3 distributor0
31:drop hoist1 crate0 pallet1 distributor0
32:drop hoist1 crate1 crate0 distributor0
33:drop hoist1 crate1 crate2 distributor0
34:drop hoist1 crate1 crate3 distributor0
35:drop hoist1 crate1 pallet1 distributor0
36:drop hoist1 crate2 crate0 distributor0
37:drop hoist1 crate2 crate1 distributor0
38:drop hoist1 crate2 crate3 distributor0
39:drop hoist1 crate2 pallet1 distributor0
40:drop hoist1 crate3 crate0 distributor0
41:drop hoist1 crate3 crate1 distributor0
42:drop hoist1 crate3 crate2 distributor0
43:drop hoist1 crate3 pallet1 distributor0
44:drop hoist2 crate0 crate1 distributor1
45:drop hoist2 crate0 crate2 distributor1
46:drop hoist2 crate0 crate3 distributor1
47:drop hoist2 crate0 pallet2 distributor1
48:drop hoist2 crate1 crate0 distributor1
49:drop hoist2 crate1 crate2 distributor1
50:drop hoist2 crate1 crate3 distributor1
51:drop hoist2 crate1 pallet2 distributor1
52:drop hoist2 crate2 crate0 distributor1
53:drop hoist2 crate2 crate1 distributor1
54:drop hoist2 crate2 crate3 distributor1
55:drop hoist2 crate2 pallet2 distributor1
56:drop hoist2 crate3 crate0 distributor1
57:drop hoist2 crate3 crate1 distributor1
58:drop hoist2 crate3 crate2 distributor1
59:drop hoist2 crate3 pallet2 distributor1
60:lift hoist0 crate0 crate1 depot0
61:lift hoist0 crate0 crate2 depot0
62:lift hoist0 crate0 crate3 depot0
63:lift hoist0 crate0 pallet0 depot0
64:lift hoist0 crate0 pallet1 depot0
65:lift hoist0 crate0 pallet2 depot0
66:lift hoist0 crate1 crate0 depot0
67:lift hoist0 crate1 crate2 depot0
68:lift hoist0 crate1 crate3 depot0
69:lift hoist0 crate1 pallet0 depot0
70:lift hoist0 crate1 pallet1 depot0
71:lift hoist0 crate1 pallet2 depot0
72:lift hoist0 crate2 crate0 depot0
73:lift hoist0 crate2 crate1 depot0
74:lift hoist0 crate2 crate3 depot0
75:lift hoist0 crate2 pallet0 depot0
76:lift hoist0 crate2 pallet1 depot0
77:lift hoist0 crate2 pallet2 depot0
78:lift hoist0 crate3 crate0 depot0
79:lift hoist0 crate3 crate1 depot0
80:lift hoist0 crate3 crate2 depot0
81:lift hoist0 crate3 pallet0 depot0
82:lift hoist0 crate3 pallet1 depot0
83:lift hoist0 crate3 pallet2 depot0
84:lift hoist1 crate0 crate1 distributor0
85:lift hoist1 crate0 crate2 distributor0
86:lift hoist1 crate0 crate3 distributor0
87:lift hoist1 crate0 pallet0 distributor0
88:lift hoist1 crate0 pallet1 distributor0
89:lift hoist1 crate0 pallet2 distributor0
90:lift hoist1 crate1 crate0 distributor0
91:lift hoist1 crate1 crate2 distributor0
92:lift hoist1 crate1 crate3 distributor0
93:lift hoist1 crate1 pallet0 distributor0
94:lift hoist1 crate1 pallet1 distributor0
95:lift hoist1 crate1 pallet2 distributor0
96:lift hoist1 crate2 crate0 distributor0
97:lift hoist1 crate2 crate1 distributor0
98:lift hoist1 crate2 crate3 distributor0
99:lift hoist1 crate2 pallet0 distributor0
100:lift hoist1 crate2 pallet1 distributor0
101:lift hoist1 crate2 pallet2 distributor0
102:lift hoist1 crate3 crate0 distributor0
103:lift hoist1 crate3 crate1 distributor0
104:lift hoist1 crate3 crate2 distributor0
105:lift hoist1 crate3 pallet0 distributor0
106:lift hoist1 crate3 pallet1 distributor0
107:lift hoist1 crate3 pallet2 distributor0
108:lift hoist2 crate0 crate1 distributor1
109:lift hoist2 crate0 crate2 distributor1
110:lift hoist2 crate0 crate3 distributor1
111:lift hoist2 crate0 pallet0 distributor1
112:lift hoist2 crate0 pallet1 distributor1
113:lift hoist2 crate0 pallet2 distributor1
114:lift hoist2 crate1 crate0 distributor1
115:lift hoist2 crate1 crate2 distributor1
116:lift hoist2 crate1 crate3 distributor1
117:lift hoist2 crate1 pallet0 distributor1
118:lift hoist2 crate1 pallet1 distributor1
119:lift hoist2 crate1 pallet2 distributor1
120:lift hoist2 crate2 crate0 distributor1
121:lift hoist2 crate2 crate1 distributor1
122:lift hoist2 crate2 crate3 distributor1
123:lift hoist2 crate2 pallet0 distributor1
124:lift hoist2 crate2 pallet1 distributor1
125:lift hoist2 crate2 pallet2 distributor1
126:lift hoist2 crate3 crate0 distributor1
127:lift hoist2 crate3 crate1 distributor1
128:lift hoist2 crate3 crate2 distributor1
129:lift hoist2 crate3 pallet0 distributor1
130:lift hoist2 crate3 pallet1 distributor1
131:lift hoist2 crate3 pallet2 distributor1
132:load hoist0 crate0 truck0 depot0
133:load hoist0 crate0 truck1 depot0
134:load hoist0 crate1 truck0 depot0
135:load hoist0 crate1 truck1 depot0
136:load hoist0 crate2 truck0 depot0
137:load hoist0 crate2 truck1 depot0
138:load hoist0 crate3 truck0 depot0
139:load hoist0 crate3 truck1 depot0
140:load hoist1 crate0 truck0 distributor0
141:load hoist1 crate0 truck1 distributor0
142:load hoist1 crate1 truck0 distributor0
143:load hoist1 crate1 truck1 distributor0
144:load hoist1 crate2 truck0 distributor0
145:load hoist1 crate2 truck1 distributor0
146:load hoist1 crate3 truck0 distributor0
147:load hoist1 crate3 truck1 distributor0
148:load hoist2 crate0 truck0 distributor1
149:load hoist2 crate0 truck1 distributor1
150:load hoist2 crate1 truck0 distributor1
151:load hoist2 crate1 truck1 distributor1
152:load hoist2 crate2 truck0 distributor1
