0:drive truck0 depot0 depot1
1:drive truck0 depot0 distributor0
2:drive truck0 depot0 distributor1
3:drive truck0 depot1 depot0
4:drive truck0 depot1 distributor0
5:drive truck0 depot1 distributor1
6:drive truck0 distributor0 depot0
7:drive truck0 distributor0 depot1
8:drive truck0 distributor0 distributor1
9:drive truck0 distributor1 depot0
10:drive truck0 distributor1 depot1
11:drive truck0 distributor1 distributor0
12:drive truck1 depot0 depot1
13:drive truck1 depot0 distributor0
14:drive truck1 depot0 distributor1
15:drive truck1 depot1 depot0
16:drive truck1 depot1 distributor0
17:drive truck1 depot1 distributor1
18:drive truck1 distributor0 depot0
19:drive truck1 distributor0 depot1
20:drive truck1 distributor0 distributor1
21:drive truck1 distributor1 depot0
22:drive truck1 distributor1 depot1
23:drive truck1 distributor1 distributor0
24:drive truck2 depot0 depot1
25:drive truck2 depot0 distributor0
26:drive truck2 depot0 distributor1
27:drive truck2 depot1 depot0
28:drive truck2 depot1 distributor0
29:drive truck2 depot1 distributor1
30:drive truck2 distributor0 depot0
31:drive truck2 distributor0 depot1
32:drive truck2 distributor0 distributor1
33:drive truck2 distributor1 depot0
34:drive truck2 distributor1 depot1
35:drive truck2 distributor1 distributor0
36:drop hoist0 crate0 crate1 depot0
37:drop hoist0 crate0 crate2 depot0
38:drop hoist0 crate0 crate3 depot0
39:drop hoist0 crate0 crate4 depot0
40:drop hoist0 crate0 crate5 depot0
41:drop hoist0 crate0 pallet0 depot0
42:drop hoist0 crate1 crate0 depot0
43:drop hoist0 crate1 crate2 depot0
44:drop hoist0 crate1 crate3 depot0
45:drop hoist0 crate1 crate4 depot0
46:drop hoist0 crate1 crate5 depot0
47:drop hoist0 crate1 pallet0 depot0
48:drop hoist0 crate2 crate0 depot0
49:drop hoist0 crate2 crate1 depot0
50:drop hoist0 crate2 crate3 depot0
51:drop hoist0 crate2 crate4 depot0
52:drop hoist0 crate2 crate5 depot0
53:drop hoist0 crate2 pallet0 depot0
54:drop hoist0 crate3 crate0 depot0
55:drop hoist0 crate3 crate1 depot0
56:drop hoist0 crate3 crate2 depot0
57:drop hoist0 crate3 crate4 depot0
58:drop hoist0 crate3 crate5 depot0
59:drop hoist0 crate3 pallet0 depot0
60:drop hoist0 crate4 crate0 depot0
61:drop hoist0 crate4 crate1 depot0
62:drop hoist0 crate4 crate2 depot0
63:drop hoist0 crate4 crate3 depot0
64:drop hoist0 crate4 crate5 depot0
65:drop hoist0 crate4 pallet0 depot0
66:drop hoist0 crate5 crate0 depot0
67:drop hoist0 crate5 crate1 depot0
68:drop hoist0 crate5 crate2 depot0
69:drop hoist0 crate5 crate3 depot0
70:drop hoist0 crate5 crate4 depot0
71:drop hoist0 crate5 pallet0 depot0
72:drop hoist1 crate0 crate1 depot1
73:drop hoist1 crate0 crate2 depot1
74:drop hoist1 crate0 crate3 depot1
75:drop hoist1 crate0 crate4 depot1
76:drop hoist1 crate0 crate5 depot1
77:drop hoist1 crate0 pallet1 depot1
78:drop hoist1 crate1 crate0 depot1
79:drop hoist1 crate1 crate2 depot1
80:drop hoist1 crate1 crate3 depot1
81:drop hoist1 crate1 crate4 depot1
82:drop hoist1 crate1 crate5 depot1
83:drop hoist1 crate1 pallet1 depot1
84:drop hoist1 crate2 crate0 depot1
85:drop hoist1 crate2 crate1 depot1
86:drop hoist1 crate2 crate3 depot1
87:drop hoist1 crate2 crate4 depot1
88:drop hoist1 crate2 crate5 depot1
89:drop hoist1 crate2 pallet1 depot1
90:drop hoist1 crate3 crate0 depot1
91:drop hoist1 crate3 crate1 depot1
92:drop hoist1 crate3 crate2 depot1
93:drop hoist1 crate3 crate4 depot1
94:drop hoist1 crate3 crate5 depot1
95:drop hoist1 crate3 pallet1 depot1
96:drop hoist1 crate4 crate0 depot1
97:drop hoist1 crate4 crate1 depot1
98:drop hoist1 crate4 crate2 depot1
99:drop hoist1 crate4 crate3 depot1
100:drop hoist1 crate4 crate5 depot1
101:drop hoist1 crate4 pallet1 depot1
102:drop hoist1 crate5 crate0 depot1
103:drop hoist1 crate5 crate1 depot1
104:drop hoist1 crate5 crate2 depot1
105:drop hoist1 crate5 crate3 depot1
106:drop hoist1 crate5 crate4 depot1
107:drop hoist1 crate5 pallet1 depot1
108:drop hoist2 crate0 crate1 distributor0
109:drop hoist2 crate0 crate2 distributor0
110:drop hoist2 crate0 crate3 distributor0
111:drop hoist2 crate0 crate4 distributor0
112:drop hoist2 crate0 crate5 distributor0
113:drop hoist2 crate0 pallet2 distributor0
114:drop hoist2 crate1 crate0 distributor0
115:drop hoist2 crate1 crate2 distributor0
116:drop hoist2 crate1 crate3 distributor0
117:drop hoist2 crate1 crate4 distributor0
118:drop hoist2 crate1 crate5 distributor0
119:drop hoist2 crate1 pallet2 distributor0
120:drop hoist2 crate2 crate0 distributor0
121:drop hoist2 crate2 crate1 distributor0
122:drop hoist2 crate2 crate3 distributor0
123:drop hoist2 crate2 crate4 distributor0
124:drop hoist2 crate2 crate5 distributor0
125:drop hoist2 crate2 pallet2 distributor0
126:drop hoist2 crate3 crate0 distributor0
127:drop hoist2 crate3 crate1 distributor0
128:drop hoist2 crate3 crate2 distributor0
129:drop hoist2 crate3 crate4 distributor0
130:drop hoist2 crate3 crate5 distributor0
131:drop hoist2 crate3 pallet2 distributor0
132:drop hoist2 crate4 crate0 distributor0
133:drop hoist2 crate4 crate1 distributor0
134:drop hoist2 crate4 crate2 distributor0
135:drop hoist2 crate4 crate3 distributor0
136:drop hoist2 crate4 crate5 distributor0
137:drop hoist2 crate4 pallet2 distributor0
138:drop hoist2 crate5 crate0 distributor0
139:drop hoist2 crate5 crate1 distributor0
140:drop hoist2 crate5 crate2 distributor0
141:drop hoist2 crate5 crate3 distributor0
142:drop hoist2 crate5 crate4 distributor0
143:drop hoist2 crate5 pallet2 distributor0
144:drop hoist3 crate0 crate1 distributor1
145:drop hoist3 crate0 crate2 distributor1
146:drop hoist3 crate0 crate3 distributor1
147:drop hoist3 crate0 crate4 distributor1
148:drop hoist3 crate0 crate5 distributor1
149:drop hoist3 crate0 pallet3 distributor1
150:drop hoist3 crate1 crate0 distributor1
151:drop hoist3 crate1 crate2 distributor1
152:drop hoist3 crate1 crate3 distributor1
153:drop hoist3 crate1 crate4 distributor1
154:drop hoist3 crate1 crate5 distributor1
155:drop hoist3 crate1 pallet3 distributor1
156:drop hoist3 crate2 crate0 distributor1
157:drop hoist3 crate2 crate1 distributor1
158:drop hoist3 crate2 crate3 distributor1
159:drop hoist3 crate2 crate4 distributor1
160:drop hoist3 crate2 crate5 distributor1
161:drop hoist3 crate2 pallet3 distributor1
162:drop hoist3 crate3 crate0 distributor1
163:drop hoist3 crate3 crate1 distributor1
164:drop hoist3 crate3 crate2 distributor1
165:drop hoist3 crate3 crate4 distributor1
166:drop hoist3 crate3 crate5 distributor1
167:drop hoist3 crate3 pallet3 distributor1
168:drop hoist3 crate4 crate0 distributor1
169:drop hoist3 crate4 crate1 distributor1
170:drop hoist3 crate4 crate2 distributor1
171:drop hoist3 crate4 crate3 distributor1
172:drop hoist3 crate4 crate5 distributor1
173:drop hoist3 crate4 pallet3 distributor1
174:drop hoist3 crate5 crate0 distributor1
175:drop hoist3 crate5 crate1 distributor1
176:drop hoist3 crate5 crate2 distributor1
177:drop hoist3 crate5 crate3 distributor1
178:drop hoist3 crate5 crate4 distributor1
179:drop hoist3 crate5 pallet3 distributor1
180:lift hoist0 crate0 crate1 depot0
181:lift hoist0 crate0 crate2 depot0
182:lift hoist0 crate0 crate3 depot0
183:lift hoist0 crate0 crate4 depot0
184:lift hoist0 crate0 crate5 depot0
185:lift hoist0 crate0 pallet0 depot0
186:lift hoist0 crate0 pallet1 depot0
187:lift hoist0 crate0 pallet2 depot0
188:lift hoist0 crate0 pallet3 depot0
189:lift hoist0 crate1 crate0 depot0
190:lift hoist0 crate1 crate2 depot0
191:lift hoist0 crate1 crate3 depot0
192:lift hoist0 crate1 crate4 depot0
193:lift hoist0 crate1 crate5 depot0
194:lift hoist0 crate1 pallet0 depot0
195:lift hoist0 crate1 pallet1 depot0
196:lift hoist0 crate1 pallet2 depot0
197:lift hoist0 crate1 pallet3 depot0
198:lift hoist0 crate2 crate0 depot0
199:lift hoist0 crate2 crate1 depot0
200:lift hoist0 crate2 crate3 depot0
201:lift hoist0 crate2 crate4 depot0
202:lift hoist0 crate2 crate5 depot0
203:lift hoist0 crate2 pallet0 depot0
204:lift hoist0 crate2 pallet1 depot0
205:lift hoist0 crate2 pallet2 depot0
206:lift hoist0 crate2 pallet3 depot0
207:lift hoist0 crate3 crate0 depot0
208:lift hoist0 crate3 crate1 depot0
209:lift hoist0 crate3 crate2 depot0
210:lift hoist0 crate3 crate4 depot0
211:lift hoist0 crate3 crate5 depot0
212:lift hoist0 crate3 pallet0 depot0
213:lift hoist0 crate3 pallet1 depot0
214:lift hoist0 crate3 pallet2 depot0
215:lift hoist0 crate3 pallet3 depot0
216:lift hoist0 crate4 crate0 depot0
217:lift hoist0 crate4 crate1 depot0
218:lift hoist0 crate4 crate2 depot0
219:lift hoist0 crate4 crate3 depot0
220:lift hoist0 crate4 crate5 depot0
221:lift hoist0 crate4 pallet0 depot0
222:lift hoist0 crate4 pallet1 depot0
223:lift hoist0 crate4 pallet2 depot0
224:lift hoist0 crate4 pallet3 depot0
225:lift hoist0 crate5 crate0 depot0
226:lift hoist0 crate5 crate1 depot0
227:lift hoist0 crate5 crate2 depot0
228:lift hoist0 crate5 crate3 depot0
229:lift hoist0 crate5 crate4 depot0
230:lift hoist0 crate5 pallet0 depot0
231:lift hoist0 crate5 pallet1 depot0
232:lift hoist0 crate5 pallet2 depot0
233:lift hoist0 crate5 pallet3 depot0
234:lift hoist1 crate0 crate1 depot1
235:lift hoist1 crate0 crate2 depot1
236:lift hoist1 crate0 crate3 depot1
237:lift hoist1 crate0 crate4 depot1
238:lift hoist1 crate0 crate5 depot1
239:lift hoist1 crate0 pallet0 depot1
240:lift hoist1 crate0 pallet1 depot1
241:lift hoist1 crate0 pallet2 depot1
242:lift hoist1 crate0 pallet3 depot1
243:lift hoist1 crate1 crate0 depot1
244:lift hoist1 crate1 crate2 depot1
245:lift hoist1 crate1 crate3 depot1
246:lift hoist1 crate1 crate4 depot1
247:lift hoist1 crate1 crate5 depot1
248:lift hoist1 crate1 pallet0 depot1
249:lift hoist1 crate1 pallet1 depot1
