source,destination,label
55,141,True
13,150,False
13,134,True
16,57,True
40,93,False
57,28,False
26,21,False
44,154,False
56,116,True
1,95,False
30,15,True
20,102,False
24,57,True
34,136,True
36,7,False
59,62,False
69,87,False
10,89,False
67,32,False
37,20,False
13,126,True
20,159,False
46,9,False
55,149,False
18,81,False
1,48,False
50,98,False
39,72,False
67,33,False
16,56,False
16,67,False
0,56,False
54,148,False
44,146,False
14,113,True
20,94,False
68,49,False
7,103,False
10,111,True
37,23,False
22,72,False
47,26,False
16,136,True
38,128,False
13,1,True
18,73,False
1,40,False
26,5,False
22,12,False
9,69,False
57,30,False
63,66,False
16,59,False
26,62,False
26,84,False
38,129,False
32,27,False
15,131,False
57,31,False
7,84,False
22,53,False
16,139,True
4,49,False
28,89,False
26,103,False
67,35,False
1,32,False
73,111,True
18,84,False
26,65,False
13,156,False
63,86,False
14,143,True
30,7,False
24,49,False
4,79,False
28,108,False
12,138,True
15,123,False
32,47,False
3,17,False
28,111,True
43,76,False
37,121,False
20,154,False
15,153,False
42,95,False
56,12,False
18,76,False
18,87,False
12,118,False
24,98,False
7,106,False
20,105,False
16,62,False
18,144,False
52,60,False
22,94,False
24,60,False
16,63,True
53,81,False
67,126,True
4,33,False
46,114,True
28,42,False
22,56,False
16,142,True
66,17,False
28,70,False
26,106,False
1,24,False
24,79,False
58,44,False
13,120,False
61,84,False
20,97,False
20,108,False
16,54,False
1,92,False
13,148,False
10,46,False
22,75,False
16,55,True
38,36,False
6,66,False
20,111,True
72,70,False
40,53,False
10,87,False
36,112,True
71,89,False
7,41,False
20,157,False
4,101,False
15,145,False
34,152,False
18,79,False
1,73,False
10,38,False
28,26,False
48,130,False
24,33,False
18,147,False
64,142,True
48,42,False
32,31,False
7,82,False
24,101,False
1,74,False
4,36,False
72,90,False
6,9,False
0,54,False
22,48,False
47,24,False
34,144,False
18,82,False
0,16,False
13,132,False
10,30,False
14,141,True
9,67,False
58,47,False
20,100,False
36,5,False
12,114,True
59,82,False
0,8,True
3,4,False
41,74,False
51,99,False
57,124,False
38,39,False
18,90,False
47,122,False
49,77,False
56,117,True
66,118,False
22,40,False
16,137,True
68,135,True
16,65,False
46,10,False
50,58,False
60,83,False
15,159,False
20,92,False
20,103,False
1,76,False
26,41,False
37,21,False
24,36,False
4,77,False
9,10,False
18,150,False
10,109,False
45,155,False
22,32,False
28,68,False
45,139,True
35,153,False
16,68,False
26,82,False
39,92,False
12,116,True
7,25,False
20,152,False
15,129,False
15,151,False
18,74,False
57,29,False
13,124,False
10,22,False
28,10,False
42,55,True
7,104,False
16,58,False
9,70,False
47,27,False
24,17,False
3,57,True
10,90,False
28,67,False
45,147,False
4,20,False
26,18,True
13,154,False
63,106,False
26,102,False
67,34,False
4,99,False
12,136,True
15,121,False
56,13,False
69,107,False
35,137,True
26,25,False
24,77,False
7,85,False
20,95,False
20,106,False
15,135,True
43,96,False
68,50,False
22,73,False
66,18,True
18,85,False
22,24,False
4,80,False
22,8,True
35,145,False
16,60,False
16,71,False
26,85,False
52,80,False
22,92,False
24,58,False
32,39,False
28,22,False
15,127,True
22,54,False
16,140,True
24,20,False
28,90,False
18,145,False
38,37,False
26,104,False
48,40,False
1,44,False
26,9,False
6,18,True
24,99,False
22,16,False
16,52,False
0,52,False
26,66,False
64,158,False
30,19,False
26,105,False
24,61,False
28,109,False
67,127,True
6,64,False
46,115,True
62,65,False
14,117,True
58,45,False
20,98,False
12,112,True
28,6,True
70,68,False
22,76,False
7,50,False
24,80,False
20,155,False
53,101,False
18,77,False
18,88,False
3,59,False
14,2,True
64,150,False
30,11,False
61,104,False
46,8,True
12,142,True
32,51,False
36,6,True
18,91,True
22,95,False
58,132,False
1,94,False
24,4,False
4,45,False
62,85,False
72,110,False
36,113,True
16,143,True
20,158,False
70,88,False
58,133,False
48,43,False
18,80,False
71,109,False
0,55,True
14,139,True
20,109,False
16,66,False
40,73,False
1,93,False
41,94,False
32,23,False
13,122,False
49,97,False
47,25,False
51,59,False
10,88,False
1,28,False
50,78,False
60,103,False
15,157,False
3,60,False
20,101,False
1,96,False
26,50,False
13,152,False
10,91,True
48,131,False
24,45,False
12,0,True
73,91,True
18,148,False
54,140,True
57,125,False
59,102,False
10,107,False
32,43,False
3,13,False
7,83,False
68,48,False
69,67,False
28,46,False
7,34,False
46,11,False
14,119,False
15,149,False
18,72,False
18,83,False
13,144,False
10,42,False
28,30,False
7,102,False
39,52,False
9,68,False
4,78,False
18,151,False
32,35,False
28,87,False
6,63,True
4,29,False
26,34,False
37,120,False
44,138,True
47,123,False
28,38,False
66,119,False
22,52,False
16,138,True
7,37,False
20,153,False
4,97,False
18,75,False
24,97,False
22,55,True
9,71,False
20,93,False
20,104,False
73,71,False
26,64,False
4,98,False
37,22,False
28,107,False
6,62,False
10,110,False
43,56,False
7,86,False
22,44,False
66,16,False
13,146,False
28,69,False
16,69,False
26,83,False
42,75,False
24,78,False
14,115,True
20,96,False
18,86,False
68,51,False
7,105,False
16,70,False
24,29,False
4,81,False
28,88,False
9,14,False
53,61,False
22,93,False
61,64,False
28,91,True
9,6,True
16,61,False
6,5,False
16,141,True
24,59,False
20,156,False
4,100,False
15,133,False
56,14,False
18,78,False
0,12,False
13,128,False
10,26,False
28,14,False
26,37,False
14,137,True
20,107,False
56,15,True
18,146,False
28,71,False
22,74,False
28,110,False
13,158,False
7,21,False
66,19,False
49,57,True
12,140,True
15,125,False
26,86,False
6,65,False
24,81,False
15,155,False
58,46,False
3,58,False
20,99,False
36,4,False
60,63,True
1,72,False
65,159,False
65,143,True
70,108,False
55,157,False
38,38,False
48,41,False
52,100,False
18,89,False
24,100,False
22,28,False
13,130,False
68,134,True
16,53,False
16,64,False
0,53,False
54,156,False
71,69,False
22,96,False
15,147,False
3,61,False
1,75,False
65,151,False
15,3,True
24,13,False
41,54,False
62,105,False
51,79,False
20,110,False
18,149,False
26,63,True
10,108,False
