source,destination,label
0,21,False
1,16,True
32,2,False
0,3,False
38,5,False
0,11,True
5,11,True
42,7,False
29,13,False
30,20,True
8,28,False
10,23,True
2,20,True
34,3,False
0,0,True
8,32,False
3,18,False
2,25,False
31,14,False
8,25,False
3,31,False
2,27,False
0,4,True
1,24,True
7,12,True
0,15,True
4,19,True
10,21,False
2,5,False
28,19,True
2,7,False
2,29,False
8,27,False
8,29,False
0,22,False
0,2,False
1,19,True
36,4,True
10,24,True
44,8,False
46,9,False
3,32,False
2,9,False
6,20,True
2,17,False
8,31,False
2,10,True
0,23,True
2,1,True
2,26,False
48,10,True
2,6,False
2,30,True
8,30,True
10,22,False
2,12,True
40,6,False
2,28,False
8,26,False
2,8,False
