source,destination
44,91
51,105
7,17
58,120
61,125
41,86
24,51
30,64
48,100
14,31
32,67
21,46
31,65
38,80
55,114
59,121
39,81
28,60
12,27
45,94
29,61
35,74
19,41
52,108
36,75
25,54
0,0
5,14
9,21
26,55
33,70
43,89
50,104
13,30
16,35
34,71
40,84
3,10
0,2
57,118
20,44
1,3
23,49
41,85
47,98
10,24
27,58
30,63
48,99
4,11
37,78
21,45
1,5
8,20
55,113
11,25
44,92
62,128
28,59
46,95
15,34
18,39
14,32
32,68
2,6
35,73
53,109
42,88
22,48
6,15
39,82
60,123
5,13
49,102
12,28
33,69
2,8
56,116
19,42
40,83
58,119
3,9
57,117
26,56
47,97
10,23
54,112
17,38
38,79
51,106
7,18
61,126
24,52
1,4
45,93
8,19
62,127
31,66
52,107
15,33
59,122
4,12
25,53
42,87
22,47
11,26
29,62
50,103
13,29
46,96
49,101
18,40
36,76
0,1
2,7
20,43
53,110
9,22
56,115
43,90
6,16
27,57
60,124
16,36
34,72
37,77
54,111
17,37
23,50
