index,is_init,is_goal
0,False,False
1,True,False
2,False,False
3,False,False
4,True,False
5,False,False
6,False,False
7,False,False
8,True,False
9,False,False
10,False,False
11,False,False
12,True,False
13,False,False
14,False,False
15,True,False
16,False,False
17,True,False
18,False,False
19,False,False
20,False,False
21,True,False
22,False,False
23,False,False
24,False,False
25,True,False
26,False,False
27,False,False
28,True,False
29,False,False
30,False,False
31,True,False
32,False,False
33,False,False
34,False,False
35,True,False
36,False,False
37,True,False
38,False,False
39,True,False
40,False,False
41,True,False
42,False,False
43,True,False
44,False,False
45,True,False
46,False,False
47,True,False
48,False,True
49,True,False
50,False,True
51,True,False
52,False,True
53,True,False
54,False,True
55,True,False
56,False,True
57,True,False
58,False,True
59,True,False
60,False,False
61,True,False
62,False,False
63,True,False
64,False,False
65,True,False
66,True,False
67,False,False
68,True,False
69,False,False
70,True,False
71,False,False
72,False,False
73,True,False
74,False,False
75,True,False
76,False,False
77,True,False
78,False,False
79,True,False
80,False,False
81,True,False
82,False,False
83,True,False
84,False,False
85,True,False
86,False,False
87,True,False
88,False,False
89,True,False
90,False,False
91,True,False
92,False,False
93,True,False
94,False,False
95,True,False
96,False,False
97,True,False
98,False,False
99,True,False
100,False,False
101,True,False
