source,destination,label
19,39,True
54,16,False
58,60,True
39,55,True
17,35,False
34,51,True
4,29,False
61,65,False
12,27,False
57,17,False
58,20,True
18,39,True
47,5,True
62,22,False
16,35,False
71,77,True
74,75,False
74,24,False
57,60,False
56,14,True
9,37,False
13,27,False
24,47,True
38,55,True
3,25,False
48,3,True
70,75,False
43,2,True
7,33,False
49,3,True
64,69,False
15,31,False
2,25,False
23,45,True
60,63,False
52,11,True
66,22,False
75,77,True
42,1,True
65,22,False
30,53,False
76,24,True
73,24,True
46,4,True
73,79,True
53,58,True
67,69,False
71,24,True
64,22,False
14,31,False
35,51,True
59,22,False
28,51,True
66,67,False
32,55,False
52,60,True
67,22,False
41,59,True
59,61,False
51,60,True
72,24,False
6,33,False
69,24,False
31,53,False
8,37,False
53,13,True
10,41,False
70,24,False
5,29,False
22,45,True
26,49,True
40,57,True
11,41,False
44,0,False
55,19,True
75,24,True
68,24,False
37,53,False
56,60,True
29,51,True
61,22,False
1,23,True
27,49,True
65,65,False
21,43,True
45,0,False
69,73,False
0,21,False
51,9,True
68,71,False
76,79,True
36,53,False
63,22,False
33,55,True
72,75,False
55,58,True
50,60,True
54,58,False
20,43,True
63,65,False
50,7,True
60,22,False
62,67,False
25,47,True
