index,is_in_good_operators
0,False
1,False
2,True
3,True
4,False
5,True
6,True
7,True
8,True
9,False
10,False
11,False
12,False
13,False
14,False
15,False
16,False
17,False
18,False
19,True
20,True
21,False
22,False
23,False
24,True
25,False
26,False
27,False
28,False
29,False
30,False
31,False
32,False
33,True
34,True
35,True
36,True
37,False
38,False
39,True
40,True
41,True
42,True
43,True
44,True
45,False
46,True
47,True
48,True
49,True
50,True
51,True
52,True
53,True
54,True
55,False
56,False
57,True
58,True
59,True
60,True
61,True
62,True
63,True
64,True
65,True
66,True
67,False
68,False
69,False
70,False
71,False
72,False
73,True
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,False
91,False
92,False
93,True
94,False
95,False
96,False
97,True
98,False
99,False
100,False
101,True
102,True
103,False
104,False
105,False
106,False
107,False
108,False
109,False
110,False
111,True
112,True
113,True
114,True
