index,is_init,is_goal
0,False,False
1,True,False
2,False,False
3,True,False
4,False,False
5,True,False
6,False,False
7,True,False
8,False,False
9,True,False
10,False,False
11,True,False
12,False,False
13,True,False
14,False,False
15,True,False
16,False,False
17,True,False
18,False,False
19,True,False
20,False,False
21,True,False
22,False,False
23,True,False
24,False,False
25,True,False
26,False,False
27,True,False
28,False,False
29,True,False
30,False,False
31,True,False
32,False,True
33,True,False
34,False,False
35,True,False
36,False,False
37,True,False
38,False,False
39,True,False
40,False,False
41,True,False
42,False,False
43,True,False
44,False,False
45,True,False
46,False,False
47,True,False
48,False,False
49,True,False
50,False,False
51,True,False
52,False,False
53,True,False
54,False,False
55,True,False
56,False,False
57,True,False
58,False,False
59,True,False
60,False,False
61,True,False
62,False,False
63,True,False
64,False,False
65,False,False
66,False,False
67,False,True
68,False,False
69,True,False
70,True,False
71,False,False
72,False,False
73,False,False
74,False,True
75,False,False
76,False,False
77,False,False
78,False,False
79,True,False
80,False,False
81,False,False
82,False,False
83,False,False
84,False,False
85,True,False
86,False,False
87,False,False
88,True,False
89,False,False
90,True,False
91,False,False
92,True,False
93,False,False
94,True,False
95,False,False
96,False,False
97,True,False
98,False,False
99,True,False
100,False,False
101,True,False
102,False,False
103,True,False
104,False,False
105,True,False
106,False,False
107,True,False
108,False,False
109,True,False
110,False,False
111,True,False
