source,destination
15,30
93,187
103,237
11,23
29,59
103,246
50,100
3,6
90,181
43,87
64,128
0,0
119,338
103,232
78,157
103,241
58,117
105,287
61,122
79,158
115,331
14,28
32,64
75,151
72,145
28,57
46,93
93,186
49,98
103,227
103,236
103,245
105,273
89,179
105,282
105,291
60,121
17,34
118,336
57,115
103,231
78,156
96,192
103,240
10,21
105,277
112,325
31,62
105,286
115,330
92,185
45,91
102,225
28,56
46,92
103,226
103,235
42,85
105,272
63,126
105,281
39,79
105,290
13,27
60,120
114,329
16,32
102,211
102,220
56,113
74,149
95,190
27,55
104,266
111,323
30,60
105,276
105,285
92,184
24,49
45,90
102,206
102,215
102,224
104,261
59,119
12,25
77,154
105,271
106,306
13,26
114,328
73,147
9,19
26,53
102,210
102,219
74,148
6,13
104,256
27,54
104,265
70,141
88,177
23,47
41,83
106,301
44,88
62,124
106,310
117,334
102,205
102,214
55,111
104,251
104,260
59,118
76,152
113,327
104,269
110,321
12,24
106,296
106,305
73,146
91,182
5,11
26,52
102,209
87,175
104,255
104,264
40,81
41,82
106,300
116,332
106,309
101,203
37,75
8,17
55,110
104,250
11,22
29,58
104,259
113,326
110,320
69,139
25,51
90,180
106,295
22,45
106,304
124,349
43,86
84,169
87,174
40,80
58,116
98,197
106,299
54,109
101,202
75,150
51,103
7,15
72,144
109,319
8,16
103,244
86,173
68,137
89,178
4,9
123,347
25,50
22,44
83,167
18,37
36,73
57,114
103,230
103,239
10,20
112,324
97,195
71,143
54,108
108,317
7,14
85,171
65,131
21,43
103,234
103,243
68,136
86,172
42,84
105,280
39,78
105,289
82,165
100,201
35,71
53,107
56,112
111,322
103,229
103,238
103,247
50,101
105,275
105,284
71,142
125,351
3,7
122,345
24,48
108,316
102,223
64,129
38,77
85,170
119,339
21,42
103,233
103,242
105,270
99,199
105,279
105,288
52,105
100,200
32,65
35,70
53,106
9,18
107,315
102,218
6,12
49,99
67,135
103,228
70,140
88,176
2,5
20,41
105,274
23,46
105,283
125,350
122,344
81,163
102,204
102,213
17,35
102,222
118,337
38,76
104,268
96,193
99,198
105,278
31,63
52,104
106,313
5,10
107,314
102,208
66,133
102,217
104,254
19,39
104,263
67,134
121,343
2,4
20,40
63,127
80,161
106,308
16,33
34,69
81,162
37,74
102,212
102,221
104,249
95,191
104,258
104,267
30,61
48,97
69,138
1,3
106,294
106,303
106,312
124,348
102,207
66,132
84,168
102,216
120,341
104,253
19,38
104,262
121,342
77,155
33,67
80,160
98,196
106,298
106,307
34,68
51,102
109,318
94,189
47,95
104,248
104,257
48,96
4,8
123,346
1,2
106,293
106,302
44,89
62,125
106,311
83,166
15,31
117,335
18,36
36,72
120,340
104,252
76,153
97,194
33,66
106,297
91,183
94,188
0,1
47,94
65,130
61,123
79,159
82,164
106,292
14,29
116,333
