source,destination,label
27,157,False
75,43,False
88,159,False
80,0,True
12,25,False
45,211,False
116,238,False
30,265,False
13,28,True
105,212,True
12,199,False
87,5,False
90,31,False
44,204,True
38,194,False
126,291,False
93,173,True
48,219,False
0,48,True
13,164,True
54,233,False
4,163,False
0,238,False
47,212,True
73,40,True
120,259,False
18,130,False
32,172,True
14,44,True
61,29,False
131,322,False
17,124,False
5,224,False
106,206,False
11,249,False
123,275,False
90,168,True
0,268,False
27,256,True
4,20,True
49,314,True
14,34,True
4,221,False
3,209,True
21,145,False
77,20,True
9,89,True
10,294,True
26,158,False
3,159,False
93,9,False
48,309,True
65,9,False
33,177,True
4,61,True
102,200,True
41,202,False
117,241,False
51,227,False
35,182,False
3,15,False
12,183,False
13,202,False
1,291,False
4,145,False
33,272,False
14,170,False
40,290,True
10,324,True
49,311,False
8,84,False
90,160,True
2,53,False
82,151,False
33,273,True
43,298,True
132,329,False
96,35,False
52,319,False
3,56,True
1,242,False
87,164,True
100,191,False
3,192,True
117,249,False
105,204,True
111,229,False
6,71,False
1,321,False
99,37,False
42,297,True
3,18,True
71,15,False
5,23,False
84,153,False
0,318,False
108,217,True
45,305,True
1,272,False
67,35,False
16,117,False
4,11,False
2,190,False
73,16,True
132,321,False
59,27,False
36,185,True
55,326,False
84,27,False
126,297,True
9,91,False
36,280,False
15,112,False
91,162,False
29,168,True
39,193,True
111,221,False
34,275,False
39,288,False
7,76,False
4,147,False
10,247,False
55,327,False
129,311,False
131,328,True
50,226,False
13,216,True
38,192,True
14,184,True
16,120,False
102,192,True
129,301,True
123,281,True
13,42,True
91,170,False
4,3,False
53,234,False
22,238,False
15,47,False
0,302,True
75,19,False
1,256,True
126,289,True
82,143,False
75,42,True
14,230,False
115,234,False
11,312,False
3,59,True
90,7,False
52,322,False
24,155,False
0,286,True
10,278,True
51,221,False
12,214,False
99,196,True
22,239,False
119,252,True
14,153,False
11,313,True
23,148,True
63,31,False
5,227,False
4,178,False
27,163,False
103,202,False
122,276,False
131,320,True
81,149,False
87,29,False
3,211,False
84,145,False
32,176,True
13,102,True
51,317,False
86,28,True
26,156,True
20,146,False
120,265,False
123,273,True
108,209,True
11,264,True
61,5,False
2,204,True
1,275,False
11,331,False
30,165,False
14,154,False
12,99,False
28,255,False
57,25,False
51,320,True
89,30,True
47,214,False
10,308,False
29,170,False
115,226,False
45,304,False
30,261,False
48,217,True
125,296,False
15,232,False
94,183,False
48,312,False
114,47,False
122,268,False
41,200,True
128,304,False
81,141,False
109,219,False
7,79,False
54,231,False
116,248,True
30,264,True
46,307,False
48,313,True
1,306,True
129,303,False
120,257,False
18,128,False
10,327,False
65,8,True
13,167,False
5,64,False
69,36,True
27,253,False
2,174,False
17,122,False
6,74,False
0,316,True
128,312,False
3,195,False
34,270,True
113,46,False
125,288,False
117,247,False
94,175,False
31,263,False
21,143,False
119,264,True
54,329,False
102,39,False
116,240,True
3,157,False
126,299,False
111,228,True
103,194,False
35,180,True
12,151,False
11,266,False
39,195,False
13,200,True
67,11,False
14,168,True
114,232,False
25,250,False
46,302,True
2,51,True
28,258,False
59,3,False
1,240,True
42,197,True
14,186,False
4,10,True
10,261,False
100,198,False
21,241,False
42,292,False
11,296,False
122,282,True
0,270,True
15,235,False
11,297,True
13,219,False
14,31,False
4,162,False
106,215,False
14,187,False
109,211,False
50,224,False
54,324,True
12,37,False
114,224,False
1,320,True
2,188,True
1,259,False
11,315,False
5,67,False
19,134,True
85,154,False
0,239,False
32,178,False
13,104,False
20,144,True
67,34,True
75,18,True
2,16,True
10,292,False
119,266,False
24,153,False
12,97,True
13,105,True
69,12,True
117,239,False
51,225,False
15,110,False
31,266,False
63,7,False
17,125,False
119,256,True
129,309,True
106,207,False
43,295,False
1,49,False
33,175,False
24,249,False
97,186,False
111,220,True
86,4,True
2,207,False
132,327,False
10,311,False
81,148,True
14,26,True
90,169,False
85,146,False
11,95,False
116,250,False
2,13,False
57,1,False
89,6,True
105,213,True
1,274,True
83,26,True
6,69,False
53,232,False
36,281,True
14,228,True
12,212,True
23,154,False
100,190,False
15,113,False
18,131,False
11,299,False
13,203,False
37,283,False
122,274,True
4,176,True
16,115,False
128,310,True
12,40,True
71,38,True
12,196,True
2,54,False
132,319,False
14,45,False
5,225,False
27,161,False
92,32,True
21,236,True
40,291,False
11,250,False
13,165,False
2,172,True
1,243,False
1,273,True
111,45,False
14,152,True
113,22,False
87,156,True
4,222,False
0,319,False
13,39,False
36,183,False
105,205,True
11,329,False
24,244,True
44,208,True
2,141,False
65,32,True
96,184,True
0,253,False
10,245,False
125,294,True
2,8,True
11,280,False
119,258,False
57,24,True
102,15,False
16,118,False
19,133,False
128,302,True
102,201,True
39,289,True
42,199,False
11,281,True
131,326,False
112,230,False
4,146,False
30,171,False
14,171,False
18,126,True
37,278,True
123,279,False
9,92,False
97,178,False
8,80,True
0,300,False
98,36,True
10,325,False
81,140,True
4,160,True
90,161,False
10,309,True
79,46,False
116,242,False
3,193,True
105,41,False
91,171,False
3,57,False
125,286,True
6,72,False
1,322,False
2,0,True
13,217,True
10,260,True
102,193,True
120,263,False
35,186,False
83,2,True
112,222,False
49,315,False
123,271,False
12,32,True
27,252,True
0,303,False
14,231,False
61,28,True
88,166,False
1,257,False
45,207,False
95,10,True
91,163,False
99,188,True
67,10,True
38,190,False
4,220,True
10,279,False
12,100,False
93,180,True
48,215,False
26,162,False
7,77,False
120,255,False
101,38,True
11,283,False
40,286,True
14,185,True
19,136,False
108,43,False
12,24,True
12,180,True
132,325,False
88,158,False
55,330,False
4,144,True
25,251,False
96,11,False
49,310,True
47,216,True
14,108,False
117,245,False
115,235,False
3,60,True
52,323,False
21,141,False
93,172,True
5,65,False
42,293,True
99,197,True
14,109,True
0,237,False
81,25,False
10,262,False
99,13,False
11,314,True
55,331,False
4,179,False
103,203,False
12,149,False
44,210,False
11,248,True
19,139,False
33,173,True
117,237,False
71,14,True
51,223,False
4,7,False
2,205,True
17,123,False
33,268,False
14,155,False
95,34,True
69,37,False
111,21,False
63,6,True
33,269,True
36,276,False
43,294,True
115,227,False
2,189,True
9,88,True
10,293,True
15,233,False
85,155,False
3,158,False
99,189,True
22,243,False
45,205,True
12,198,False
23,152,True
107,42,True
122,280,False
103,195,False
8,82,False
3,14,True
2,140,True
11,267,False
50,222,False
13,201,True
1,290,True
57,0,True
10,244,True
13,106,True
114,233,False
26,160,True
51,321,False
129,315,False
18,129,False
45,301,True
77,45,False
19,132,True
8,83,False
2,52,False
132,317,False
22,242,False
47,218,False
92,8,True
0,287,False
36,181,True
4,2,True
1,241,False
24,151,False
126,293,True
9,87,False
29,164,True
11,298,True
39,189,True
34,271,False
10,263,False
13,103,False
54,235,False
39,284,False
12,213,True
11,328,True
129,307,False
12,96,True
0,317,False
79,23,False
131,324,True
38,188,True
16,116,False
5,68,False
59,26,True
123,277,True
81,1,False
27,257,False
13,38,True
51,316,True
53,230,False
30,169,False
61,4,True
28,259,False
45,300,False
34,274,True
126,285,True
82,150,False
100,199,False
4,223,False
98,12,True
15,111,False
31,267,False
52,318,False
12,182,False
21,147,False
3,5,False
79,22,False
85,147,False
7,75,False
114,23,False
105,17,False
30,260,True
10,246,False
84,152,True
73,41,False
27,159,False
101,14,True
8,85,False
122,272,False
35,184,True
131,316,True
114,225,False
20,142,False
108,19,False
120,261,False
123,269,True
11,282,True
107,18,True
110,44,True
6,70,False
4,177,True
0,301,True
19,135,True
42,201,True
10,276,False
82,142,False
14,229,False
29,166,False
42,296,False
2,173,True
104,40,True
63,30,True
0,252,True
48,213,True
10,277,True
125,292,False
117,251,False
84,144,True
48,308,False
4,21,False
14,35,False
41,196,True
14,169,False
11,251,False
128,300,False
46,303,False
116,244,True
2,191,False
10,94,True
3,210,False
9,90,False
97,187,False
10,295,False
25,246,False
120,253,False
13,29,False
50,220,True
2,142,False
69,13,False
46,306,True
126,287,False
96,176,True
54,229,False
15,46,False
0,271,False
25,247,False
128,308,False
5,22,False
59,2,True
125,284,False
117,243,False
15,114,False
94,182,False
2,143,False
108,216,True
112,231,False
119,260,True
129,313,True
45,209,True
54,325,False
131,318,False
116,236,True
7,78,False
87,165,False
126,295,False
97,179,False
12,197,True
2,55,False
1,305,True
5,226,False
44,206,False
132,331,False
10,326,False
13,166,False
39,191,False
14,30,True
0,236,True
12,41,False
54,328,True
77,21,False
12,148,True
2,17,False
32,174,False
112,223,False
12,215,False
11,330,False
6,73,False
77,44,True
12,98,False
28,254,False
96,185,True
0,254,False
71,39,False
4,6,True
93,33,False
3,156,True
4,62,False
21,237,False
94,174,False
108,208,True
53,228,True
65,33,False
31,262,False
80,24,True
41,198,False
122,278,True
16,119,False
128,314,True
4,63,True
132,323,False
14,27,False
1,304,False
43,299,False
21,240,True
11,265,False
88,167,False
33,179,False
109,218,False
12,33,False
0,284,False
9,93,False
24,248,True
2,9,False
13,43,False
2,50,True
36,187,False
0,285,True
12,101,False
10,310,True
93,181,True
3,19,False
79,47,False
96,177,True
14,107,True
3,58,False
125,298,True
20,140,True
1,323,False
2,12,True
18,127,False
119,262,False
24,149,False
122,270,True
37,279,False
128,306,True
15,234,False
19,137,False
2,1,False
42,203,False
131,330,False
13,218,False
1,307,False
4,161,False
73,17,False
17,121,False
106,214,False
129,305,True
3,4,True
109,210,False
2,175,False
37,282,True
3,194,False
87,157,False
24,245,False
123,283,False
12,150,False
19,138,False
1,258,False
110,20,True
9,86,True
1,289,True
5,66,False
116,246,False
3,208,True
125,290,True
36,277,True
0,255,False
104,16,True
119,254,False
23,150,False
39,285,True
120,267,False
1,288,False
30,167,False
0,269,True
8,81,False
12,36,True
12,181,True
2,206,False
84,3,False
40,287,False
