index,is_init,is_goal
0,True,False
1,False,False
2,False,False
3,False,False
4,False,False
5,False,False
6,False,False
7,False,False
8,False,False
9,False,False
10,True,False
11,False,False
12,False,False
13,False,False
14,False,False
15,False,False
16,False,False
17,False,False
18,False,False
19,False,False
20,True,False
21,False,False
22,False,False
23,True,False
24,False,False
25,False,False
26,True,False
27,False,False
28,False,False
29,True,False
30,False,False
31,False,False
32,True,False
33,False,False
34,False,False
35,True,False
36,False,False
37,False,False
38,True,False
39,False,False
40,False,False
41,True,False
42,False,False
43,False,False
44,True,False
45,False,False
46,False,False
47,True,False
48,False,False
49,False,False
50,True,False
51,False,False
52,False,False
53,True,False
54,False,False
55,False,False
56,False,False
57,True,False
58,False,False
59,True,False
60,False,False
61,True,False
62,False,False
63,True,False
64,False,False
65,True,False
66,False,False
67,True,False
68,False,False
69,True,False
70,False,False
71,True,False
72,False,False
73,True,False
74,False,False
75,True,False
76,False,False
77,True,False
78,False,False
79,True,False
80,True,False
81,False,False
82,False,False
83,True,False
84,False,False
85,False,False
86,True,False
87,False,False
88,False,False
89,True,False
90,False,False
91,False,False
92,True,False
93,False,False
94,False,False
95,True,False
96,False,False
97,False,False
98,True,False
99,False,False
100,False,False
101,True,False
102,False,False
103,False,False
104,True,False
105,False,False
106,False,False
107,True,False
108,False,False
109,False,False
110,True,False
111,False,False
112,False,False
113,True,False
114,False,False
115,False,False
116,True,False
117,False,True
118,False,False
119,True,False
120,False,True
121,False,False
122,True,False
123,False,False
124,False,True
125,True,False
126,False,False
127,False,True
128,True,False
129,False,False
130,False,True
131,True,False
132,False,True
133,False,False
