source,destination
15,30
89,187
4,9
52,113
59,128
25,50
5,10
12,25
22,44
11,23
29,59
77,163
66,142
84,178
50,100
13,26
87,183
19,39
3,6
18,37
36,73
73,156
91,192
2,4
20,40
9,19
26,53
57,123
10,20
43,87
6,13
50,102
80,170
27,54
58,124
16,33
34,69
64,137
71,152
37,74
0,0
88,186
23,47
41,83
78,166
44,88
50,104
7,14
55,118
62,133
30,61
48,97
79,167
85,180
14,28
32,64
21,43
69,147
1,3
42,84
53,114
86,181
75,160
39,78
28,57
46,93
51,107
59,127
76,161
83,176
49,98
12,24
67,143
82,174
35,71
66,141
84,177
90,190
19,38
56,121
74,157
89,188
63,136
51,109
73,155
91,191
5,11
60,130
26,52
57,122
33,67
81,171
70,150
77,164
17,34
50,101
80,169
54,117
87,184
34,68
40,81
71,151
3,7
51,111
58,126
24,48
61,131
86,182
41,82
47,95
78,165
10,21
65,140
31,62
38,77
68,145
48,96
4,8
37,75
52,112
85,179
72,154
21,42
1,2
45,91
8,17
11,22
29,58
44,89
62,134
28,56
46,92
51,106
83,175
15,31
18,36
36,72
25,51
32,65
69,148
35,70
9,18
42,85
90,189
22,45
53,115
43,86
56,120
6,12
39,79
63,135
13,27
76,162
51,108
16,32
49,99
60,129
67,144
33,66
70,149
88,185
2,5
20,41
23,46
54,116
74,158
50,103
40,80
51,110
27,55
58,125
64,138
30,60
0,1
81,172
47,94
17,35
65,139
38,76
75,159
50,105
7,15
55,119
24,49
72,153
61,132
79,168
45,90
8,16
82,173
14,29
31,63
68,146
