index,is_in_good_operators
0,True
1,True
2,False
3,False
4,False
5,False
6,False
7,False
8,True
9,True
10,True
11,True
12,True
13,True
14,False
15,False
16,False
17,False
18,False
19,False
20,True
21,True
22,True
23,True
24,True
25,True
26,False
27,False
28,False
29,False
30,False
31,False
32,True
33,True
34,True
35,True
36,True
37,True
38,False
39,True
40,False
41,False
42,True
43,False
44,False
45,True
46,False
47,False
48,True
49,False
50,False
51,True
52,False
53,False
54,True
55,False
56,False
57,False
58,False
59,False
60,False
61,False
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,False
91,False
92,True
93,True
94,True
95,True
96,True
97,True
98,True
99,True
100,True
101,True
102,True
103,True
104,True
105,True
106,True
107,True
108,True
109,True
110,True
111,True
112,True
113,True
114,True
115,True
116,True
117,True
118,True
119,True
120,True
121,True
122,True
123,True
124,True
125,True
126,False
127,True
128,False
129,True
130,False
131,False
132,False
133,False
134,False
135,False
136,False
137,False
138,False
139,False
140,False
141,False
142,False
143,False
144,False
145,False
146,False
147,True
148,False
149,True
150,False
151,False
152,False
153,False
154,False
155,True
156,False
157,True
158,False
159,False
160,False
161,False
162,False
163,False
164,False
165,False
166,False
167,False
168,False
169,False
170,False
171,False
172,False
173,False
174,False
175,False
176,False
177,False
178,False
179,False
180,False
181,False
182,False
183,False
184,False
185,False
186,False
187,False
188,False
189,False
190,False
191,False
192,False
193,False
194,False
195,False
196,False
197,False
198,True
199,False
200,True
201,False
202,False
203,False
204,False
205,False
206,True
207,False
208,True
209,False
210,True
211,False
212,True
213,False
214,True
215,False
216,True
217,False
218,True
219,False
220,True
221,False
222,True
223,False
224,True
225,False
226,True
227,False
228,True
229,False
230,True
231,False
232,True
233,False
234,False
235,True
236,False
237,True
238,False
239,True
240,False
241,True
242,False
243,True
244,False
245,True
246,False
247,True
248,False
249,True
250,False
251,False
252,False
253,False
254,False
255,True
256,False
257,True
258,False
259,True
260,False
261,True
262,False
263,False
264,False
265,False
266,False
267,True
268,False
269,True
270,True
271,True
272,False
273,False
274,True
275,True
276,True
277,True
278,False
279,False
280,True
281,True
282,True
283,True
284,False
285,False
286,True
287,True
288,True
289,True
290,True
291,True
292,True
293,True
