0:drive truck0 depot0 depot1
1:drive truck0 depot0 distributor0
2:drive truck0 depot1 depot0
3:drive truck0 depot1 distributor0
4:drive truck0 distributor0 depot0
5:drive truck0 distributor0 depot1
6:drive truck1 depot0 depot1
7:drive truck1 depot0 distributor0
8:drive truck1 depot1 depot0
9:drive truck1 depot1 distributor0
10:drive truck1 distributor0 depot0
11:drive truck1 distributor0 depot1
12:drop hoist0 crate0 crate1 depot0
13:drop hoist0 crate0 crate2 depot0
14:drop hoist0 crate0 crate3 depot0
15:drop hoist0 crate0 crate4 depot0
16:drop hoist0 crate0 crate5 depot0
17:drop hoist0 crate0 crate6 depot0
18:drop hoist0 crate0 crate7 depot0
19:drop hoist0 crate0 pallet0 depot0
20:drop hoist0 crate1 crate0 depot0
21:drop hoist0 crate1 crate2 depot0
22:drop hoist0 crate1 crate3 depot0
23:drop hoist0 crate1 crate4 depot0
24:drop hoist0 crate1 crate5 depot0
25:drop hoist0 crate1 crate6 depot0
26:drop hoist0 crate1 crate7 depot0
27:drop hoist0 crate1 pallet0 depot0
28:drop hoist0 crate2 crate0 depot0
29:drop hoist0 crate2 crate1 depot0
30:drop hoist0 crate2 crate3 depot0
31:drop hoist0 crate2 crate4 depot0
32:drop hoist0 crate2 crate5 depot0
33:drop hoist0 crate2 crate6 depot0
34:drop hoist0 crate2 crate7 depot0
35:drop hoist0 crate2 pallet0 depot0
36:drop hoist0 crate3 crate0 depot0
37:drop hoist0 crate3 crate1 depot0
38:drop hoist0 crate3 crate2 depot0
39:drop hoist0 crate3 crate4 depot0
40:drop hoist0 crate3 crate5 depot0
41:drop hoist0 crate3 crate6 depot0
42:drop hoist0 crate3 crate7 depot0
43:drop hoist0 crate3 pallet0 depot0
44:drop hoist0 crate4 crate0 depot0
45:drop hoist0 crate4 crate1 depot0
46:drop hoist0 crate4 crate2 depot0
47:drop hoist0 crate4 crate3 depot0
48:drop hoist0 crate4 crate5 depot0
49:drop hoist0 crate4 crate6 depot0
50:drop hoist0 crate4 crate7 depot0
51:drop hoist0 crate4 pallet0 depot0
52:drop hoist0 crate5 crate0 depot0
53:drop hoist0 crate5 crate1 depot0
54:drop hoist0 crate5 crate2 depot0
55:drop hoist0 crate5 crate3 depot0
56:drop hoist0 crate5 crate4 depot0
57:drop hoist0 crate5 crate6 depot0
58:drop hoist0 crate5 crate7 depot0
59:drop hoist0 crate5 pallet0 depot0
60:drop hoist0 crate6 crate0 depot0
61:drop hoist0 crate6 crate1 depot0
62:drop hoist0 crate6 crate2 depot0
63:drop hoist0 crate6 crate3 depot0
64:drop hoist0 crate6 crate4 depot0
65:drop hoist0 crate6 crate5 depot0
66:drop hoist0 crate6 crate7 depot0
67:drop hoist0 crate6 pallet0 depot0
68:drop hoist0 crate7 crate0 depot0
69:drop hoist0 crate7 crate1 depot0
70:drop hoist0 crate7 crate2 depot0
71:drop hoist0 crate7 crate3 depot0
72:drop hoist0 crate7 crate4 depot0
73:drop hoist0 crate7 crate5 depot0
74:drop hoist0 crate7 crate6 depot0
75:drop hoist0 crate7 pallet0 depot0
76:drop hoist1 crate0 crate1 depot1
77:drop hoist1 crate0 crate2 depot1
78:drop hoist1 crate0 crate3 depot1
79:drop hoist1 crate0 crate4 depot1
80:drop hoist1 crate0 crate5 depot1
81:drop hoist1 crate0 crate6 depot1
82:drop hoist1 crate0 crate7 depot1
83:drop hoist1 crate0 pallet1 depot1
84:drop hoist1 crate1 crate0 depot1
85:drop hoist1 crate1 crate2 depot1
86:drop hoist1 crate1 crate3 depot1
87:drop hoist1 crate1 crate4 depot1
88:drop hoist1 crate1 crate5 depot1
89:drop hoist1 crate1 crate6 depot1
90:drop hoist1 crate1 crate7 depot1
91:drop hoist1 crate1 pallet1 depot1
92:drop hoist1 crate2 crate0 depot1
93:drop hoist1 crate2 crate1 depot1
94:drop hoist1 crate2 crate3 depot1
95:drop hoist1 crate2 crate4 depot1
96:drop hoist1 crate2 crate5 depot1
97:drop hoist1 crate2 crate6 depot1
98:drop hoist1 crate2 crate7 depot1
99:drop hoist1 crate2 pallet1 depot1
100:drop hoist1 crate3 crate0 depot1
101:drop hoist1 crate3 crate1 depot1
102:drop hoist1 crate3 crate2 depot1
103:drop hoist1 crate3 crate4 depot1
104:drop hoist1 crate3 crate5 depot1
105:drop hoist1 crate3 crate6 depot1
106:drop hoist1 crate3 crate7 depot1
107:drop hoist1 crate3 pallet1 depot1
108:drop hoist1 crate4 crate0 depot1
109:drop hoist1 crate4 crate1 depot1
110:drop hoist1 crate4 crate2 depot1
111:drop hoist1 crate4 crate3 depot1
112:drop hoist1 crate4 crate5 depot1
113:drop hoist1 crate4 crate6 depot1
114:drop hoist1 crate4 crate7 depot1
115:drop hoist1 crate4 pallet1 depot1
116:drop hoist1 crate5 crate0 depot1
117:drop hoist1 crate5 crate1 depot1
118:drop hoist1 crate5 crate2 depot1
119:drop hoist1 crate5 crate3 depot1
120:drop hoist1 crate5 crate4 depot1
121:drop hoist1 crate5 crate6 depot1
122:drop hoist1 crate5 crate7 depot1
123:drop hoist1 crate5 pallet1 depot1
124:drop hoist1 crate6 crate0 depot1
125:drop hoist1 crate6 crate1 depot1
126:drop hoist1 crate6 crate2 depot1
127:drop hoist1 crate6 crate3 depot1
128:drop hoist1 crate6 crate4 depot1
129:drop hoist1 crate6 crate5 depot1
130:drop hoist1 crate6 crate7 depot1
131:drop hoist1 crate6 pallet1 depot1
132:drop hoist1 crate7 crate0 depot1
133:drop hoist1 crate7 crate1 depot1
134:drop hoist1 crate7 crate2 depot1
135:drop hoist1 crate7 crate3 depot1
136:drop hoist1 crate7 crate4 depot1
137:drop hoist1 crate7 crate5 depot1
138:drop hoist1 crate7 crate6 depot1
139:drop hoist1 crate7 pallet1 depot1
140:drop hoist2 crate0 crate1 distributor0
141:drop hoist2 crate0 crate2 distributor0
142:drop hoist2 crate0 crate3 distributor0
143:drop hoist2 crate0 crate4 distributor0
144:drop hoist2 crate0 crate5 distributor0
145:drop hoist2 crate0 crate6 distributor0
146:drop hoist2 crate0 crate7 distributor0
147:drop hoist2 crate0 pallet2 distributor0
148:drop hoist2 crate1 crate0 distributor0
149:drop hoist2 crate1 crate2 distributor0
150:drop hoist2 crate1 crate3 distributor0
151:drop hoist2 crate1 crate4 distributor0
152:drop hoist2 crate1 crate5 distributor0
153:drop hoist2 crate1 crate6 distributor0
154:drop hoist2 crate1 crate7 distributor0
155:drop hoist2 crate1 pallet2 distributor0
156:drop hoist2 crate2 crate0 distributor0
157:drop hoist2 crate2 crate1 distributor0
