0:drive truck0 depot0 depot1
1:drive truck0 depot0 distributor0
2:drive truck0 depot0 distributor1
3:drive truck0 depot1 depot0
4:drive truck0 depot1 distributor0
5:drive truck0 depot1 distributor1
6:drive truck0 distributor0 depot0
7:drive truck0 distributor0 depot1
8:drive truck0 distributor0 distributor1
9:drive truck0 distributor1 depot0
10:drive truck0 distributor1 depot1
11:drive truck0 distributor1 distributor0
12:drive truck1 depot0 depot1
13:drive truck1 depot0 distributor0
14:drive truck1 depot0 distributor1
15:drive truck1 depot1 depot0
16:drive truck1 depot1 distributor0
17:drive truck1 depot1 distributor1
18:drive truck1 distributor0 depot0
19:drive truck1 distributor0 depot1
20:drive truck1 distributor0 distributor1
21:drive truck1 distributor1 depot0
22:drive truck1 distributor1 depot1
23:drive truck1 distributor1 distributor0
24:drive truck2 depot0 depot1
25:drive truck2 depot0 distributor0
26:drive truck2 depot0 distributor1
27:drive truck2 depot1 depot0
28:drive truck2 depot1 distributor0
29:drive truck2 depot1 distributor1
30:drive truck2 distributor0 depot0
31:drive truck2 distributor0 depot1
32:drive truck2 distributor0 distributor1
33:drive truck2 distributor1 depot0
34:drive truck2 distributor1 depot1
35:drive truck2 distributor1 distributor0
36:drop hoist0 crate0 crate1 depot0
37:drop hoist0 crate0 crate2 depot0
38:drop hoist0 crate0 crate3 depot0
39:drop hoist0 crate0 crate4 depot0
40:drop hoist0 crate0 pallet0 depot0
41:drop hoist0 crate1 crate0 depot0
42:drop hoist0 crate1 crate2 depot0
43:drop hoist0 crate1 crate3 depot0
44:drop hoist0 crate1 crate4 depot0
45:drop hoist0 crate1 pallet0 depot0
46:drop hoist0 crate2 crate0 depot0
47:drop hoist0 crate2 crate1 depot0
48:drop hoist0 crate2 crate3 depot0
49:drop hoist0 crate2 crate4 depot0
50:drop hoist0 crate2 pallet0 depot0
51:drop hoist0 crate3 crate0 depot0
52:drop hoist0 crate3 crate1 depot0
53:drop hoist0 crate3 crate2 depot0
54:drop hoist0 crate3 crate4 depot0
55:drop hoist0 crate3 pallet0 depot0
56:drop hoist0 crate4 crate0 depot0
57:drop hoist0 crate4 crate1 depot0
58:drop hoist0 crate4 crate2 depot0
59:drop hoist0 crate4 crate3 depot0
60:drop hoist0 crate4 pallet0 depot0
61:drop hoist1 crate0 crate1 depot1
62:drop hoist1 crate0 crate2 depot1
63:drop hoist1 crate0 crate3 depot1
64:drop hoist1 crate0 crate4 depot1
65:drop hoist1 crate0 pallet1 depot1
66:drop hoist1 crate1 crate0 depot1
67:drop hoist1 crate1 crate2 depot1
68:drop hoist1 crate1 crate3 depot1
69:drop hoist1 crate1 crate4 depot1
70:drop hoist1 crate1 pallet1 depot1
71:drop hoist1 crate2 crate0 depot1
72:drop hoist1 crate2 crate1 depot1
73:drop hoist1 crate2 crate3 depot1
74:drop hoist1 crate2 crate4 depot1
75:drop hoist1 crate2 pallet1 depot1
76:drop hoist1 crate3 crate0 depot1
77:drop hoist1 crate3 crate1 depot1
78:drop hoist1 crate3 crate2 depot1
79:drop hoist1 crate3 crate4 depot1
80:drop hoist1 crate3 pallet1 depot1
81:drop hoist1 crate4 crate0 depot1
82:drop hoist1 crate4 crate1 depot1
83:drop hoist1 crate4 crate2 depot1
84:drop hoist1 crate4 crate3 depot1
85:drop hoist1 crate4 pallet1 depot1
86:drop hoist2 crate0 crate1 distributor0
87:drop hoist2 crate0 crate2 distributor0
88:drop hoist2 crate0 crate3 distributor0
89:drop hoist2 crate0 crate4 distributor0
90:drop hoist2 crate0 pallet2 distributor0
91:drop hoist2 crate1 crate0 distributor0
92:drop hoist2 crate1 crate2 distributor0
93:drop hoist2 crate1 crate3 distributor0
94:drop hoist2 crate1 crate4 distributor0
95:drop hoist2 crate1 pallet2 distributor0
96:drop hoist2 crate2 crate0 distributor0
97:drop hoist2 crate2 crate1 distributor0
98:drop hoist2 crate2 crate3 distributor0
99:drop hoist2 crate2 crate4 distributor0
100:drop hoist2 crate2 pallet2 distributor0
101:drop hoist2 crate3 crate0 distributor0
102:drop hoist2 crate3 crate1 distributor0
103:drop hoist2 crate3 crate2 distributor0
104:drop hoist2 crate3 crate4 distributor0
105:drop hoist2 crate3 pallet2 distributor0
106:drop hoist2 crate4 crate0 distributor0
107:drop hoist2 crate4 crate1 distributor0
108:drop hoist2 crate4 crate2 distributor0
109:drop hoist2 crate4 crate3 distributor0
110:drop hoist2 crate4 pallet2 distributor0
111:drop hoist3 crate0 crate1 distributor1
112:drop hoist3 crate0 crate2 distributor1
113:drop hoist3 crate0 crate3 distributor1
114:drop hoist3 crate0 crate4 distributor1
115:drop hoist3 crate0 pallet3 distributor1
116:drop hoist3 crate1 crate0 distributor1
117:drop hoist3 crate1 crate2 distributor1
118:drop hoist3 crate1 crate3 distributor1
119:drop hoist3 crate1 crate4 distributor1
120:drop hoist3 crate1 pallet3 distributor1
121:drop hoist3 crate2 crate0 distributor1
122:drop hoist3 crate2 crate1 distributor1
123:drop hoist3 crate2 crate3 distributor1
124:drop hoist3 crate2 crate4 distributor1
125:drop hoist3 crate2 pallet3 distributor1
126:drop hoist3 crate3 crate0 distributor1
127:drop hoist3 crate3 crate1 distributor1
128:drop hoist3 crate3 crate2 distributor1
129:drop hoist3 crate3 crate4 distributor1
130:drop hoist3 crate3 pallet3 distributor1
131:drop hoist3 crate4 crate0 distributor1
132:drop hoist3 crate4 crate1 distributor1
133:drop hoist3 crate4 crate2 distributor1
134:drop hoist3 crate4 crate3 distributor1
135:drop hoist3 crate4 pallet3 distributor1
136:lift hoist0 crate0 crate1 depot0
137:lift hoist0 crate0 crate2 depot0
138:lift hoist0 crate0 crate3 depot0
139:lift hoist0 crate0 crate4 depot0
140:lift hoist0 crate0 pallet0 depot0
141:lift hoist0 crate0 pallet1 depot0
142:lift hoist0 crate0 pallet2 depot0
143:lift hoist0 crate0 pallet3 depot0
144:lift hoist0 crate1 crate0 depot0
145:lift hoist0 crate1 crate2 depot0
146:lift hoist0 crate1 crate3 depot0
147:lift hoist0 crate1 crate4 depot0
148:lift hoist0 crate1 pallet0 depot0
149:lift hoist0 crate1 pallet1 depot0
150:lift hoist0 crate1 pallet2 depot0
151:lift hoist0 crate1 pallet3 depot0
152:lift hoist0 crate2 crate0 depot0
153:lift hoist0 crate2 crate1 depot0
154:lift hoist0 crate2 crate3 depot0
155:lift hoist0 crate2 crate4 depot0
156:lift hoist0 crate2 pallet0 depot0
157:lift hoist0 crate2 pallet1 depot0
158:lift hoist0 crate2 pallet2 depot0
159:lift hoist0 crate2 pallet3 depot0
160:lift hoist0 crate3 crate0 depot0
161:lift hoist0 crate3 crate1 depot0
162:lift hoist0 crate3 crate2 depot0
163:lift hoist0 crate3 crate4 depot0
164:lift hoist0 crate3 pallet0 depot0
165:lift hoist0 crate3 pallet1 depot0
166:lift hoist0 crate3 pallet2 depot0
167:lift hoist0 crate3 pallet3 depot0
168:lift hoist0 crate4 crate0 depot0
169:lift hoist0 crate4 crate1 depot0
170:lift hoist0 crate4 crate2 depot0
171:lift hoist0 crate4 crate3 depot0
172:lift hoist0 crate4 pallet0 depot0
173:lift hoist0 crate4 pallet1 depot0
174:lift hoist0 crate4 pallet2 depot0
175:lift hoist0 crate4 pallet3 depot0
176:lift hoist1 crate0 crate1 depot1
177:lift hoist1 crate0 crate2 depot1
178:lift hoist1 crate0 crate3 depot1
179:lift hoist1 crate0 crate4 depot1
180:lift hoist1 crate0 pallet0 depot1
181:lift hoist1 crate0 pallet1 depot1
182:lift hoist1 crate0 pallet2 depot1
183:lift hoist1 crate0 pallet3 depot1
184:lift hoist1 crate1 crate0 depot1
185:lift hoist1 crate1 crate2 depot1
186:lift hoist1 crate1 crate3 depot1
187:lift hoist1 crate1 crate4 depot1
188:lift hoist1 crate1 pallet0 depot1
189:lift hoist1 crate1 pallet1 depot1
190:lift hoist1 crate1 pallet2 depot1
191:lift hoist1 crate1 pallet3 depot1
192:lift hoist1 crate2 crate0 depot1
193:lift hoist1 crate2 crate1 depot1
194:lift hoist1 crate2 crate3 depot1
195:lift hoist1 crate2 crate4 depot1
196:lift hoist1 crate2 pallet0 depot1
197:lift hoist1 crate2 pallet1 depot1
198:lift hoist1 crate2 pallet2 depot1
199:lift hoist1 crate2 pallet3 depot1
200:lift hoist1 crate3 crate0 depot1
201:lift hoist1 crate3 crate1 depot1
202:lift hoist1 crate3 crate2 depot1
203:lift hoist1 crate3 crate4 depot1
204:lift hoist1 crate3 pallet0 depot1
205:lift hoist1 crate3 pallet1 depot1
206:lift hoist1 crate3 pallet2 depot1
207:lift hoist1 crate3 pallet3 depot1
208:lift hoist1 crate4 crate0 depot1
209:lift hoist1 crate4 crate1 depot1
210:lift hoist1 crate4 crate2 depot1
211:lift hoist1 crate4 crate3 depot1
212:lift hoist1 crate4 pallet0 depot1
213:lift hoist1 crate4 pallet1 depot1
214:lift hoist1 crate4 pallet2 depot1
215:lift hoist1 crate4 pallet3 depot1
216:lift hoist2 crate0 crate1 distributor0
217:lift hoist2 crate0 crate2 distributor0
218:lift hoist2 crate0 crate3 distributor0
219:lift hoist2 crate0 crate4 distributor0
220:lift hoist2 crate0 pallet0 distributor0
221:lift hoist2 crate0 pallet1 distributor0
222:lift hoist2 crate0 pallet2 distributor0
223:lift hoist2 crate0 pallet3 distributor0
224:lift hoist2 crate1 crate0 distributor0
225:lift hoist2 crate1 crate2 distributor0
226:lift hoist2 crate1 crate3 distributor0
227:lift hoist2 crate1 crate4 distributor0
228:lift hoist2 crate1 pallet0 distributor0
229:lift hoist2 crate1 pallet1 distributor0
230:lift hoist2 crate1 pallet2 distributor0
231:lift hoist2 crate1 pallet3 distributor0
232:lift hoist2 crate2 crate0 distributor0
233:lift hoist2 crate2 crate1 distributor0
234:lift hoist2 crate2 crate3 distributor0
235:lift hoist2 crate2 crate4 distributor0
236:lift hoist2 crate2 pallet0 distributor0
237:lift hoist2 crate2 pallet1 distributor0
238:lift hoist2 crate2 pallet2 distributor0
239:lift hoist2 crate2 pallet3 distributor0
240:lift hoist2 crate3 crate0 distributor0
241:lift hoist2 crate3 crate1 distributor0
242:lift hoist2 crate3 crate2 distributor0
243:lift hoist2 crate3 crate4 distributor0
244:lift hoist2 crate3 pallet0 distributor0
245:lift hoist2 crate3 pallet1 distributor0
246:lift hoist2 crate3 pallet2 distributor0
247:lift hoist2 crate3 pallet3 distributor0
248:lift hoist2 crate4 crate0 distributor0
