source,destination,label
152,23,False
6,0,False
59,32,False
25,21,False
124,34,False
28,36,False
67,2,False
70,31,False
54,31,False
128,93,False
20,6,False
30,12,False
123,81,False
148,43,False
91,22,False
62,29,False
14,3,False
31,33,False
50,29,False
10,21,False
127,14,False
63,44,False
110,69,False
14,60,False
112,24,False
158,89,False
11,25,False
127,93,False
86,11,False
79,35,True
59,13,False
94,14,False
54,23,False
77,8,False
64,26,False
123,24,False
41,27,False
61,2,False
13,27,False
33,97,False
34,21,False
85,22,False
85,11,False
29,9,False
39,23,False
39,34,False
95,92,False
58,30,False
20,72,False
159,23,False
2,18,True
99,45,False
94,22,False
57,23,True
37,23,False
37,1,False
66,22,False
28,86,False
51,82,False
66,44,False
108,28,False
189,24,True
163,44,False
33,21,False
28,9,False
72,56,False
85,80,False
165,22,False
176,45,False
53,10,False
13,30,False
96,24,False
121,11,False
175,92,False
91,34,False
54,34,False
126,24,False
30,26,False
136,55,False
114,24,False
98,2,False
112,8,False
16,21,False
75,8,False
99,26,False
17,40,False
115,37,False
30,94,False
122,11,False
183,24,False
87,37,False
153,23,False
47,7,False
106,5,False
157,79,False
120,11,False
90,34,False
12,58,False
29,88,False
43,27,False
79,8,True
45,4,False
46,23,False
97,2,False
104,57,False
111,8,False
26,9,True
32,96,False
33,32,False
144,21,True
168,68,False
28,31,False
77,22,False
71,56,False
106,24,False
174,22,False
31,28,False
132,21,False
60,38,False
17,21,False
3,17,False
45,23,False
64,2,False
58,33,False
172,80,False
186,81,False
177,24,False
92,31,True
75,68,False
6,25,False
70,56,False
77,30,False
47,29,False
178,45,False
103,25,False
173,22,False
19,29,False
38,25,False
56,23,False
8,48,False
75,30,False
85,33,False
69,22,False
89,92,False
29,31,False
130,24,False
7,0,False
125,34,False
16,62,False
8,21,False
133,21,False
168,22,False
9,34,False
101,45,False
63,31,False
68,22,False
145,91,False
113,24,False
7,30,False
35,21,False
19,21,False
186,24,False
150,54,False
62,26,False
55,10,False
88,32,False
98,24,False
60,99,False
123,11,False
93,34,False
55,87,False
84,80,True
112,30,False
13,3,False
78,8,False
42,27,False
79,68,True
91,29,False
30,21,False
0,16,True
114,8,False
101,26,False
101,37,False
120,33,False
21,6,False
48,72,False
73,37,False
74,56,False
133,43,False
68,25,False
79,30,True
87,32,False
40,25,False
135,21,False
92,34,True
26,31,True
48,23,False
32,12,False
111,69,False
103,28,False
106,57,False
24,82,False
46,7,False
163,22,False
61,27,False
78,68,False
87,22,False
56,26,False
73,56,False
129,14,False
75,22,False
42,30,False
54,10,False
96,2,False
182,69,False
184,24,False
56,94,False
78,30,False
129,93,False
155,77,False
31,12,False
60,33,False
102,39,False
10,0,False
121,35,False
128,34,False
46,26,False
80,8,False
105,24,False
188,24,True
95,22,False
43,60,False
35,33,False
58,96,False
108,37,False
53,84,False
176,24,False
138,66,False
114,69,False
8,32,False
50,38,False
75,25,False
116,24,False
127,34,False
104,24,False
146,41,False
51,31,False
147,23,False
6,28,False
65,26,False
72,5,False
83,80,False
105,5,False
131,41,False
118,81,False
81,8,False
45,38,False
115,24,False
15,61,False
99,24,False
17,27,False
68,28,False
59,33,False
79,22,True
124,24,False
12,26,False
187,81,False
22,29,False
113,8,False
113,30,False
101,2,False
118,32,False
38,1,False
147,42,False
67,22,False
109,28,False
109,39,False
167,68,False
72,35,False
114,30,False
15,3,False
44,27,False
140,77,True
51,23,False
16,27,False
166,22,False
23,6,False
81,68,False
106,33,False
8,25,False
135,54,False
9,21,False
78,22,False
146,23,False
69,28,False
18,6,True
46,29,False
71,5,False
22,21,False
81,30,False
100,26,False
142,21,False
95,14,False
48,7,False
107,5,False
80,68,False
89,22,False
7,25,False
62,2,False
187,24,False
36,46,False
61,22,False
63,26,False
86,22,False
15,34,False
134,53,False
52,28,False
70,5,False
29,40,False
46,70,False
57,13,True
80,30,False
105,57,False
167,22,False
41,58,False
100,45,False
152,65,False
164,56,False
34,98,False
38,23,False
107,35,False
107,24,False
115,8,False
67,44,False
81,22,False
4,20,False
139,67,False
91,92,False
155,23,False
86,80,False
178,24,False
89,14,False
96,27,False
49,23,False
118,24,False
78,33,False
56,13,False
34,33,False
10,25,False
29,21,False
80,22,False
130,14,False
24,9,False
90,92,False
53,30,False
23,29,False
154,23,False
156,78,False
8,0,False
11,40,False
7,47,False
101,24,False
61,44,False
144,90,True
110,24,False
84,29,True
115,30,False
33,33,False
28,21,False
12,21,False
40,1,False
189,93,True
118,27,False
169,68,False
90,27,False
74,5,False
77,31,False
126,14,False
145,21,False
49,34,False
88,11,False
41,4,False
58,23,False
21,34,False
45,63,False
65,2,False
126,93,False
52,31,False
11,21,False
94,37,False
113,33,False
24,31,False
89,25,False
66,26,False
66,37,False
125,24,False
63,2,False
48,29,False
73,5,False
84,32,True
116,30,False
17,3,False
102,26,False
20,29,False
130,93,False
87,11,False
41,23,False
51,26,False
27,85,False
119,29,False
72,22,False
112,69,False
92,92,True
51,10,False
107,57,False
139,21,False
169,22,False
16,3,False
102,45,False
52,23,False
55,38,False
40,23,False
123,39,False
11,52,False
109,5,False
112,31,False
95,39,False
48,32,False
32,21,False
67,39,False
20,21,False
20,32,False
93,92,False
157,23,False
100,2,False
117,32,False
97,45,False
129,34,False
57,95,True
25,9,False
10,36,False
35,12,False
64,44,False
64,22,False
64,33,False
106,28,False
49,7,False
108,5,False
170,22,True
154,67,False
31,21,False
15,21,False
47,71,False
156,23,False
19,71,False
99,2,False
117,24,False
173,92,False
122,37,False
68,56,False
180,24,False
25,28,False
136,21,False
165,56,False
117,81,False
