source,destination,label
21,202,False
32,101,False
0,34,False
0,86,True
20,190,True
38,126,False
75,188,False
1,133,False
12,9,True
36,45,False
15,128,False
114,196,True
22,224,False
21,205,True
50,51,False
10,62,True
26,166,False
26,177,False
23,248,False
34,108,False
88,189,False
123,179,False
28,66,False
107,168,False
26,234,False
85,243,False
26,245,False
9,115,False
26,139,False
56,89,True
32,150,False
88,190,True
28,89,True
104,117,True
75,24,False
12,123,False
101,194,False
24,103,False
24,114,False
1,136,False
18,228,False
74,224,False
115,83,False
36,171,False
116,124,False
30,140,False
59,237,False
34,62,True
58,91,True
89,70,False
26,158,False
114,43,False
28,135,False
32,74,False
52,133,False
1,78,False
24,122,False
38,128,False
13,57,False
4,145,False
40,39,True
24,84,False
24,95,False
24,106,False
15,24,False
32,154,True
63,55,False
10,157,False
32,104,False
13,164,False
38,129,False
30,67,True
78,149,False
100,230,False
15,131,False
19,201,False
38,52,False
22,227,False
26,141,False
32,55,False
30,94,False
26,169,False
23,251,False
24,125,False
36,116,False
28,78,False
20,184,True
21,235,False
86,226,False
10,81,False
26,237,False
26,248,False
7,152,False
36,117,True
24,87,False
24,221,False
22,4,False
24,232,False
56,137,False
6,101,False
34,157,False
117,173,False
10,160,False
94,112,False
63,203,False
16,174,False
28,20,False
26,240,True
63,59,True
4,79,False
7,153,False
101,34,False
32,153,False
21,3,False
30,143,False
114,44,False
15,17,False
32,36,False
83,154,True
38,178,False
20,2,True
111,249,False
3,6,False
3,28,False
26,150,False
58,139,False
26,161,False
26,172,False
4,147,False
96,114,False
101,37,True
76,206,True
6,14,False
34,81,False
0,89,True
95,161,False
66,142,False
36,120,True
9,110,False
26,134,False
36,165,False
7,49,False
24,224,False
112,232,False
34,160,False
49,180,False
12,118,False
50,199,False
102,74,False
23,206,True
24,98,False
16,177,False
88,29,False
93,159,False
77,148,False
63,58,False
49,181,True
115,78,False
12,119,True
36,166,False
19,204,True
34,111,False
98,228,False
26,153,False
7,68,False
75,20,False
121,177,False
102,75,False
82,105,False
