0:drive truck0 depot0 depot1
1:drive truck0 depot0 distributor0
2:drive truck0 depot0 distributor1
3:drive truck0 depot1 depot0
4:drive truck0 depot1 distributor0
5:drive truck0 depot1 distributor1
6:drive truck0 distributor0 depot0
7:drive truck0 distributor0 depot1
8:drive truck0 distributor0 distributor1
9:drive truck0 distributor1 depot0
10:drive truck0 distributor1 depot1
11:drive truck0 distributor1 distributor0
12:drive truck1 depot0 depot1
13:drive truck1 depot0 distributor0
14:drive truck1 depot0 distributor1
15:drive truck1 depot1 depot0
16:drive truck1 depot1 distributor0
17:drive truck1 depot1 distributor1
18:drive truck1 distributor0 depot0
19:drive truck1 distributor0 depot1
20:drive truck1 distributor0 distributor1
21:drive truck1 distributor1 depot0
22:drive truck1 distributor1 depot1
23:drive truck1 distributor1 distributor0
24:drop hoist0 crate0 crate1 depot0
25:drop hoist0 crate0 crate2 depot0
26:drop hoist0 crate0 pallet0 depot0
27:drop hoist0 crate1 crate0 depot0
28:drop hoist0 crate1 crate2 depot0
29:drop hoist0 crate1 pallet0 depot0
30:drop hoist0 crate2 crate0 depot0
31:drop hoist0 crate2 crate1 depot0
32:drop hoist0 crate2 pallet0 depot0
33:drop hoist1 crate0 crate1 depot1
34:drop hoist1 crate0 crate2 depot1
35:drop hoist1 crate0 pallet1 depot1
36:drop hoist1 crate1 crate0 depot1
37:drop hoist1 crate1 crate2 depot1
38:drop hoist1 crate1 pallet1 depot1
39:drop hoist1 crate2 crate0 depot1
40:drop hoist1 crate2 crate1 depot1
41:drop hoist1 crate2 pallet1 depot1
42:drop hoist2 crate0 crate1 distributor0
43:drop hoist2 crate0 crate2 distributor0
44:drop hoist2 crate0 pallet2 distributor0
45:drop hoist2 crate1 crate0 distributor0
46:drop hoist2 crate1 crate2 distributor0
47:drop hoist2 crate1 pallet2 distributor0
48:drop hoist2 crate2 crate0 distributor0
49:drop hoist2 crate2 crate1 distributor0
50:drop hoist2 crate2 pallet2 distributor0
51:drop hoist3 crate0 crate1 distributor1
52:drop hoist3 crate0 crate2 distributor1
53:drop hoist3 crate0 pallet3 distributor1
54:drop hoist3 crate1 crate0 distributor1
55:drop hoist3 crate1 crate2 distributor1
56:drop hoist3 crate1 pallet3 distributor1
57:drop hoist3 crate2 crate0 distributor1
58:drop hoist3 crate2 crate1 distributor1
59:drop hoist3 crate2 pallet3 distributor1
60:lift hoist0 crate0 crate1 depot0
61:lift hoist0 crate0 crate2 depot0
62:lift hoist0 crate0 pallet0 depot0
63:lift hoist0 crate0 pallet1 depot0
64:lift hoist0 crate0 pallet2 depot0
65:lift hoist0 crate0 pallet3 depot0
66:lift hoist0 crate1 crate0 depot0
67:lift hoist0 crate1 crate2 depot0
68:lift hoist0 crate1 pallet0 depot0
69:lift hoist0 crate1 pallet1 depot0
70:lift hoist0 crate1 pallet2 depot0
71:lift hoist0 crate1 pallet3 depot0
72:lift hoist0 crate2 crate0 depot0
73:lift hoist0 crate2 crate1 depot0
74:lift hoist0 crate2 pallet0 depot0
75:lift hoist0 crate2 pallet1 depot0
76:lift hoist0 crate2 pallet2 depot0
77:lift hoist0 crate2 pallet3 depot0
78:lift hoist1 crate0 crate1 depot1
79:lift hoist1 crate0 crate2 depot1
80:lift hoist1 crate0 pallet0 depot1
81:lift hoist1 crate0 pallet1 depot1
82:lift hoist1 crate0 pallet2 depot1
83:lift hoist1 crate0 pallet3 depot1
84:lift hoist1 crate1 crate0 depot1
85:lift hoist1 crate1 crate2 depot1
86:lift hoist1 crate1 pallet0 depot1
87:lift hoist1 crate1 pallet1 depot1
88:lift hoist1 crate1 pallet2 depot1
89:lift hoist1 crate1 pallet3 depot1
90:lift hoist1 crate2 crate0 depot1
91:lift hoist1 crate2 crate1 depot1
92:lift hoist1 crate2 pallet0 depot1
93:lift hoist1 crate2 pallet1 depot1
94:lift hoist1 crate2 pallet2 depot1
95:lift hoist1 crate2 pallet3 depot1
96:lift hoist2 crate0 crate1 distributor0
97:lift hoist2 crate0 crate2 distributor0
98:lift hoist2 crate0 pallet0 distributor0
99:lift hoist2 crate0 pallet1 distributor0
100:lift hoist2 crate0 pallet2 distributor0
101:lift hoist2 crate0 pallet3 distributor0
