source,destination
6,18
13,33
19,46
27,114
25,96
27,123
26,103
18,44
28,131
28,140
20,47
9,26
24,72
24,81
10,27
23,61
6,20
25,89
27,116
16,40
27,125
28,133
28,142
24,74
23,54
23,63
7,21
25,91
27,118
27,127
0,0
29,155
28,135
14,35
21,50
24,76
23,56
25,84
25,93
27,120
3,10
29,148
28,128
0,2
5,16
28,137
29,157
12,31
26,112
1,3
24,69
24,78
25,86
19,45
27,113
25,95
27,122
29,150
28,130
26,105
28,139
1,5
24,71
24,80
17,41
25,88
27,115
25,97
29,143
29,152
4,13
26,98
28,132
26,107
2,6
24,73
24,82
10,28
25,90
27,117
23,65
29,145
29,154
26,100
28,134
26,109
21,49
2,8
8,24
24,75
25,83
11,29
23,58
25,92
23,67
3,9
29,147
15,38
29,156
26,102
18,43
26,111
24,68
9,25
22,52
25,85
23,60
6,19
13,34
3,11
29,149
16,39
26,104
27,124
1,4
24,70
28,141
20,48
23,53
25,87
23,62
29,151
4,12
27,126
26,106
17,42
23,55
23,64
29,144
7,22
27,119
4,14
26,99
29,153
26,108
0,1
5,15
28,136
2,7
8,23
14,36
24,77
23,57
23,66
29,146
25,94
15,37
27,121
26,101
26,110
28,129
5,17
28,138
12,32
22,51
11,30
24,79
23,59
