0:drive truck0 depot0 depot1
1:drive truck0 depot0 distributor0
2:drive truck0 depot1 depot0
3:drive truck0 depot1 distributor0
4:drive truck0 distributor0 depot0
5:drive truck0 distributor0 depot1
6:drive truck1 depot0 depot1
7:drive truck1 depot0 distributor0
8:drive truck1 depot1 depot0
9:drive truck1 depot1 distributor0
10:drive truck1 distributor0 depot0
11:drive truck1 distributor0 depot1
12:drive truck2 depot0 depot1
13:drive truck2 depot0 distributor0
14:drive truck2 depot1 depot0
15:drive truck2 depot1 distributor0
16:drive truck2 distributor0 depot0
17:drive truck2 distributor0 depot1
18:drop hoist0 crate0 crate1 depot0
19:drop hoist0 crate0 crate2 depot0
20:drop hoist0 crate0 crate3 depot0
21:drop hoist0 crate0 pallet0 depot0
22:drop hoist0 crate1 crate0 depot0
23:drop hoist0 crate1 crate2 depot0
24:drop hoist0 crate1 crate3 depot0
25:drop hoist0 crate1 pallet0 depot0
26:drop hoist0 crate2 crate0 depot0
27:drop hoist0 crate2 crate1 depot0
28:drop hoist0 crate2 crate3 depot0
29:drop hoist0 crate2 pallet0 depot0
30:drop hoist0 crate3 crate0 depot0
31:drop hoist0 crate3 crate1 depot0
32:drop hoist0 crate3 crate2 depot0
33:drop hoist0 crate3 pallet0 depot0
34:drop hoist1 crate0 crate1 depot1
35:drop hoist1 crate0 crate2 depot1
36:drop hoist1 crate0 crate3 depot1
37:drop hoist1 crate0 pallet1 depot1
38:drop hoist1 crate1 crate0 depot1
39:drop hoist1 crate1 crate2 depot1
40:drop hoist1 crate1 crate3 depot1
41:drop hoist1 crate1 pallet1 depot1
42:drop hoist1 crate2 crate0 depot1
43:drop hoist1 crate2 crate1 depot1
44:drop hoist1 crate2 crate3 depot1
45:drop hoist1 crate2 pallet1 depot1
46:drop hoist1 crate3 crate0 depot1
47:drop hoist1 crate3 crate1 depot1
48:drop hoist1 crate3 crate2 depot1
49:drop hoist1 crate3 pallet1 depot1
50:drop hoist2 crate0 crate1 distributor0
51:drop hoist2 crate0 crate2 distributor0
52:drop hoist2 crate0 crate3 distributor0
53:drop hoist2 crate0 pallet2 distributor0
54:drop hoist2 crate1 crate0 distributor0
55:drop hoist2 crate1 crate2 distributor0
56:drop hoist2 crate1 crate3 distributor0
57:drop hoist2 crate1 pallet2 distributor0
58:drop hoist2 crate2 crate0 distributor0
59:drop hoist2 crate2 crate1 distributor0
60:drop hoist2 crate2 crate3 distributor0
61:drop hoist2 crate2 pallet2 distributor0
62:drop hoist2 crate3 crate0 distributor0
63:drop hoist2 crate3 crate1 distributor0
64:drop hoist2 crate3 crate2 distributor0
65:drop hoist2 crate3 pallet2 distributor0
66:lift hoist0 crate0 crate1 depot0
67:lift hoist0 crate0 crate2 depot0
68:lift hoist0 crate0 crate3 depot0
69:lift hoist0 crate0 pallet0 depot0
70:lift hoist0 crate0 pallet1 depot0
71:lift hoist0 crate0 pallet2 depot0
72:lift hoist0 crate1 crate0 depot0
73:lift hoist0 crate1 crate2 depot0
74:lift hoist0 crate1 crate3 depot0
75:lift hoist0 crate1 pallet0 depot0
76:lift hoist0 crate1 pallet1 depot0
77:lift hoist0 crate1 pallet2 depot0
78:lift hoist0 crate2 crate0 depot0
79:lift hoist0 crate2 crate1 depot0
80:lift hoist0 crate2 crate3 depot0
81:lift hoist0 crate2 pallet0 depot0
82:lift hoist0 crate2 pallet1 depot0
