0:drive truck0 depot0 distributor0
1:drive truck0 depot0 distributor1
2:drive truck0 distributor0 depot0
3:drive truck0 distributor0 distributor1
4:drive truck0 distributor1 depot0
5:drive truck0 distributor1 distributor0
6:drive truck1 depot0 distributor0
7:drive truck1 depot0 distributor1
8:drive truck1 distributor0 depot0
9:drive truck1 distributor0 distributor1
10:drive truck1 distributor1 depot0
11:drive truck1 distributor1 distributor0
12:drive truck2 depot0 distributor0
13:drive truck2 depot0 distributor1
14:drive truck2 distributor0 depot0
15:drive truck2 distributor0 distributor1
16:drive truck2 distributor1 depot0
17:drive truck2 distributor1 distributor0
18:drop hoist0 crate0 crate1 depot0
19:drop hoist0 crate0 crate2 depot0
20:drop hoist0 crate0 pallet0 depot0
21:drop hoist0 crate1 crate0 depot0
22:drop hoist0 crate1 crate2 depot0
23:drop hoist0 crate1 pallet0 depot0
24:drop hoist0 crate2 crate0 depot0
25:drop hoist0 crate2 crate1 depot0
26:drop hoist0 crate2 pallet0 depot0
27:drop hoist1 crate0 crate1 distributor0
28:drop hoist1 crate0 crate2 distributor0
29:drop hoist1 crate0 pallet1 distributor0
30:drop hoist1 crate1 crate0 distributor0
31:drop hoist1 crate1 crate2 distributor0
32:drop hoist1 crate1 pallet1 distributor0
33:drop hoist1 crate2 crate0 distributor0
34:drop hoist1 crate2 crate1 distributor0
35:drop hoist1 crate2 pallet1 distributor0
36:drop hoist2 crate0 crate1 distributor1
37:drop hoist2 crate0 crate2 distributor1
38:drop hoist2 crate0 pallet2 distributor1
39:drop hoist2 crate1 crate0 distributor1
40:drop hoist2 crate1 crate2 distributor1
41:drop hoist2 crate1 pallet2 distributor1
42:drop hoist2 crate2 crate0 distributor1
43:drop hoist2 crate2 crate1 distributor1
44:drop hoist2 crate2 pallet2 distributor1
45:lift hoist0 crate0 crate1 depot0
46:lift hoist0 crate0 crate2 depot0
47:lift hoist0 crate0 pallet0 depot0
48:lift hoist0 crate0 pallet1 depot0
49:lift hoist0 crate0 pallet2 depot0
50:lift hoist0 crate1 crate0 depot0
51:lift hoist0 crate1 crate2 depot0
52:lift hoist0 crate1 pallet0 depot0
53:lift hoist0 crate1 pallet1 depot0
54:lift hoist0 crate1 pallet2 depot0
55:lift hoist0 crate2 crate0 depot0
56:lift hoist0 crate2 crate1 depot0
57:lift hoist0 crate2 pallet0 depot0
58:lift hoist0 crate2 pallet1 depot0
59:lift hoist0 crate2 pallet2 depot0
60:lift hoist1 crate0 crate1 distributor0
61:lift hoist1 crate0 crate2 distributor0
62:lift hoist1 crate0 pallet0 distributor0
63:lift hoist1 crate0 pallet1 distributor0
64:lift hoist1 crate0 pallet2 distributor0
65:lift hoist1 crate1 crate0 distributor0
66:lift hoist1 crate1 crate2 distributor0
67:lift hoist1 crate1 pallet0 distributor0
68:lift hoist1 crate1 pallet1 distributor0
69:lift hoist1 crate1 pallet2 distributor0
70:lift hoist1 crate2 crate0 distributor0
71:lift hoist1 crate2 crate1 distributor0
72:lift hoist1 crate2 pallet0 distributor0
73:lift hoist1 crate2 pallet1 distributor0
74:lift hoist1 crate2 pallet2 distributor0
75:lift hoist2 crate0 crate1 distributor1
76:lift hoist2 crate0 crate2 distributor1
77:lift hoist2 crate0 pallet0 distributor1
78:lift hoist2 crate0 pallet1 distributor1
79:lift hoist2 crate0 pallet2 distributor1
