source,destination,label
114,76,False
368,166,False
232,4,False
128,82,False
76,74,False
332,63,False
212,108,False
292,61,False
107,72,False
345,162,False
27,92,True
66,90,False
285,113,False
338,156,False
372,178,False
250,11,False
229,116,False
331,63,False
347,164,False
307,55,True
370,57,False
60,84,False
358,57,False
342,57,False
261,17,False
87,92,False
284,113,True
356,53,False
67,90,False
372,53,False
259,15,True
111,74,False
187,102,False
356,160,False
263,24,False
344,160,False
13,68,False
8,56,False
15,74,True
339,53,False
30,64,False
293,120,True
156,96,False
371,53,False
355,53,False
360,172,False
227,112,False
262,24,False
246,13,False
310,130,False
152,94,False
53,78,False
289,118,False
318,59,False
249,10,False
191,104,False
216,104,False
308,126,True
295,55,False
299,122,False
363,53,False
213,108,False
125,80,False
201,108,False
317,59,False
209,106,False
274,111,False
337,154,False
243,9,False
307,126,True
256,19,False
361,174,False
228,114,False
136,86,False
330,148,False
59,84,False
282,111,False
269,23,False
220,106,False
139,88,False
171,94,False
130,84,False
293,55,True
109,72,False
135,86,False
377,53,True
258,15,False
72,68,False
91,64,False
230,4,False
342,158,False
89,92,False
105,70,False
335,63,False
69,90,False
94,66,False
170,94,False
267,21,True
333,63,False
108,72,False
184,100,False
296,126,False
189,102,False
90,64,False
265,24,False
104,70,False
63,88,False
318,130,False
309,59,False
323,132,False
153,94,False
0,54,True
357,53,False
61,84,False
295,126,False
280,41,True
149,92,False
248,13,False
155,96,True
2,60,True
332,156,False
320,59,False
327,144,False
82,86,False
287,47,False
347,53,False
202,104,False
319,136,False
365,53,False
349,53,False
367,164,False
279,39,False
274,38,False
363,182,False
357,162,False
119,78,False
195,106,False
154,96,False
133,84,False
20,80,False
360,53,False
134,86,False
348,53,False
233,4,False
129,82,False
198,108,False
217,104,False
314,59,False
22,86,False
77,74,False
206,106,False
305,55,False
118,78,False
194,106,False
97,66,False
173,94,False
132,84,False
272,32,False
10,68,False
320,138,False
93,64,False
313,132,False
272,111,False
143,90,False
9,56,False
336,150,False
340,53,False
172,94,False
158,98,False
88,92,False
326,59,False
362,57,False
289,55,False
223,108,False
306,124,False
335,156,False
323,59,False
282,49,False
311,59,False
39,70,False
98,68,False
174,96,False
251,12,False
286,43,True
112,74,False
188,102,False
350,164,False
193,104,False
240,5,False
300,122,False
298,61,False
343,158,False
370,164,False
55,82,False
294,120,True
366,182,False
354,182,False
157,96,False
298,118,False
297,55,False
311,128,False
284,46,True
359,170,False
38,70,False
341,162,False
21,80,False
197,106,False
373,180,False
374,176,False
178,98,False
32,64,False
324,134,False
354,57,False
4,58,False
115,76,False
75,74,False
35,66,False
257,19,False
288,115,False
375,53,False
277,117,False
161,98,False
138,88,False
31,64,False
221,106,False
369,168,True
306,61,False
290,61,False
122,80,False
247,13,False
47,76,False
175,96,True
196,106,False
224,108,False
290,118,False
160,98,False
312,59,False
40,70,False
116,76,False
192,104,False
369,53,True
367,53,False
346,158,False
317,128,False
214,104,True
95,66,False
23,86,False
334,63,False
162,100,False
321,144,False
237,3,False
203,104,False
80,80,False
291,55,False
5,62,False
225,108,False
255,19,False
126,82,False
299,55,False
313,59,False
140,88,False
96,66,False
333,148,False
321,59,False
83,86,False
297,118,False
308,61,True
281,45,False
326,142,False
353,186,False
99,68,False
71,68,False
275,27,False
241,5,False
286,115,True
270,26,False
226,110,False
276,30,True
144,90,False
309,128,False
348,166,False
70,68,False
29,92,False
375,182,False
84,86,False
312,130,False
276,117,True
316,146,False
