source,destination,label
1,27,True
6,240,False
39,186,False
124,23,False
10,70,False
21,175,True
5,309,False
19,372,False
16,95,False
5,58,False
58,327,False
11,83,False
56,366,False
2,12,False
2,168,False
8,285,False
1,0,True
3,273,False
122,19,False
15,341,False
15,90,False
10,78,False
54,301,False
41,193,False
16,103,False
174,125,False
1,163,False
20,170,False
110,282,False
52,365,False
17,124,False
5,202,False
52,376,False
21,183,False
8,53,False
47,219,False
8,209,False
1,231,False
9,328,False
3,197,False
184,143,False
58,319,False
140,54,False
0,162,False
118,12,False
115,228,False
0,280,True
3,25,False
0,230,False
62,331,False
37,274,False
15,218,False
18,258,False
142,61,False
16,348,False
18,141,False
52,357,False
164,104,False
17,116,False
38,167,False
1,291,False
8,45,False
7,316,False
54,307,True
1,2,True
140,57,False
0,154,False
39,189,False
23,278,False
5,50,False
18,288,False
56,358,False
15,142,False
32,161,False
2,160,False
6,311,False
0,10,False
134,44,False
182,139,False
46,206,False
160,97,False
180,134,False
18,133,False
35,163,False
158,92,False
16,223,False
8,37,False
13,77,False
2,296,False
110,274,False
52,368,False
8,318,False
13,251,False
156,88,False
4,235,True
29,156,False
0,18,False
162,99,False
45,195,False
58,311,False
5,42,False
58,322,False
56,350,False
172,118,False
15,134,False
6,314,False
138,52,False
6,63,False
60,300,False
12,88,False
16,147,False
3,17,False
26,150,False
166,109,False
18,365,False
27,171,False
18,125,False
16,215,False
18,8,False
19,375,False
4,304,True
152,78,False
186,149,False
154,82,False
52,349,False
17,108,False
52,360,False
132,40,False
3,298,False
50,210,False
22,277,False
9,323,False
130,35,False
58,314,False
126,27,True
178,130,False
14,336,False
172,121,False
60,292,False
12,80,False
154,83,False
16,139,False
26,153,False
7,68,False
3,299,False
18,357,False
5,238,False
60,304,True
49,199,False
2,192,False
19,367,False
19,378,False
19,261,False
180,137,False
16,343,False
17,351,False
48,282,False
36,185,False
52,341,False
17,100,False
11,331,False
52,352,False
15,214,True
49,200,False
7,284,True
178,133,False
18,217,False
118,10,False
146,66,False
58,325,False
5,34,False
56,342,False
13,333,False
15,126,False
16,111,False
6,55,False
52,371,False
16,256,False
112,284,True
33,180,False
1,199,False
128,31,False
15,339,False
7,208,True
18,117,False
110,280,True
17,92,False
54,299,False
3,233,False
4,307,True
176,127,False
3,165,False
0,198,False
42,204,False
154,85,False
30,176,False
3,301,False
9,326,False
23,265,False
7,243,False
58,317,False
174,123,False
152,81,False
15,118,False
6,47,False
12,72,False
150,76,False
16,131,False
1,191,False
7,60,False
3,157,False
160,95,False
62,338,False
18,360,False
18,109,False
15,110,True
54,291,False
19,370,False
23,189,False
2,272,False
17,220,False
16,346,False
17,354,False
48,285,False
52,344,False
164,102,False
116,275,False
6,211,False
34,278,False
170,116,False
3,282,False
58,309,False
4,306,False
146,69,False
12,248,False
