index,is_in_good_operators
0,False
1,True
2,True
3,False
4,False
5,False
6,False
7,False
8,False
9,False
10,False
11,False
12,False
13,False
14,True
15,False
16,False
17,False
18,False
19,False
20,True
21,False
22,False
23,False
24,True
25,True
26,True
27,False
28,True
29,False
30,True
31,False
32,True
33,True
34,True
35,True
36,True
37,False
38,False
39,False
40,True
41,False
42,False
43,False
44,True
45,True
46,True
47,True
48,True
49,False
50,False
51,False
52,False
53,False
54,False
55,False
56,False
57,False
58,False
59,False
60,False
61,False
62,False
63,True
64,False
65,False
66,False
67,False
68,True
