source,destination,label
993,194,False
226,46,False
1339,216,False
1433,221,False
269,134,False
1227,209,False
337,132,False
1182,206,False
1293,213,False
39,244,False
369,155,False
452,160,False
951,191,False
1062,198,False
435,159,False
177,116,False
1017,195,False
1283,212,False
575,168,False
1408,220,False
686,175,False
700,176,False
811,183,False
641,172,False
1098,200,False
165,98,False
1140,203,False
1223,208,False
1251,210,False
1334,215,False
626,171,False
94,22,False
1374,218,False
118,42,False
410,157,False
860,186,False
148,82,False
217,30,False
1132,203,False
1209,207,False
236,68,False
570,167,False
1290,212,True
29,243,False
695,175,False
99,26,False
444,160,False
901,188,False
26,237,False
773,180,False
884,187,False
967,192,False
1164,205,False
995,194,False
1275,212,False
1230,209,False
127,58,False
1007,195,False
1090,200,False
1118,202,False
493,163,False
1073,199,False
324,106,False
1324,215,False
37,227,False
1390,219,False
235,66,False
842,184,False
282,24,False
577,168,False
1034,196,False
1048,197,False
1159,204,False
451,160,False
562,167,False
112,38,False
1282,212,True
1114,201,False
1225,208,False
517,164,False
783,181,False
197,138,False
628,171,False
908,189,False
891,188,False
1348,216,False
6,6,False
723,177,False
751,179,False
208,148,False
862,186,False
255,106,False
222,38,False
940,191,False
586,168,False
333,124,True
807,182,False
1432,221,True
932,190,False
681,174,False
1417,220,False
792,181,False
79,114,False
775,180,False
886,187,False
1166,205,False
341,140,False
981,193,False
1092,200,False
384,156,False
467,161,False
495,163,False
136,70,False
1215,208,False
1326,215,False
335,134,False
46,26,False
684,175,False
273,142,False
164,102,False
14,12,False
1050,197,False
71,100,False
453,160,False
111,34,False
408,157,False
674,174,False
519,164,False
799,182,False
659,173,False
614,170,False
1350,216,False
642,172,False
725,177,False
115,46,False
19,16,True
1210,207,False
308,74,True
1099,201,False
848,185,False
959,192,False
283,30,False
1399,219,False
30,245,False
1148,204,False
1259,211,False
34,234,False
182,118,False
432,159,False
806,182,False
31,228,False
917,189,False
1028,196,False
185,126,False
983,193,False
386,156,False
82,122,False
732,178,False
1106,201,False
1189,206,False
239,74,False
1217,208,False
1300,213,False
592,169,False
1032,196,False
286,32,False
1266,211,True
23,222,False
1143,203,False
1157,204,False
1423,221,False
190,130,False
1406,220,False
260,116,False
