source,destination,label
147,22,False
252,26,True
184,95,True
32,93,True
1,56,False
143,81,False
226,114,False
180,36,True
132,10,True
146,21,False
163,90,False
190,39,False
290,126,True
313,47,True
176,95,True
214,48,False
233,55,False
50,3,True
129,16,False
198,42,False
325,133,False
222,51,False
280,35,False
208,107,True
198,99,False
11,66,False
304,44,False
257,26,False
161,28,False
41,106,False
14,102,True
267,121,False
164,86,True
83,6,False
189,40,True
241,20,False
255,121,False
312,47,False
265,29,False
63,9,True
306,129,True
304,129,False
168,30,True
248,117,True
120,19,False
13,68,False
160,89,True
110,12,False
60,9,True
260,29,True
5,88,False
231,111,False
36,68,True
123,16,False
100,17,False
238,21,False
232,113,False
59,8,True
222,111,False
38,102,True
72,7,False
303,45,False
327,54,False
262,120,False
197,43,True
29,88,False
2,84,True
288,38,False
161,89,False
190,99,False
144,21,True
0,81,True
124,18,False
97,14,True
12,99,True
183,93,False
259,121,False
91,6,False
174,33,False
311,130,False
201,43,True
150,81,False
187,37,False
241,118,False
64,2,False
182,36,False
23,115,False
240,117,True
179,96,False
282,123,True
319,133,False
211,46,False
301,130,True
215,105,False
206,45,False
3,85,False
225,52,False
235,55,False
172,92,True
182,93,False
246,24,False
327,133,False
181,92,True
173,34,True
201,101,True
54,7,False
249,23,False
26,58,True
282,36,True
152,24,True
277,35,True
230,111,False
306,45,True
256,120,True
106,19,True
244,23,True
254,120,False
296,126,False
297,41,True
318,51,False
40,72,True
314,48,True
269,124,True
14,70,True
131,19,False
169,89,False
305,44,True
163,28,False
321,50,False
153,83,False
47,78,False
87,2,False
9,64,False
329,53,False
78,8,False
316,50,True
243,118,False
148,80,True
319,51,False
184,36,True
275,124,False
21,112,False
58,6,False
20,111,True
324,53,True
208,45,True
207,105,False
295,127,False
174,93,False
324,132,True
158,87,False
268,32,False
206,105,False
134,13,True
160,27,True
171,31,False
261,121,False
77,6,False
195,40,False
176,33,True
200,42,True
330,132,False
156,86,True
85,9,False
203,43,False
310,129,True
228,110,True
312,129,False
295,42,False
272,32,False
145,83,False
9,94,False
38,70,True
30,62,True
8,93,True
290,39,True
167,87,False
217,107,True
224,113,False
274,33,True
126,11,True
45,76,False
298,42,True
40,105,True
251,118,False
51,4,True
166,30,False
289,127,True
18,74,True
32,64,True
246,117,False
329,133,False
22,78,False
199,99,False
128,15,False
263,30,False
317,133,False
213,49,True
316,132,True
28,87,True
166,87,False
287,39,False
80,1,True
136,15,False
39,70,False
189,98,True
31,91,False
179,34,False
17,106,False
273,124,True
104,16,False
225,113,False
197,98,True
218,108,False
285,38,True
42,74,True
56,2,True
303,130,False
46,78,False
233,113,False
269,32,True
223,111,False
204,104,True
293,41,True
236,20,True
99,16,False
68,9,False
266,30,False
6,62,True
165,31,False
142,21,False
193,40,True
331,54,False
209,107,True
28,60,True
82,5,False
212,104,True
238,117,False
321,133,False
280,123,False
192,39,True
196,98,True
216,48,True
20,76,True
35,66,False
288,126,False
142,81,False
157,28,False
237,20,False
37,100,False
175,93,False
297,127,True
308,47,False
36,99,True
261,29,False
103,15,False
302,129,True
164,30,True
266,120,False
305,130,True
