source,destination
21,71
7,35
42,130
0,5
38,117
43,131
40,123
12,52
1,15
18,65
8,39
33,102
10,45
35,108
7,37
19,66
31,95
0,7
3,24
28,87
5,30
43,133
1,17
26,80
36,112
17,62
29,91
0,0
6,34
31,97
0,9
1,10
24,76
1,19
26,82
9,42
11,48
0,2
4,27
1,12
2,20
37,115
13,53
38,116
15,59
40,122
1,14
18,64
25,79
30,93
2,22
8,38
33,101
10,44
22,73
3,23
41,126
13,55
38,118
43,132
16,60
1,16
34,105
39,119
36,111
8,40
20,69
32,98
23,74
29,90
6,33
31,96
3,25
27,83
1,18
39,121
9,41
21,70
11,47
32,100
4,26
42,129
0,4
27,85
1,11
12,51
37,114
9,43
14,57
11,49
35,107
7,36
4,28
15,58
0,6
1,13
28,86
5,29
25,78
30,92
2,21
40,124
22,72
33,103
10,46
35,109
41,125
13,54
19,67
0,8
28,88
34,104
5,31
30,94
36,110
20,68
26,81
29,89
6,32
17,63
41,127
0,1
16,61
34,106
39,120
24,77
32,99
23,75
42,128
0,3
27,84
12,50
37,113
14,56
