source,destination,label
266,143,False
793,168,False
46,96,False
473,153,False
941,175,False
687,163,False
433,151,False
920,174,False
136,80,False
666,162,False
412,150,False
14,3,False
908,174,False
170,118,False
858,171,True
1087,182,False
48,102,False
837,170,True
100,44,False
110,58,False
519,155,False
50,108,False
818,169,False
564,157,False
498,154,False
121,68,True
244,142,False
748,166,False
458,152,False
428,151,False
388,149,False
1025,179,False
423,150,False
785,168,False
531,156,False
731,165,False
665,162,False
154,98,False
164,112,False
964,176,False
52,114,False
75,24,False
650,161,False
902,173,True
396,149,False
1020,179,True
290,144,False
260,143,False
326,146,False
117,66,False
474,153,False
220,141,False
728,165,False
857,171,False
881,172,True
617,160,False
817,169,False
1055,181,False
1071,181,False
1015,179,False
1050,180,False
796,168,False
542,156,False
1010,178,False
288,144,False
756,166,False
482,153,False
9,184,False
306,145,False
897,173,True
1040,180,False
351,147,False
593,159,False
948,175,False
628,160,False
1066,181,False
374,148,False
812,169,False
588,158,False
558,157,False
334,146,False
572,158,False
169,116,False
5,4,True
452,152,False
518,155,False
198,140,False
772,167,False
1026,179,False
1049,180,False
1054,181,False
795,168,False
1115,183,False
993,178,False
17,10,False
437,151,False
971,177,True
425,151,False
780,167,False
710,164,False
644,161,False
420,150,False
390,149,False
1112,183,False
119,64,True
604,159,False
350,147,False
134,82,False
931,175,False
329,146,False
825,170,False
72,18,False
571,158,False
51,112,False
672,162,False
926,174,False
1029,179,True
1110,183,False
1004,178,False
21,22,False
750,166,False
222,141,False
690,163,False
436,151,False
843,170,True
1027,179,True
842,170,False
297,144,False
735,165,False
669,162,False
1017,179,False
415,150,False
763,167,False
963,176,False
977,177,False
375,148,False
657,162,False
723,165,False
403,150,False
758,166,False
861,171,True
942,175,False
175,122,False
702,164,False
836,170,False
906,173,True
582,158,False
894,173,True
1028,179,True
268,143,False
859,171,True
567,157,False
124,68,True
313,145,False
207,140,False
82,26,False
739,166,False
1094,182,False
774,167,False
520,155,False
534,156,False
734,165,False
77,22,False
280,144,False
480,153,False
718,165,False
918,174,False
972,177,False
967,176,False
713,164,False
1061,181,False
459,152,False
927,174,False
1011,178,True
78,24,False
955,176,False
701,164,False
399,149,False
1033,180,False
223,141,False
1074,181,False
820,169,False
366,148,False
566,157,False
312,145,False
550,157,False
882,172,True
76,20,False
180,126,False
510,155,False
132,78,False
545,156,False
291,144,False
759,166,False
505,154,False
475,153,False
251,142,False
799,168,False
1041,180,False
1072,181,False
231,141,False
1086,182,False
174,120,False
966,176,False
712,164,False
176,124,False
910,174,False
42,84,False
97,44,False
130,74,True
342,147,False
443,151,False
377,148,False
9,189,False
591,158,False
627,160,False
337,146,False
307,145,False
321,146,False
521,155,False
653,161,False
267,143,False
803,169,False
4,4,True
869,172,False
24,30,False
83,28,False
93,42,False
664,162,False
544,156,False
848,171,False
173,118,False
996,178,False
742,166,False
1102,183,False
488,154,False
151,98,False
949,176,False
79,26,False
205,140,False
607,159,False
353,147,False
137,82,False
147,96,False
849,171,False
184,128,False
680,163,False
866,172,True
426,151,False
574,158,False
1078,182,False
28,42,False
320,146,False
421,150,False
675,162,False
1100,183,False
819,169,False
1101,183,False
499,154,False
847,171,False
995,178,False
741,166,False
487,154,False
990,177,True
156,102,True
484,153,False
1018,179,True
30,48,False
230,141,False
726,165,False
472,153,False
88,32,False
406,150,False
98,46,False
656,162,False
253,142,False
804,169,False
178,122,False
905,173,False
213,140,False
59,136,False
451,152,False
397,149,False
331,146,False
651,161,False
99,48,False
573,158,False
1077,182,False
84,30,False
872,172,False
618,160,False
1056,181,False
802,169,False
141,90,False
41,82,False
316,145,False
142,86,False
276,143,False
152,100,False
12,186,False
63,12,False
589,158,False
636,161,False
382,149,False
283,144,False
483,153,False
737,165,False
229,141,False
462,152,False
208,140,False
958,176,False
43,88,False
422,150,False
704,164,False
450,152,False
888,173,False
196,140,False
634,161,False
904,173,False
782,168,False
883,172,False
629,160,False
875,172,True
214,141,False
569,157,False
315,145,False
259,143,False
193,140,False
856,171,False
790,168,False
254,142,False
104,52,False
536,156,False
736,165,False
720,165,False
974,177,False
466,153,False
835,170,False
934,175,False
581,158,False
47,100,False
715,164,False
461,152,False
405,150,False
637,161,False
2,2,False
1080,182,False
158,106,False
988,177,False
270,143,False
552,157,False
298,145,False
766,167,False
512,155,False
359,147,False
293,144,False
783,168,True
507,154,False
745,166,False
491,154,False
691,163,False
237,142,False
945,175,False
338,146,False
719,165,False
1039,180,False
1088,182,False
764,167,False
912,174,False
658,162,False
404,150,False
356,147,False
598,159,False
344,147,False
109,56,False
61,8,False
643,161,False
339,146,False
389,149,False
323,146,False
523,155,False
829,170,True
269,143,False
368,148,False
568,157,False
1104,183,False
596,159,False
1034,180,False
105,54,False
744,166,False
810,169,False
490,154,False
928,175,False
236,142,False
994,178,False
1043,180,False
789,168,False
163,110,False
989,177,False
115,62,False
1021,179,True
233,141,False
981,177,True
221,141,False
845,171,True
299,145,False
654,161,False
400,149,False
