source,destination,label
90,69,False
91,88,False
110,1,True
108,17,False
84,82,False
0,7,False
88,15,False
100,150,False
97,193,False
98,203,False
86,11,False
87,130,False
2,42,False
106,5,True
110,31,False
108,9,False
87,103,False
88,113,False
99,140,False
103,207,False
91,61,False
84,73,False
98,157,False
97,32,False
98,185,False
0,9,False
2,26,False
101,187,False
94,199,False
95,218,False
99,37,False
0,10,False
102,197,False
85,110,False
108,20,False
95,191,False
86,120,False
103,44,False
96,201,False
97,147,False
2,34,False
2,45,False
89,16,True
0,18,False
92,107,False
108,12,False
84,55,False
89,123,True
100,39,False
110,42,False
87,57,False
88,67,False
99,222,False
2,37,False
0,21,False
99,195,False
100,214,False
90,124,False
94,172,False
101,151,False
102,170,False
110,34,False
103,180,False
86,93,False
102,143,False
95,155,False
108,23,False
93,72,False
96,174,False
103,153,False
91,97,True
98,35,False
96,30,False
90,133,False
100,186,False
0,16,True
95,136,False
98,221,False
110,45,False
94,145,False
95,164,False
90,18,False
2,29,False
2,40,False
0,13,False
0,24,False
99,176,False
85,9,False
89,68,False
87,13,False
92,53,False
84,118,False
99,149,False
110,26,False
110,37,False
90,78,False
100,168,False
108,15,False
84,91,False
91,70,False
86,47,False
97,202,False
101,196,True
98,212,False
91,21,False
102,206,True
101,40,False
110,29,False
108,7,False
108,18,False
88,122,False
2,32,False
2,43,False
101,215,False
103,216,False
102,225,False
90,51,False
102,42,False
97,175,False
92,135,True
110,40,False
100,38,True
87,112,False
2,35,False
94,208,False
0,8,False
0,19,False
84,6,False
87,85,False
94,181,False
95,200,False
86,129,False
88,95,False
102,179,False
96,210,False
93,108,False
97,156,False
110,32,False
103,189,False
98,166,False
92,116,False
108,10,False
108,21,False
84,64,False
92,89,True
98,139,False
87,66,False
88,76,False
85,119,False
91,125,True
104,4,True
93,90,True
97,33,False
88,49,False
108,13,False
108,2,False
95,28,False
2,38,True
0,22,True
101,160,False
2,27,False
93,24,False
110,43,False
0,11,False
94,26,False
96,183,False
93,81,False
103,162,False
92,23,False
103,45,False
91,0,True
110,35,False
92,80,False
89,17,False
0,14,True
99,204,False
100,223,False
90,115,False
94,154,False
95,173,False
85,83,False
110,38,True
86,102,False
102,152,False
110,27,False
108,16,True
86,75,False
93,54,False
88,14,True
90,19,False
0,25,True
89,77,False
92,62,False
84,127,False
99,158,False
100,177,False
90,87,False
91,106,False
108,24,False
2,30,False
91,79,False
86,56,False
96,137,False
96,31,False
108,0,True
0,6,False
93,126,True
84,100,False
2,41,False
101,224,False
97,211,False
108,8,False
101,41,False
90,60,False
100,141,False
97,184,False
98,194,False
87,121,False
2,33,False
94,217,False
88,131,False
0,17,False
93,99,True
87,94,False
88,104,False
101,169,False
86,10,False
89,50,False
102,188,False
96,219,False
93,117,False
110,30,False
110,41,False
103,198,False
99,36,False
84,7,False
108,19,False
97,138,False
110,3,False
91,52,False
98,148,False
89,132,True
2,44,False
108,22,True
85,128,False
101,178,False
94,190,False
95,209,False
91,134,True
102,43,False
94,27,False
88,58,False
85,101,False
108,11,False
86,111,False
98,34,False
2,36,False
92,98,True
108,14,True
108,25,True
0,20,False
89,114,True
93,25,True
103,171,False
110,33,False
110,44,False
87,48,False
92,22,True
99,213,False
2,28,False
0,12,False
0,23,False
89,105,False
100,205,False
94,163,False
95,182,False
85,92,False
101,142,False
89,86,True
102,161,False
96,192,False
110,36,False
85,65,False
86,84,False
96,165,False
93,63,False
95,29,False
103,144,False
2,39,False
92,71,False
99,167,False
90,96,False
91,20,False
97,220,False
101,1,True
85,46,False
87,12,False
85,74,False
108,6,False
96,146,False
85,8,False
2,31,False
0,15,False
89,59,False
110,28,False
84,109,False
110,39,False
100,159,False
