source,destination,type_pre_eff,type_eff_eff,label
2,39,0,1,1
2,13,0,1,1
39,2,0,1,1
39,13,0,1,1
13,2,1,1,1
13,39,1,1,1
32,5,0,1,1
5,32,1,1,1
33,6,0,1,1
6,33,1,1,1
1,11,0,1,1
1,37,0,1,1
11,1,1,1,1
11,37,1,1,1
37,1,0,1,1
37,11,0,1,1
38,0,0,1,1
38,12,0,1,1
0,38,0,1,1
0,12,0,1,1
12,38,1,1,1
12,0,1,1,1
8,3,1,1,1
8,34,1,1,1
3,8,0,1,1
3,34,0,1,1
34,8,0,1,1
34,3,0,1,1
35,9,0,1,1
9,35,1,1,1
36,10,0,1,1
10,36,1,1,1
59,31,1,1,1
59,40,1,1,1
59,113,1,1,1
108,31,1,1,1
108,40,1,1,1
108,113,1,1,1
31,40,1,1,1
31,113,1,1,1
40,31,0,1,1
40,113,0,1,1
113,31,1,1,1
113,40,1,1,1
59,57,1,1,1
59,58,1,1,1
108,57,1,1,1
108,58,1,1,1
57,58,1,1,1
57,113,1,1,1
58,57,0,1,1
58,113,0,1,1
113,57,1,1,1
113,58,1,1,1
59,32,1,1,1
59,41,1,1,1
108,32,1,1,1
108,41,1,1,1
32,113,1,1,1
32,41,1,1,1
113,32,1,1,1
113,41,1,1,1
41,32,0,1,1
41,113,0,1,1
59,50,1,1,1
59,49,1,1,1
108,50,1,1,1
108,49,1,1,1
50,49,0,1,1
50,113,0,1,1
49,50,1,1,1
49,113,1,1,1
113,50,1,1,1
113,49,1,1,1
59,33,1,1,1
59,42,1,1,1
108,33,1,1,1
108,42,1,1,1
33,42,1,1,1
33,113,1,1,1
42,33,0,1,1
42,113,0,1,1
113,33,1,1,1
113,42,1,1,1
59,52,1,1,0
59,51,1,1,0
108,52,1,1,0
108,51,1,1,0
113,52,1,1,0
113,51,1,1,0
52,113,0,1,0
52,51,0,1,0
51,113,1,1,0
51,52,1,1,0
59,48,1,1,1
59,39,1,1,1
108,48,1,1,1
108,39,1,1,1
48,39,0,1,1
48,113,0,1,1
39,48,1,1,1
39,113,1,1,1
113,48,1,1,1
113,39,1,1,1
59,46,1,1,1
59,37,1,1,1
108,46,1,1,1
108,37,1,1,1
46,37,0,1,1
46,113,0,1,1
37,46,1,1,1
37,113,1,1,1
113,46,1,1,1
113,37,1,1,1
59,47,1,1,1
59,38,1,1,1
108,47,1,1,1
108,38,1,1,1
47,113,0,1,1
47,38,0,1,1
113,47,1,1,1
113,38,1,1,1
38,47,1,1,1
38,113,1,1,1
59,54,1,1,1
59,53,1,1,1
108,54,1,1,1
108,53,1,1,1
113,54,1,1,1
113,53,1,1,1
54,113,0,1,1
54,53,0,1,1
53,113,1,1,1
53,54,1,1,1
59,34,1,1,1
59,43,1,1,1
108,34,1,1,1
108,43,1,1,1
34,43,1,1,1
34,113,1,1,1
43,34,0,1,1
43,113,0,1,1
113,34,1,1,1
113,43,1,1,1
59,44,1,1,1
59,35,1,1,1
108,44,1,1,1
108,35,1,1,1
44,35,0,1,1
44,113,0,1,1
35,44,1,1,1
35,113,1,1,1
113,44,1,1,1
113,35,1,1,1
59,56,1,1,1
59,55,1,1,1
108,56,1,1,1
108,55,1,1,1
56,55,0,1,1
56,113,0,1,1
55,56,1,1,1
55,113,1,1,1
113,56,1,1,1
113,55,1,1,1
59,45,1,1,1
59,36,1,1,1
108,45,1,1,1
108,36,1,1,1
113,45,1,1,1
113,36,1,1,1
45,113,0,1,1
45,36,0,1,1
36,113,1,1,1
36,45,1,1,1
108,59,1,1,1
59,108,1,1,1
31,108,1,1,0
31,59,1,1,0
40,108,0,1,0
40,59,0,1,0
113,108,1,1,1
113,59,1,1,1
58,108,0,1,0
58,59,0,1,0
57,108,1,1,0
57,59,1,1,0
32,108,1,1,0
32,59,1,1,0
41,108,0,1,0
41,59,0,1,0
50,108,0,1,0
50,59,0,1,0
49,108,1,1,0
49,59,1,1,0
33,108,1,1,1
33,59,1,1,1
42,108,0,1,1
42,59,0,1,1
52,108,0,1,0
52,59,0,1,0
51,108,1,1,0
51,59,1,1,0
39,108,1,1,0
39,59,1,1,0
48,108,0,1,0
48,59,0,1,0
37,108,1,1,0
37,59,1,1,0
46,108,0,1,0
46,59,0,1,0
38,108,1,1,0
38,59,1,1,0
47,108,0,1,0
47,59,0,1,0
54,108,0,1,0
54,59,0,1,0
53,108,1,1,0
53,59,1,1,0
43,108,0,1,0
43,59,0,1,0
34,108,1,1,0
34,59,1,1,0
44,108,0,1,0
44,59,0,1,0
35,108,1,1,0
35,59,1,1,0
56,108,0,1,0
56,59,0,1,0
55,108,1,1,0
55,59,1,1,0
36,108,1,1,0
36,59,1,1,0
45,108,0,1,0
45,59,0,1,0
93,76,0,1,1
93,107,0,1,1
93,104,0,1,1
93,95,0,1,1
93,63,0,1,1
93,60,0,1,1
93,13,0,1,1
93,40,0,1,1
93,83,0,1,1
93,61,0,1,1
93,84,0,1,1
93,62,0,1,1
93,91,0,1,1
93,112,0,1,1
93,109,0,1,1
76,93,0,1,1
76,107,0,1,1
76,104,0,1,1
76,95,0,1,1
76,63,0,1,1
76,60,0,1,1
76,13,0,1,1
76,40,0,1,1
76,83,0,1,1
76,61,0,1,1
76,84,0,1,1
76,62,0,1,1
76,91,0,1,1
76,112,0,1,1
76,109,0,1,1
107,93,0,1,1
107,76,0,1,1
107,104,0,1,1
107,95,0,1,1
107,63,0,1,1
107,60,0,1,1
107,13,0,1,1
107,40,0,1,1
107,83,0,1,1
107,61,0,1,1
107,84,0,1,1
107,62,0,1,1
107,91,0,1,1
107,112,0,1,1
107,109,0,1,1
104,93,0,1,1
104,76,0,1,1
104,107,0,1,1
104,95,0,1,1
104,63,0,1,1
104,60,0,1,1
104,13,0,1,1
104,40,0,1,1
104,83,0,1,1
104,61,0,1,1
104,84,0,1,1
104,62,0,1,1
104,91,0,1,1
104,112,0,1,1
104,109,0,1,1
95,93,0,1,1
95,76,0,1,1
95,107,0,1,1
95,104,0,1,1
95,63,0,1,1
95,60,0,1,1
95,13,0,1,1
95,40,0,1,1
95,83,0,1,1
95,61,0,1,1
95,84,0,1,1
95,62,0,1,1
95,91,0,1,1
95,112,0,1,1
95,109,0,1,1
63,93,0,1,1
63,76,0,1,1
63,107,0,1,1
63,104,0,1,1
63,95,0,1,1
63,60,0,1,1
63,13,0,1,1
63,40,0,1,1
63,83,0,1,1
63,61,0,1,1
63,84,0,1,1
63,62,0,1,1
63,91,0,1,1
63,112,0,1,1
63,109,0,1,1
60,93,0,1,1
60,76,0,1,1
60,107,0,1,1
60,104,0,1,1
60,95,0,1,1
60,63,0,1,1
60,13,0,1,1
60,40,0,1,1
60,83,0,1,1
60,61,0,1,1
60,84,0,1,1
60,62,0,1,1
60,91,0,1,1
60,112,0,1,1
60,109,0,1,1
13,93,0,1,1
13,76,0,1,1
13,107,0,1,1
13,104,0,1,1
13,95,0,1,1
13,63,0,1,1
13,60,0,1,1
13,40,0,1,1
13,83,0,1,1
13,61,0,1,1
13,84,0,1,1
13,62,0,1,1
13,91,0,1,1
13,112,0,1,1
13,109,0,1,1
40,93,1,1,1
40,76,1,1,1
40,107,1,1,1
40,104,1,1,1
40,95,1,1,1
40,63,1,1,1
40,60,1,1,1
40,13,1,1,1
40,83,1,1,1
40,61,1,1,1
40,84,1,1,1
40,62,1,1,1
40,91,1,1,1
40,112,1,1,1
40,109,1,1,1
83,93,0,1,1
83,76,0,1,1
83,107,0,1,1
83,104,0,1,1
83,95,0,1,1
83,63,0,1,1
83,60,0,1,1
83,13,0,1,1
83,40,0,1,1
83,61,0,1,1
83,84,0,1,1
83,62,0,1,1
83,91,0,1,1
83,112,0,1,1
83,109,0,1,1
61,93,0,1,1
61,76,0,1,1
61,107,0,1,1
61,104,0,1,1
61,95,0,1,1
61,63,0,1,1
61,60,0,1,1
61,13,0,1,1
61,40,0,1,1
61,83,0,1,1
61,84,0,1,1
61,62,0,1,1
61,91,0,1,1
61,112,0,1,1
61,109,0,1,1
84,93,0,1,1
84,76,0,1,1
84,107,0,1,1
84,104,0,1,1
84,95,0,1,1
84,63,0,1,1
84,60,0,1,1
84,13,0,1,1
84,40,0,1,1
84,83,0,1,1
84,61,0,1,1
84,62,0,1,1
84,91,0,1,1
84,112,0,1,1
84,109,0,1,1
62,93,0,1,1
62,76,0,1,1
62,107,0,1,1
62,104,0,1,1
62,95,0,1,1
62,63,0,1,1
62,60,0,1,1
62,13,0,1,1
62,40,0,1,1
62,83,0,1,1
62,61,0,1,1
62,84,0,1,1
62,91,0,1,1
62,112,0,1,1
62,109,0,1,1
91,93,0,1,1
91,76,0,1,1
91,107,0,1,1
91,104,0,1,1
91,95,0,1,1
91,63,0,1,1
91,60,0,1,1
91,13,0,1,1
91,40,0,1,1
91,83,0,1,1
91,61,0,1,1
91,84,0,1,1
91,62,0,1,1
91,112,0,1,1
91,109,0,1,1
112,93,0,1,1
112,76,0,1,1
112,107,0,1,1
112,104,0,1,1
112,95,0,1,1
112,63,0,1,1
112,60,0,1,1
112,13,0,1,1
112,40,0,1,1
112,83,0,1,1
112,61,0,1,1
112,84,0,1,1
112,62,0,1,1
112,91,0,1,1
112,109,0,1,1
109,93,0,1,1
109,76,0,1,1
109,107,0,1,1
109,104,0,1,1
109,95,0,1,1
109,63,0,1,1
109,60,0,1,1
109,13,0,1,1
109,40,0,1,1
109,83,0,1,1
109,61,0,1,1
109,84,0,1,1
109,62,0,1,1
109,91,0,1,1
109,112,0,1,1
93,58,0,1,1
93,5,0,1,1
76,58,0,1,1
76,5,0,1,1
107,58,0,1,1
107,5,0,1,1
104,58,0,1,1
104,5,0,1,1
95,58,0,1,1
95,5,0,1,1
58,93,1,1,1
58,76,1,1,1
58,107,1,1,1
58,104,1,1,1
58,95,1,1,1
58,63,1,1,1
58,60,1,1,1
58,83,1,1,1
58,61,1,1,1
58,84,1,1,1
58,62,1,1,1
58,91,1,1,1
58,112,1,1,1
58,5,1,1,1
58,109,1,1,1
63,58,0,1,1
63,5,0,1,1
60,58,0,1,1
60,5,0,1,1
83,58,0,1,1
83,5,0,1,1
61,58,0,1,1
61,5,0,1,1
84,58,0,1,1
84,5,0,1,1
62,58,0,1,1
62,5,0,1,1
91,58,0,1,1
91,5,0,1,1
112,58,0,1,1
112,5,0,1,1
5,93,0,1,1
5,76,0,1,1
5,107,0,1,1
5,104,0,1,1
5,95,0,1,1
5,58,0,1,1
5,63,0,1,1
5,60,0,1,1
5,83,0,1,1
5,61,0,1,1
5,84,0,1,1
5,62,0,1,1
5,91,0,1,1
5,112,0,1,1
5,109,0,1,1
109,58,0,1,1
109,5,0,1,1
93,41,0,1,1
93,20,0,1,1
41,93,1,1,1
41,76,1,1,1
41,107,1,1,1
41,104,1,1,1
41,95,1,1,1
41,63,1,1,1
41,60,1,1,1
41,83,1,1,1
41,61,1,1,1
41,84,1,1,1
41,20,1,1,1
41,62,1,1,1
41,91,1,1,1
41,112,1,1,1
41,109,1,1,1
76,41,0,1,1
76,20,0,1,1
107,41,0,1,1
107,20,0,1,1
104,41,0,1,1
104,20,0,1,1
95,41,0,1,1
95,20,0,1,1
63,41,0,1,1
63,20,0,1,1
60,41,0,1,1
60,20,0,1,1
83,41,0,1,1
83,20,0,1,1
61,41,0,1,1
61,20,0,1,1
84,41,0,1,1
84,20,0,1,1
20,93,1,1,1
20,41,0,1,1
20,76,0,1,1
20,107,0,1,1
20,104,0,1,1
20,95,0,1,1
20,63,0,1,1
20,60,0,1,1
20,83,0,1,1
20,61,0,1,1
20,84,0,1,1
20,62,0,1,1
20,91,1,1,1
20,112,0,1,1
20,109,0,1,1
62,41,0,1,1
62,20,0,1,1
91,41,0,1,1
91,20,0,1,1
112,41,0,1,1
112,20,0,1,1
109,41,0,1,1
109,20,0,1,1
93,6,0,1,1
93,50,0,1,1
6,93,0,1,1
6,76,0,1,1
6,107,0,1,1
6,104,0,1,1
6,95,0,1,1
6,63,0,1,1
6,60,0,1,1
6,50,0,1,1
6,83,0,1,1
6,61,0,1,1
6,84,0,1,1
6,62,0,1,1
6,91,0,1,1
6,112,0,1,1
6,109,0,1,1
76,6,0,1,1
76,50,0,1,1
107,6,0,1,1
107,50,0,1,1
104,6,0,1,1
104,50,0,1,1
95,6,0,1,1
95,50,0,1,1
63,6,0,1,1
63,50,0,1,1
60,6,0,1,1
60,50,0,1,1
50,93,1,1,1
50,6,1,1,1
50,76,1,1,1
50,107,1,1,1
50,104,1,1,1
50,95,1,1,1
50,63,1,1,1
50,60,1,1,1
50,83,1,1,1
50,61,1,1,1
50,84,1,1,1
50,62,1,1,1
50,91,1,1,1
50,112,1,1,1
50,109,1,1,1
83,6,0,1,1
83,50,0,1,1
61,6,0,1,1
61,50,0,1,1
84,6,0,1,1
84,50,0,1,1
62,6,0,1,1
62,50,0,1,1
91,6,0,1,1
91,50,0,1,1
112,6,0,1,1
112,50,0,1,1
109,6,0,1,1
109,50,0,1,1
93,21,0,1,1
93,42,0,1,1
21,93,1,1,1
21,76,0,1,1
21,107,0,1,1
21,104,0,1,1
21,95,0,1,1
21,42,0,1,1
21,63,0,1,1
21,60,0,1,1
21,83,0,1,1
21,61,0,1,1
21,84,0,1,1
21,62,0,1,1
21,91,1,1,1
21,112,0,1,1
21,109,0,1,1
76,21,0,1,1
76,42,0,1,1
107,21,0,1,1
107,42,0,1,1
104,21,0,1,1
104,42,0,1,1
95,21,0,1,1
95,42,0,1,1
42,93,1,1,1
42,21,1,1,1
42,76,1,1,1
42,107,1,1,1
42,104,1,1,1
42,95,1,1,1
42,63,1,1,1
42,60,1,1,1
42,83,1,1,1
42,61,1,1,1
42,84,1,1,1
42,62,1,1,1
42,91,1,1,1
42,112,1,1,1
42,109,1,1,1
63,21,0,1,1
63,42,0,1,1
60,21,0,1,1
60,42,0,1,1
83,21,0,1,1
83,42,0,1,1
61,21,0,1,1
61,42,0,1,1
84,21,0,1,1
84,42,0,1,1
62,21,0,1,1
62,42,0,1,1
91,21,0,1,1
91,42,0,1,1
112,21,0,1,1
112,42,0,1,1
109,21,0,1,1
109,42,0,1,1
93,52,0,1,0
93,7,0,1,0
52,93,1,1,0
52,76,1,1,0
52,107,1,1,0
52,104,1,1,0
52,95,1,1,0
52,63,1,1,0
52,60,1,1,0
52,83,1,1,0
52,7,1,1,0
52,61,1,1,0
52,84,1,1,0
52,62,1,1,0
52,91,1,1,0
52,112,1,1,0
52,109,1,1,0
76,52,0,1,0
76,7,0,1,0
107,52,0,1,0
107,7,0,1,0
104,52,0,1,0
104,7,0,1,0
95,52,0,1,0
95,7,0,1,0
63,52,0,1,0
63,7,0,1,0
60,52,0,1,0
60,7,0,1,0
83,52,0,1,0
83,7,0,1,0
7,93,1,1,0
7,52,0,1,0
7,76,0,1,0
7,107,0,1,0
7,104,0,1,0
7,95,0,1,0
7,63,0,1,0
7,60,0,1,0
7,83,0,1,0
7,61,0,1,0
7,84,0,1,0
7,62,0,1,0
7,91,1,1,0
7,112,0,1,0
7,109,0,1,0
61,52,0,1,0
61,7,0,1,0
84,52,0,1,0
84,7,0,1,0
62,52,0,1,0
62,7,0,1,0
91,52,0,1,0
91,7,0,1,0
112,52,0,1,0
112,7,0,1,0
109,52,0,1,0
109,7,0,1,0
93,48,0,1,1
93,11,0,1,1
48,93,1,1,1
48,11,1,1,1
48,76,1,1,1
48,107,1,1,1
48,104,1,1,1
48,95,1,1,1
48,63,1,1,1
48,60,1,1,1
48,83,1,1,1
48,61,1,1,1
48,84,1,1,1
48,62,1,1,1
48,91,1,1,1
48,112,1,1,1
48,109,1,1,1
11,93,0,1,1
11,48,0,1,1
11,76,0,1,1
11,107,0,1,1
11,104,0,1,1
11,95,0,1,1
11,63,0,1,1
11,60,0,1,1
11,83,0,1,1
11,61,0,1,1
11,84,0,1,1
11,62,0,1,1
11,91,0,1,1
11,112,0,1,1
11,109,0,1,1
76,48,0,1,1
76,11,0,1,1
107,48,0,1,1
107,11,0,1,1
104,48,0,1,1
104,11,0,1,1
95,48,0,1,1
95,11,0,1,1
