source,destination,type_pre_eff,type_eff_eff,label
4,3,1,1,1
4,11,1,1,0
3,4,1,1,1
3,11,1,1,1
11,4,1,1,0
11,3,1,1,0
3,8,1,1,1
4,8,1,1,0
8,4,1,1,0
8,11,1,1,0
11,8,1,1,0
3,5,1,1,1
4,5,1,1,1
11,5,1,1,1
5,4,1,1,1
5,11,1,1,1
3,9,1,1,1
4,9,1,1,1
11,9,1,1,1
9,4,1,1,1
9,11,1,1,1
3,6,1,1,1
4,6,1,1,1
11,6,1,1,1
6,4,1,1,1
6,11,1,1,1
3,7,1,1,1
4,7,1,1,1
11,7,1,1,0
7,4,1,1,1
7,11,1,1,0
3,10,1,1,1
4,10,1,1,1
10,4,1,1,1
10,11,1,1,1
11,10,1,1,1
8,3,1,1,1
8,5,1,1,1
5,8,1,1,1
8,9,1,1,1
9,8,1,1,1
6,8,1,1,1
8,6,1,1,0
8,7,1,1,0
7,8,1,1,1
8,10,1,1,1
10,8,1,1,1
5,3,1,1,1
9,5,1,1,1
5,9,1,1,1
6,5,1,1,1
5,6,1,1,1
7,5,1,1,1
5,7,1,1,1
10,5,1,1,1
5,10,1,1,1
9,3,1,1,1
9,6,1,1,1
6,9,1,1,1
9,7,1,1,1
7,9,1,1,1
9,10,1,1,1
10,9,1,1,1
6,3,1,1,1
6,7,1,1,0
7,6,1,1,0
6,10,1,1,1
10,6,1,1,1
7,3,1,1,1
10,7,1,1,1
7,10,1,1,1
10,3,1,1,0
4,12,1,1,1
3,12,1,1,1
12,4,1,1,0
12,3,1,1,1
8,12,1,1,0
12,8,1,1,0
5,12,1,1,1
12,5,1,1,1
12,9,1,1,1
9,12,1,1,1
6,12,1,1,1
12,6,1,1,1
12,7,1,1,1
7,12,1,1,1
10,12,1,1,1
12,10,1,1,1
8,0,1,1,0
4,0,1,1,0
3,0,1,1,0
0,4,1,1,0
0,3,1,1,0
0,8,1,1,0
5,0,1,1,0
0,5,1,1,0
0,9,1,1,0
9,0,1,1,0
6,0,1,1,0
0,6,1,1,0
0,7,1,1,0
7,0,1,1,0
10,0,1,1,0
0,10,1,1,0
5,13,1,1,1
4,13,1,1,0
3,13,1,1,0
13,4,1,1,0
13,3,1,1,0
8,13,1,1,0
13,8,1,1,0
13,5,1,1,0
13,9,1,1,0
9,13,1,1,0
6,13,1,1,0
13,6,1,1,0
7,13,1,1,0
13,7,1,1,0
13,10,1,1,1
10,13,1,1,1
9,1,1,1,1
4,1,1,1,0
1,4,1,1,0
1,3,1,1,1
3,1,1,1,1
8,1,1,1,0
1,8,1,1,0
1,5,1,1,1
5,1,1,1,1
1,9,1,1,1
6,1,1,1,0
1,6,1,1,0
1,7,1,1,0
7,1,1,1,0
1,10,1,1,0
10,1,1,1,0
6,14,1,1,1
4,14,1,1,1
3,14,1,1,1
14,4,1,1,1
14,3,1,1,1
8,14,1,1,1
14,8,1,1,1
5,14,1,1,1
14,5,1,1,1
14,9,1,1,1
9,14,1,1,1
14,6,1,1,0
14,7,1,1,0
7,14,1,1,0
14,10,1,1,1
10,14,1,1,1
7,15,1,1,1
4,15,1,1,1
15,4,1,1,1
15,3,1,1,1
3,15,1,1,1
8,15,1,1,1
15,8,1,1,1
15,5,1,1,1
5,15,1,1,1
9,15,1,1,1
15,9,1,1,1
6,15,1,1,0
15,6,1,1,0
15,7,1,1,0
10,15,1,1,1
15,10,1,1,1
10,2,1,1,1
4,2,1,1,0
2,4,1,1,0
2,3,1,1,0
3,2,1,1,0
8,2,1,1,0
2,8,1,1,0
2,5,1,1,0
5,2,1,1,0
2,9,1,1,1
9,2,1,1,1
6,2,1,1,0
2,6,1,1,0
7,2,1,1,1
2,7,1,1,1
2,10,1,1,0
