source,destination,type_pre_eff,type_eff_eff,label
9,21,1,1,1
9,27,1,0,0
9,17,1,1,1
9,16,1,1,0
9,8,1,0,0
21,27,1,1,0
21,17,1,1,1
21,16,1,1,0
21,8,1,1,0
27,21,1,1,0
27,17,1,1,0
27,16,1,1,0
27,8,1,1,0
17,21,1,1,1
17,27,1,1,0
17,16,1,1,0
17,8,1,1,0
16,21,1,1,0
16,27,1,1,0
16,17,1,1,0
16,8,1,1,0
8,21,1,1,0
8,27,1,1,0
8,17,1,1,0
8,16,1,1,0
10,21,1,1,1
10,16,1,1,0
10,27,1,0,0
10,18,1,1,1
10,8,1,0,0
21,18,1,1,1
16,18,1,1,0
27,18,1,1,0
18,21,1,1,1
18,16,1,1,0
18,27,1,1,0
18,8,1,1,0
8,18,1,1,0
11,21,1,1,0
11,19,1,1,1
11,16,1,1,0
11,27,1,0,0
11,8,1,0,0
21,19,1,1,0
19,21,1,1,0
19,16,1,1,0
19,27,1,1,0
19,8,1,1,0
16,19,1,1,0
27,19,1,1,0
8,19,1,1,0
12,21,1,1,0
12,20,1,1,1
12,27,1,0,0
12,16,1,1,0
12,8,1,0,0
21,20,1,1,0
20,21,1,1,0
20,27,1,1,0
20,16,1,1,0
20,8,1,1,0
27,20,1,1,0
16,20,1,1,0
8,20,1,1,0
13,21,1,1,1
13,16,1,1,0
13,22,1,1,1
13,27,1,0,0
13,8,1,0,0
21,22,1,1,1
16,22,1,1,0
22,21,1,1,1
22,16,1,1,0
22,27,1,1,0
22,8,1,1,0
27,22,1,1,0
8,22,1,1,0
14,21,1,1,1
14,16,1,1,0
14,23,1,1,1
14,27,1,0,0
14,8,1,0,0
21,23,1,1,1
16,23,1,1,0
23,21,1,1,1
23,16,1,1,0
23,27,1,1,0
23,8,1,1,0
27,23,1,1,0
8,23,1,1,0
7,21,1,1,0
7,27,1,0,0
7,16,1,1,0
7,8,1,0,0
7,15,1,1,1
21,15,1,1,0
27,15,1,1,0
16,15,1,1,0
8,15,1,1,0
15,21,1,1,0
15,27,1,1,0
15,16,1,1,0
15,8,1,1,0
21,2,1,1,1
16,2,1,1,0
2,21,1,1,1
2,16,1,1,0
2,8,1,1,0
2,27,1,1,0
8,2,1,1,0
27,2,1,1,0
8,9,1,0,0
8,28,1,0,0
9,28,1,1,1
16,9,1,1,0
16,28,1,1,0
21,9,1,1,1
21,28,1,1,1
28,9,1,1,1
28,16,1,1,0
28,21,1,1,1
28,17,1,1,1
17,9,1,1,1
17,28,1,1,1
10,9,1,0,0
10,28,1,0,0
10,17,1,1,0
9,18,1,1,0
28,18,1,1,0
17,18,1,1,0
18,9,1,1,0
18,28,1,1,0
18,17,1,1,0
11,9,1,0,0
11,28,1,0,0
11,17,1,1,0
9,19,1,1,0
19,9,1,1,0
19,28,1,1,0
19,17,1,1,0
28,19,1,1,0
17,19,1,1,0
12,9,1,0,0
12,28,1,0,0
12,17,1,1,0
9,20,1,1,0
20,9,1,1,0
20,28,1,1,0
20,17,1,1,0
28,20,1,1,0
17,20,1,1,0
13,9,1,0,0
13,17,1,1,0
13,28,1,0,0
9,22,1,1,0
17,22,1,1,0
22,9,1,1,0
22,17,1,1,0
22,28,1,1,0
28,22,1,1,0
14,9,1,0,0
14,17,1,1,1
14,28,1,0,0
9,23,1,1,1
