source,destination,type_pre_eff,type_eff_eff,label
14,23,1,0,0
8,23,1,1,0
9,22,1,1,0
14,22,1,0,0
14,21,1,0,0
10,21,1,1,0
13,20,1,0,1
5,20,1,1,1
13,19,1,0,0
6,19,1,1,0
12,18,1,0,0
0,18,1,1,0
1,17,1,1,0
12,17,1,0,0
2,16,1,1,1
12,16,1,0,1
12,15,1,0,0
3,15,1,1,0
8,11,1,1,0
11,8,1,1,0
11,9,1,1,0
9,11,1,1,0
11,10,1,1,0
10,11,1,1,0
7,5,1,1,1
5,7,1,1,1
6,7,1,1,0
7,6,1,1,0
4,0,1,1,0
0,4,1,1,0
4,1,1,1,0
1,4,1,1,0
4,2,1,1,1
2,4,1,1,1
4,3,1,1,0
3,4,1,1,0
11,23,1,1,0
23,8,0,1,0
23,11,0,1,0
11,22,1,1,0
22,9,0,1,0
22,11,0,1,0
21,11,0,1,0
21,10,0,1,0
11,21,1,1,0
20,7,0,1,1
20,5,0,1,1
7,20,1,1,1
19,6,0,1,0
19,7,0,1,0
7,19,1,1,0
18,4,0,1,0
18,0,0,1,0
4,18,1,1,0
4,17,1,1,0
17,4,0,1,0
17,1,0,1,0
4,16,1,1,1
16,4,0,1,1
16,2,0,1,1
4,15,1,1,0
15,4,0,1,0
15,3,0,1,0
14,24,1,0,0
23,24,1,0,0
8,24,1,0,0
9,24,1,0,0
22,24,1,0,0
10,24,1,0,0
21,24,1,0,0
20,24,1,0,1
5,24,1,0,1
13,24,1,0,1
6,24,1,0,0
19,24,1,0,0
18,24,1,0,0
12,24,1,0,1
0,24,1,0,0
1,24,1,0,0
17,24,1,0,0
2,24,1,0,1
16,24,1,0,1
15,24,1,0,0
3,24,1,0,0
