source,destination,type_pre_eff,type_eff_eff,label
0,37,1,0,1
0,35,1,0,1
37,35,1,1,1
35,37,1,1,1
0,36,1,0,1
0,38,1,0,1
36,38,1,1,1
38,36,1,1,1
0,31,1,0,1
0,29,1,0,1
31,29,1,1,1
29,31,1,1,1
0,32,1,0,1
0,30,1,0,1
32,30,1,1,1
30,32,1,1,1
0,25,1,0,1
0,23,1,0,1
25,23,1,1,1
23,25,1,1,1
0,26,1,0,1
0,24,1,0,1
26,24,1,1,1
24,26,1,1,1
0,17,1,0,1
0,19,1,0,1
17,19,1,1,1
19,17,1,1,1
0,20,1,0,1
0,18,1,0,1
20,18,1,1,1
18,20,1,1,1
0,14,1,0,1
0,13,1,0,1
14,13,1,1,1
13,14,1,1,1
0,7,1,0,1
0,9,1,0,1
7,9,1,1,1
9,7,1,1,1
0,8,1,0,1
0,10,1,0,1
8,10,1,1,1
10,8,1,1,1
0,3,1,0,0
0,1,1,0,0
3,1,1,1,0
1,3,1,1,0
0,2,1,0,1
0,4,1,0,1
2,4,1,1,1
4,2,1,1,1
0,39,1,0,1
39,37,1,1,1
37,39,1,1,1
38,39,1,1,1
39,38,1,1,1
0,33,1,0,1
33,31,1,1,1
31,33,1,1,1
33,32,1,1,1
32,33,1,1,1
0,27,1,0,1
27,25,1,1,1
25,27,1,1,1
26,27,1,1,1
27,26,1,1,1
0,21,1,0,1
21,19,1,1,1
19,21,1,1,1
21,20,1,1,1
20,21,1,1,1
0,15,1,0,1
15,14,1,1,1
14,15,1,1,1
0,11,1,0,1
9,11,1,1,1
11,9,1,1,1
11,10,1,1,1
10,11,1,1,1
0,5,1,0,1
3,5,1,1,0
5,3,1,1,0
4,5,1,1,1
5,4,1,1,1
0,40,1,0,1
40,39,1,1,1
39,40,1,1,1
0,34,1,0,1
33,34,1,1,1
34,33,1,1,1
0,28,1,0,1
28,27,1,1,1
27,28,1,1,1
0,22,1,0,1
21,22,1,1,1
22,21,1,1,1
0,16,1,0,1
16,15,1,1,1
15,16,1,1,1
0,12,1,0,1
12,11,1,1,1
11,12,1,1,1
0,6,1,0,1
5,6,1,1,1
6,5,1,1,1
