source,destination,label
677,10993,False
749,16492,False
606,6793,False
533,3890,False
6,570,False
760,15853,False
578,7828,False
601,6375,False
612,6681,False
542,1361,False
784,891,False
553,1667,False
530,2175,False
669,9805,False
502,3210,False
661,567,False
525,1757,False
508,4042,False
547,2369,False
663,10507,False
592,6307,False
675,8218,False
795,18425,False
519,3404,False
507,4218,False
660,11449,False
674,9869,False
514,2455,False
728,14879,False
587,5889,False
516,1689,False
719,13807,False
584,6831,False
664,9446,False
593,5246,False
796,17364,False
641,9955,False
570,5755,False
511,1271,False
636,10481,False
564,7401,False
588,4828,False
791,16946,False
732,11932,False
565,5337,False
646,10963,False
726,13578,False
627,364,False
655,9378,False
559,6983,False
500,1969,False
691,14901,False
723,14520,False
581,7595,False
715,12328,False
737,12940,False
650,8960,False
579,4760,False
782,16878,False
686,14483,False
718,14102,False
647,9902,False
505,2977,False
621,11115,False
727,11573,False
632,10477,False
14,792,False
780,18234,False
698,13728,False
709,14034,False
627,9528,False
636,8474,False
789,15705,False
777,16519,False
552,3790,False
14,822,False
622,9110,False
600,270,False
761,16740,False
749,17554,False
690,12540,False
772,16101,False
822,54,False
701,11901,False
794,16713,False
780,15637,False
766,17748,False
743,18256,False
684,13242,False
14,754,False
536,4070,False
631,8115,False
763,16033,False
547,3431,False
688,696,False
685,12181,False
555,2967,False
758,15615,False
0,103,False
601,7497,False
674,10931,False
615,5917,False
544,1717,False
527,4002,False
766,15151,False
550,2549,False
741,15481,False
0,133,False
525,2879,False
566,202,False
747,16313,False
531,3711,False
749,15547,False
533,2945,False
616,4856,False
0,163,False
556,962,False
590,6069,False
742,15895,False
519,1869,False
731,14114,False
752,17321,False
658,11211,False
744,15129,False
587,7011,False
719,14929,False
500,3031,False
610,5558,False
593,7843,False
539,1358,False
522,3643,False
536,2063,False
596,4482,False
607,4788,False
677,10108,False
511,2393,False
517,3225,False
659,552,False
505,4039,False
649,11143,False
672,9690,False
601,5490,False
726,14700,False
514,1510,False
717,13628,False
669,8920,False
644,10725,False
646,9428,False
573,6525,False
596,5072,False
721,14282,False
650,10082,False
508,3157,False
641,9010,False
663,9622,False
562,7753,False
645,9664,False
503,2739,False
563,5158,False
574,5464,False
658,9204,False
729,11929,False
587,5004,False
794,17775,False
735,12761,False
723,13575,False
664,8561,False
568,6166,False
780,16699,False
707,13796,False
684,14304,False
625,9290,False
625,350,False
636,9596,False
706,14916,False
659,8143,False
791,16061,False
814,324,False
704,12081,False
797,16893,False
785,17707,False
726,12693,False
772,17223,False
630,10298,False
746,18436,False
573,4518,False
814,354,False
721,12275,False
709,13089,False
650,8075,False
625,9880,False
757,17798,False
766,16213,False
822,682,False
822,816,False
550,3611,False
816,434,False
702,13437,False
631,9237,False
692,14430,False
814,384,False
808,136,False
622,8165,False
747,17375,False
761,15795,False
604,7677,False
690,11595,False
816,464,False
758,16737,False
556,2024,False
808,166,False
698,12843,False
752,18383,False
744,15661,False
707,11789,False
816,494,False
6,455,False
536,3125,False
688,12951,False
2,227,False
738,16363,False
547,1956,False
533,4067,False
6,485,False
590,7191,False
612,7803,False
744,16251,False
542,1538,False
603,6731,False
6,515,False
739,15302,False
584,7893,False
667,602,False
513,3693,False
508,4219,False
747,15368,False
531,2766,False
675,9870,False
604,5670,False
585,6832,False
615,5032,False
514,2632,False
717,14750,False
599,5252,False
587,6066,False
528,1052,False
640,442,False
676,8809,False
534,1884,False
737,14002,False
605,4609,False
666,9802,False
509,2214,False
712,14332,False
570,7407,False
499,3207,False
734,14944,False
647,10964,False
576,6764,False
661,9384,False
590,5184,False
731,13229,False
672,8215,False
797,17955,False
630,11360,False
571,6346,False
774,18464,False
