source,destination,type_pre_eff,type_eff_eff,label
28,3,False,True,True
28,10,False,True,True
3,28,False,True,True
3,10,False,True,True
10,28,True,True,True
10,3,True,True,True
2,23,False,True,True
2,5,False,True,True
23,2,False,True,True
23,5,False,True,True
5,2,True,True,True
5,23,True,True,True
6,1,True,True,True
6,24,True,True,True
1,6,False,True,True
1,24,False,True,True
24,6,False,True,True
24,1,False,True,True
0,25,False,True,True
0,7,False,True,True
25,0,False,True,True
25,7,False,True,True
7,0,True,True,True
7,25,True,True,True
8,26,True,True,True
26,8,False,True,True
27,9,False,True,True
9,27,True,True,True
42,29,True,True,True
42,22,True,True,True
42,89,True,True,True
59,29,True,True,True
59,22,True,True,True
59,89,True,True,True
29,22,False,True,True
29,89,False,True,True
22,29,True,True,True
22,89,True,True,True
89,29,True,True,True
89,22,True,True,True
42,40,True,True,False
42,41,True,True,False
59,40,True,True,False
59,41,True,True,False
40,41,True,True,False
40,89,True,True,False
41,40,False,True,False
41,89,False,True,False
89,40,True,True,False
89,41,True,True,False
42,28,True,True,True
42,35,True,True,True
59,28,True,True,True
59,35,True,True,True
28,35,True,True,True
28,89,True,True,True
35,28,False,True,True
35,89,False,True,True
89,28,True,True,True
89,35,True,True,True
42,30,True,True,True
42,23,True,True,True
59,30,True,True,True
59,23,True,True,True
30,23,False,True,True
30,89,False,True,True
23,30,True,True,True
23,89,True,True,True
89,30,True,True,True
89,23,True,True,True
42,31,True,True,True
42,24,True,True,True
59,31,True,True,True
59,24,True,True,True
31,24,False,True,True
31,89,False,True,True
24,31,True,True,True
24,89,True,True,True
89,31,True,True,True
89,24,True,True,True
42,37,True,True,True
42,36,True,True,True
59,37,True,True,True
59,36,True,True,True
37,36,False,True,True
37,89,False,True,True
36,37,True,True,True
36,89,True,True,True
89,37,True,True,True
89,36,True,True,True
42,32,True,True,True
42,25,True,True,True
59,32,True,True,True
59,25,True,True,True
32,25,False,True,True
32,89,False,True,True
25,32,True,True,True
25,89,True,True,True
89,32,True,True,True
89,25,True,True,True
42,33,True,True,True
42,26,True,True,True
59,33,True,True,True
59,26,True,True,True
33,26,False,True,True
33,89,False,True,True
26,33,True,True,True
26,89,True,True,True
89,33,True,True,True
89,26,True,True,True
42,39,True,True,True
42,38,True,True,True
59,39,True,True,True
59,38,True,True,True
89,39,True,True,True
89,38,True,True,True
39,89,False,True,True
39,38,False,True,True
38,89,True,True,True
38,39,True,True,True
42,27,True,True,True
42,34,True,True,True
59,27,True,True,True
59,34,True,True,True
27,34,True,True,True
27,89,True,True,True
34,27,False,True,True
34,89,False,True,True
89,27,True,True,True
89,34,True,True,True
89,42,True,True,False
89,59,True,True,False
42,59,True,True,False
59,42,True,True,False
29,42,False,True,False
29,59,False,True,False
22,42,True,True,False
22,59,True,True,False
41,42,False,True,False
41,59,False,True,False
40,42,True,True,False
40,59,True,True,False
35,42,False,True,False
35,59,False,True,False
28,42,True,True,False
28,59,True,True,False
23,42,True,True,False
23,59,True,True,False
30,42,False,True,False
30,59,False,True,False
31,42,False,True,False
31,59,False,True,False
24,42,True,True,False
24,59,True,True,False
37,42,False,True,False
37,59,False,True,False
36,42,True,True,False
36,59,True,True,False
25,42,True,True,False
25,59,True,True,False
32,42,False,True,False
32,59,False,True,False
33,42,False,True,False
33,59,False,True,False
26,42,True,True,False
26,59,True,True,False
39,42,False,True,False
39,59,False,True,False
38,42,True,True,False
38,59,True,True,False
27,42,True,True,False
27,59,True,True,False
34,42,False,True,False
34,59,False,True,False
78,68,False,True,True
78,72,False,True,True
78,44,False,True,True
78,29,False,True,True
78,88,False,True,True
78,85,False,True,True
78,54,False,True,True
78,10,False,True,True
78,45,False,True,True
78,80,False,True,True
78,49,False,True,True
78,43,False,True,True
78,46,False,True,True
78,69,False,True,True
78,47,False,True,True
68,78,False,True,True
68,72,False,True,True
68,44,False,True,True
68,29,False,True,True
68,88,False,True,True
68,85,False,True,True
68,54,False,True,True
68,10,False,True,True
68,45,False,True,True
68,80,False,True,True
68,49,False,True,True
68,43,False,True,True
68,46,False,True,True
68,69,False,True,True
68,47,False,True,True
72,78,False,True,True
72,68,False,True,True
72,44,False,True,True
72,29,False,True,True
72,88,False,True,True
72,85,False,True,True
72,54,False,True,True
72,10,False,True,True
72,45,False,True,True
72,80,False,True,True
72,49,False,True,True
72,43,False,True,True
72,46,False,True,True
72,69,False,True,True
72,47,False,True,True
44,78,False,True,True
44,68,False,True,True
44,72,False,True,True
44,29,False,True,True
44,88,False,True,True
44,85,False,True,True
44,54,False,True,True
44,10,False,True,True
44,45,False,True,True
44,80,False,True,True
44,49,False,True,True
44,43,False,True,True
44,46,False,True,True
44,69,False,True,True
44,47,False,True,True
29,78,True,True,True
29,68,True,True,True
29,72,True,True,True
29,44,True,True,True
29,88,True,True,True
29,85,True,True,True
29,54,True,True,True
29,10,True,True,True
29,45,True,True,True
29,80,True,True,True
29,49,True,True,True
29,43,True,True,True
29,46,True,True,True
29,69,True,True,True
29,47,True,True,True
88,78,False,True,True
88,68,False,True,True
88,72,False,True,True
88,44,False,True,True
88,29,False,True,True
88,85,False,True,True
88,54,False,True,True
88,10,False,True,True
88,45,False,True,True
88,80,False,True,True
88,49,False,True,True
88,43,False,True,True
88,46,False,True,True
88,69,False,True,True
88,47,False,True,True
85,78,False,True,True
85,68,False,True,True
85,72,False,True,True
85,44,False,True,True
85,29,False,True,True
85,88,False,True,True
85,54,False,True,True
85,10,False,True,True
85,45,False,True,True
85,80,False,True,True
85,49,False,True,True
85,43,False,True,True
85,46,False,True,True
85,69,False,True,True
85,47,False,True,True
54,78,False,True,True
54,68,False,True,True
54,72,False,True,True
54,44,False,True,True
54,29,False,True,True
54,88,False,True,True
54,85,False,True,True
54,10,False,True,True
54,45,False,True,True
54,80,False,True,True
54,49,False,True,True
54,43,False,True,True
54,46,False,True,True
54,69,False,True,True
54,47,False,True,True
10,78,False,True,True
10,68,False,True,True
10,72,False,True,True
10,44,False,True,True
10,29,False,True,True
10,88,False,True,True
10,85,False,True,True
10,54,False,True,True
10,45,False,True,True
10,80,False,True,True
10,49,False,True,True
10,43,False,True,True
10,46,False,True,True
10,69,False,True,True
10,47,False,True,True
45,78,False,True,True
45,68,False,True,True
45,72,False,True,True
45,44,False,True,True
45,29,False,True,True
45,88,False,True,True
45,85,False,True,True
45,54,False,True,True
45,10,False,True,True
45,80,False,True,True
45,49,False,True,True
45,43,False,True,True
45,46,False,True,True
45,69,False,True,True
45,47,False,True,True
