source,destination,type_pre_eff,type_eff_eff,label
7,21,True,True,False
7,6,True,False,False
7,26,True,False,False
7,14,True,True,True
7,15,True,True,True
21,6,True,True,False
21,26,True,True,False
21,14,True,True,False
21,15,True,True,False
6,21,True,True,False
6,26,True,True,True
6,14,True,True,True
6,15,True,True,True
26,21,True,True,False
26,6,True,True,True
26,14,True,True,True
26,15,True,True,False
14,21,True,True,False
14,6,True,True,True
14,26,True,True,True
14,15,True,True,True
15,21,True,True,False
15,6,True,True,False
15,26,True,True,False
15,14,True,True,True
8,21,True,True,False
8,6,True,False,False
8,16,True,True,True
8,26,True,False,False
8,14,True,True,False
21,16,True,True,False
6,16,True,True,False
16,21,True,True,False
16,6,True,True,False
16,26,True,True,False
16,14,True,True,False
26,16,True,True,False
14,16,True,True,False
9,21,True,True,False
9,6,True,False,False
9,26,True,False,False
9,17,True,True,False
9,14,True,True,False
21,17,True,True,False
6,17,True,True,False
26,17,True,True,False
17,21,True,True,False
17,6,True,True,False
17,26,True,True,False
17,14,True,True,False
14,17,True,True,False
10,21,True,True,False
10,6,True,False,True
10,14,True,True,True
10,26,True,False,True
10,18,True,True,True
21,18,True,True,False
6,18,True,True,True
14,18,True,True,True
26,18,True,True,True
18,21,True,True,False
18,6,True,True,True
18,14,True,True,True
18,26,True,True,True
11,21,True,True,False
11,6,True,False,False
11,19,True,True,True
11,26,True,False,False
11,14,True,True,False
21,19,True,True,False
6,19,True,True,False
19,21,True,True,False
19,6,True,True,False
19,26,True,True,False
19,14,True,True,False
26,19,True,True,False
14,19,True,True,False
12,21,True,True,False
12,6,True,False,False
12,20,True,True,True
12,14,True,True,False
12,26,True,False,False
21,20,True,True,False
6,20,True,True,False
20,21,True,True,False
20,6,True,True,False
20,14,True,True,False
20,26,True,True,False
14,20,True,True,False
26,20,True,True,False
13,21,True,True,False
13,6,True,False,False
13,14,True,True,False
13,22,True,True,True
13,26,True,False,False
21,22,True,True,False
6,22,True,True,False
14,22,True,True,False
22,21,True,True,False
22,6,True,True,False
22,14,True,True,False
22,26,True,True,False
26,22,True,True,False
21,2,True,True,False
6,2,True,True,False
26,2,True,True,False
2,21,True,True,False
2,6,True,True,False
2,26,True,True,False
2,14,True,True,False
14,2,True,True,False
6,27,True,False,True
6,7,True,False,True
21,27,True,True,False
21,7,True,True,False
27,21,True,True,False
27,15,True,True,True
27,14,True,True,True
27,7,True,True,True
15,27,True,True,True
15,7,True,True,True
14,27,True,True,True
14,7,True,True,True
7,27,True,True,True
8,15,True,True,True
8,27,True,False,False
8,7,True,False,False
16,15,True,True,True
16,27,True,True,False
16,7,True,True,False
15,16,True,True,True
27,16,True,True,False
7,16,True,True,False
9,15,True,True,False
9,27,True,False,False
9,7,True,False,False
15,17,True,True,False
17,15,True,True,False
17,27,True,True,False
17,7,True,True,False
27,17,True,True,False
7,17,True,True,False
10,15,True,True,False
10,27,True,False,False
10,7,True,False,False
15,18,True,True,False
27,18,True,True,False
18,15,True,True,False
18,27,True,True,False
18,7,True,True,False
7,18,True,True,False
11,15,True,True,False
11,7,True,False,False
11,27,True,False,False
15,19,True,True,False
19,15,True,True,False
19,7,True,True,False
19,27,True,True,False
7,19,True,True,False
27,19,True,True,False
12,15,True,True,False
12,27,True,False,False
12,7,True,False,False
20,15,True,True,False
20,27,True,True,False
20,7,True,True,False
15,20,True,True,False
27,20,True,True,False
7,20,True,True,False
13,27,True,False,False
13,15,True,True,True
13,7,True,False,False
27,22,True,True,False
15,22,True,True,True
22,27,True,True,False
22,15,True,True,True
22,7,True,True,False
7,22,True,True,True
15,2,True,True,False
2,15,True,True,False
2,7,True,True,False
2,27,True,True,False
7,2,True,True,False
27,2,True,True,False
6,28,True,False,False
6,8,True,False,False
21,28,True,True,False
21,8,True,True,False
28,21,True,True,False
28,16,True,True,True
28,14,True,True,False
28,8,True,True,True
16,28,True,True,True
16,8,True,True,True
14,28,True,True,False
14,8,True,True,False
8,28,True,True,True
7,28,True,False,False
7,8,True,False,False
28,15,True,True,True
15,28,True,True,True
15,8,True,True,True
9,16,True,True,False
9,28,True,False,False
9,8,True,False,False
17,16,True,True,False
17,28,True,True,False
17,8,True,True,False
16,17,True,True,False
28,17,True,True,False
8,17,True,True,False
10,16,True,True,False
10,28,True,False,False
10,8,True,False,False
16,18,True,True,False
28,18,True,True,False
18,16,True,True,False
18,28,True,True,False
18,8,True,True,False
8,18,True,True,False
11,16,True,True,True
11,8,True,False,False
11,28,True,False,False
19,16,True,True,True
19,8,True,True,False
19,28,True,True,False
16,19,True,True,True
8,19,True,True,True
28,19,True,True,False
12,16,True,True,False
12,28,True,False,False
12,8,True,False,False
20,16,True,True,False
20,28,True,True,False
20,8,True,True,False
16,20,True,True,False
28,20,True,True,False
8,20,True,True,False
13,16,True,True,False
13,28,True,False,False
13,8,True,False,False
16,22,True,True,False
28,22,True,True,False
22,16,True,True,False
22,28,True,True,False
22,8,True,True,False
8,22,True,True,False
28,2,True,True,False
16,2,True,True,False
2,28,True,True,False
2,16,True,True,False
2,8,True,True,False
8,2,True,True,False
6,9,True,False,False
6,29,True,False,False
9,29,True,True,False
21,9,True,True,False
21,29,True,True,False
29,9,True,True,False
29,21,True,True,False
29,14,True,True,False
29,17,True,True,False
14,9,True,True,False
14,29,True,True,False
17,9,True,True,False
17,29,True,True,False
7,9,True,False,False
7,29,True,False,False
15,9,True,True,False
15,29,True,True,False
29,15,True,True,False
8,9,True,False,False
8,29,True,False,False
16,9,True,True,False
16,29,True,True,False
29,16,True,True,False
10,9,True,False,False
10,29,True,False,False
10,17,True,True,False
9,18,True,True,False
29,18,True,True,False
17,18,True,True,False
18,9,True,True,False
18,29,True,True,False
18,17,True,True,False
11,9,True,False,False
11,29,True,False,False
11,17,True,True,False
9,19,True,True,False
29,19,True,True,False
19,9,True,True,False
19,29,True,True,False
19,17,True,True,False
17,19,True,True,False
12,9,True,False,False
12,17,True,True,False
12,29,True,False,False
9,20,True,True,False
20,9,True,True,False
20,17,True,True,False
20,29,True,True,False
17,20,True,True,False
29,20,True,True,False
13,9,True,False,False
13,29,True,False,False
13,17,True,True,False
9,22,True,True,False
29,22,True,True,False
17,22,True,True,False
22,9,True,True,False
22,29,True,True,False
22,17,True,True,False
9,2,True,True,False
29,2,True,True,False
2,9,True,True,False
2,29,True,True,False
2,17,True,True,False
17,2,True,True,False
6,10,True,False,False
6,30,True,False,False
21,10,True,True,False
21,30,True,True,False
10,30,True,True,True
14,10,True,True,False
14,30,True,True,False
30,21,True,True,False
30,10,True,True,True
30,14,True,True,False
30,18,True,True,True
18,10,True,True,True
18,30,True,True,True
7,30,True,False,False
7,10,True,False,False
30,15,True,True,False
15,30,True,True,False
15,10,True,True,False
8,30,True,False,False
8,10,True,False,False
16,30,True,True,False
16,10,True,True,False
30,16,True,True,False
9,10,True,False,False
9,30,True,False,False
17,10,True,True,False
17,30,True,True,False
30,17,True,True,False
11,10,True,False,False
11,30,True,False,False
11,18,True,True,False
19,10,True,True,False
19,30,True,True,False
19,18,True,True,False
10,19,True,True,False
30,19,True,True,False
18,19,True,True,False
12,30,True,False,False
12,10,True,False,False
12,18,True,True,False
20,30,True,True,False
20,10,True,True,False
20,18,True,True,False
30,20,True,True,False
10,20,True,True,False
18,20,True,True,False
13,10,True,False,False
13,30,True,False,False
13,18,True,True,True
10,22,True,True,False
22,10,True,True,False
22,30,True,True,False
22,18,True,True,True
30,22,True,True,False
18,22,True,True,True
10,2,True,True,False
2,10,True,True,False
2,30,True,True,False
2,18,True,True,False
30,2,True,True,False
18,2,True,True,False
6,11,True,False,False
6,31,True,False,False
21,11,True,True,False
21,31,True,True,False
11,31,True,True,True
31,21,True,True,False
31,11,True,True,True
31,19,True,True,True
31,14,True,True,False
19,11,True,True,True
