source,destination,type_pre_eff,type_eff_eff,label
6,14,True,True,False
11,14,True,False,False
4,13,True,True,True
9,13,True,False,True
8,12,True,False,True
0,12,True,True,True
7,5,True,True,False
5,7,True,True,False
6,7,True,True,False
7,6,True,True,False
4,3,True,True,True
3,4,True,True,True
2,0,True,True,True
0,2,True,True,True
2,1,True,True,False
1,2,True,True,False
14,6,False,True,False
14,7,False,True,False
7,14,True,True,False
13,4,False,True,True
13,3,False,True,True
3,13,True,True,True
2,12,True,True,True
12,2,False,True,True
12,0,False,True,True
6,15,True,False,False
11,15,True,False,False
14,15,True,False,False
9,15,True,False,True
4,15,True,False,True
13,15,True,False,True
12,15,True,False,True
8,15,True,False,True
0,15,True,False,True
