source,destination,type_pre_eff,type_eff_eff,label
0,51,1,0,1
0,49,1,0,1
51,49,1,1,1
49,51,1,1,1
0,50,1,0,1
0,52,1,0,1
50,52,1,1,1
52,50,1,1,1
0,45,1,0,1
0,46,1,0,1
45,46,1,1,1
46,45,1,1,1
0,41,1,0,1
0,39,1,0,1
41,39,1,1,1
39,41,1,1,1
0,42,1,0,1
0,40,1,0,1
42,40,1,1,1
40,42,1,1,1
0,33,1,0,1
0,35,1,0,1
33,35,1,1,1
35,33,1,1,1
0,34,1,0,1
0,36,1,0,1
34,36,1,1,1
36,34,1,1,1
0,29,1,0,1
0,30,1,0,1
29,30,1,1,1
30,29,1,1,1
0,26,1,0,1
0,25,1,0,1
26,25,1,1,1
25,26,1,1,1
0,19,1,0,1
0,21,1,0,1
19,21,1,1,1
21,19,1,1,1
0,20,1,0,1
0,22,1,0,1
20,22,1,1,1
22,20,1,1,1
0,15,1,0,1
0,13,1,0,1
15,13,1,1,1
13,15,1,1,1
0,16,1,0,1
0,14,1,0,1
16,14,1,1,1
14,16,1,1,1
0,7,1,0,1
0,9,1,0,1
7,9,1,1,1
9,7,1,1,1
0,8,1,0,1
0,10,1,0,1
8,10,1,1,1
10,8,1,1,1
0,3,1,0,1
0,1,1,0,1
3,1,1,1,1
1,3,1,1,1
0,2,1,0,1
0,4,1,0,1
2,4,1,1,1
4,2,1,1,1
0,53,1,0,1
51,53,1,1,1
53,51,1,1,1
52,53,1,1,1
53,52,1,1,1
0,47,1,0,1
46,47,1,1,1
47,46,1,1,1
0,43,1,0,1
43,41,1,1,1
41,43,1,1,1
43,42,1,1,1
42,43,1,1,1
0,37,1,0,1
37,35,1,1,1
35,37,1,1,1
36,37,1,1,1
37,36,1,1,1
0,31,1,0,1
31,30,1,1,1
30,31,1,1,1
0,27,1,0,1
26,27,1,1,1
27,26,1,1,1
0,23,1,0,1
21,23,1,1,1
23,21,1,1,1
23,22,1,1,1
22,23,1,1,1
0,17,1,0,1
15,17,1,1,1
17,15,1,1,1
16,17,1,1,1
17,16,1,1,1
0,11,1,0,1
9,11,1,1,1
11,9,1,1,1
11,10,1,1,1
10,11,1,1,1
0,5,1,0,1
3,5,1,1,1
5,3,1,1,1
4,5,1,1,1
5,4,1,1,1
0,54,1,0,1
53,54,1,1,1
54,53,1,1,1
0,48,1,0,1
47,48,1,1,1
48,47,1,1,1
0,44,1,0,1
43,44,1,1,1
44,43,1,1,1
0,38,1,0,1
38,37,1,1,1
37,38,1,1,1
0,32,1,0,1
31,32,1,1,1
32,31,1,1,1
0,28,1,0,1
28,27,1,1,1
27,28,1,1,1
0,24,1,0,1
23,24,1,1,1
24,23,1,1,1
0,18,1,0,1
17,18,1,1,1
18,17,1,1,1
0,12,1,0,1
12,11,1,1,1
11,12,1,1,1
0,6,1,0,1
5,6,1,1,1
6,5,1,1,1
