source,destination,type_pre_eff,type_eff_eff,label
7,12,True,False,True
2,12,True,True,True
3,11,True,True,False
7,11,True,False,False
4,9,True,True,False
7,9,True,False,False
1,8,True,True,True
6,8,True,False,True
2,5,True,True,True
5,2,True,True,True
3,5,True,True,False
5,3,True,True,False
4,5,True,True,False
5,4,True,True,False
1,0,True,True,True
0,1,True,True,True
5,12,True,True,True
12,2,False,True,True
12,5,False,True,True
11,3,False,True,False
11,5,False,True,False
5,11,True,True,False
9,4,False,True,False
9,5,False,True,False
5,9,True,True,False
8,1,False,True,True
8,0,False,True,True
0,8,True,True,True
12,14,True,False,True
2,14,True,False,True
7,14,True,False,True
3,14,True,False,False
11,14,True,False,False
9,14,True,False,False
4,14,True,False,False
7,10,True,False,False
9,10,True,False,False
4,10,True,False,False
7,13,True,False,True
12,13,True,False,True
2,13,True,False,True
1,10,True,False,True
6,10,True,False,True
8,10,True,False,True
