source,destination,type_pre_eff,type_eff_eff,label
0,57,True,False,True
0,55,True,False,True
57,55,True,True,True
55,57,True,True,True
0,56,True,False,True
0,58,True,False,True
56,58,True,True,True
58,56,True,True,True
0,51,True,False,True
0,49,True,False,True
51,49,True,True,True
49,51,True,True,True
0,50,True,False,True
0,52,True,False,True
50,52,True,True,True
52,50,True,True,True
0,45,True,False,True
0,43,True,False,True
45,43,True,True,True
43,45,True,True,True
0,44,True,False,False
0,46,True,False,False
44,46,True,True,False
46,44,True,True,False
0,39,True,False,True
0,37,True,False,True
39,37,True,True,True
37,39,True,True,True
0,38,True,False,True
0,40,True,False,True
38,40,True,True,True
40,38,True,True,True
0,33,True,False,True
0,31,True,False,True
33,31,True,True,True
31,33,True,True,True
0,34,True,False,True
0,32,True,False,True
34,32,True,True,True
32,34,True,True,True
0,27,True,False,True
0,25,True,False,True
27,25,True,True,True
25,27,True,True,True
0,28,True,False,True
0,26,True,False,True
28,26,True,True,True
26,28,True,True,True
0,19,True,False,True
0,21,True,False,True
19,21,True,True,True
21,19,True,True,True
0,20,True,False,True
0,22,True,False,True
20,22,True,True,True
22,20,True,True,True
0,15,True,False,True
0,13,True,False,True
15,13,True,True,True
13,15,True,True,True
0,16,True,False,False
0,14,True,False,False
16,14,True,True,False
14,16,True,True,False
0,7,True,False,True
0,9,True,False,True
7,9,True,True,True
9,7,True,True,True
0,8,True,False,False
0,10,True,False,False
8,10,True,True,False
10,8,True,True,False
0,3,True,False,True
0,1,True,False,True
3,1,True,True,True
1,3,True,True,True
0,2,True,False,True
0,4,True,False,True
2,4,True,True,True
4,2,True,True,True
0,59,True,False,True
59,57,True,True,True
57,59,True,True,True
59,58,True,True,True
58,59,True,True,True
0,53,True,False,True
51,53,True,True,True
53,51,True,True,True
52,53,True,True,True
53,52,True,True,True
0,47,True,False,True
45,47,True,True,True
47,45,True,True,True
46,47,True,True,False
47,46,True,True,False
0,41,True,False,True
41,39,True,True,True
39,41,True,True,True
41,40,True,True,True
40,41,True,True,True
0,35,True,False,True
33,35,True,True,True
35,33,True,True,True
34,35,True,True,True
35,34,True,True,True
0,29,True,False,True
29,27,True,True,True
27,29,True,True,True
28,29,True,True,True
29,28,True,True,True
0,23,True,False,True
21,23,True,True,True
23,21,True,True,True
23,22,True,True,True
22,23,True,True,True
0,17,True,False,True
15,17,True,True,True
17,15,True,True,True
16,17,True,True,False
17,16,True,True,False
0,11,True,False,True
9,11,True,True,True
11,9,True,True,True
11,10,True,True,False
10,11,True,True,False
0,5,True,False,True
3,5,True,True,True
5,3,True,True,True
4,5,True,True,True
5,4,True,True,True
0,60,True,False,True
60,59,True,True,True
59,60,True,True,True
0,54,True,False,True
53,54,True,True,True
54,53,True,True,True
0,48,True,False,True
47,48,True,True,True
48,47,True,True,True
0,42,True,False,True
42,41,True,True,True
41,42,True,True,True
0,36,True,False,True
36,35,True,True,True
35,36,True,True,True
0,30,True,False,True
29,30,True,True,True
30,29,True,True,True
0,24,True,False,True
23,24,True,True,True
24,23,True,True,True
0,18,True,False,True
17,18,True,True,True
18,17,True,True,True
0,12,True,False,True
12,11,True,True,True
11,12,True,True,True
0,6,True,False,True
5,6,True,True,True
6,5,True,True,True
