source,destination
251,634
140,281
15,30
251,643
161,322
251,652
251,661
93,187
248,497
251,670
141,282
11,23
29,59
219,439
50,100
222,444
155,311
3,6
158,316
176,352
90,181
236,473
252,728
111,222
129,258
251,620
252,737
43,87
251,629
261,813
251,638
64,128
237,474
251,647
251,656
169,339
125,251
0,0
172,344
190,380
122,245
78,157
143,286
58,117
249,551
204,409
61,122
79,158
252,714
139,279
14,28
32,64
252,723
252,732
251,624
75,151
253,795
251,633
140,280
251,642
72,145
251,651
28,57
46,93
201,403
218,437
93,186
49,98
154,309
219,438
264,818
175,350
89,179
107,215
249,546
249,555
128,256
252,700
60,121
252,709
215,431
233,467
260,811
252,718
236,472
252,727
253,781
251,619
168,337
186,373
252,736
253,790
251,628
17,34
261,812
189,378
251,637
125,250
57,115
203,407
122,244
78,156
96,192
249,532
10,21
249,541
31,62
249,550
204,408
250,613
252,695
136,273
92,185
252,704
252,713
139,278
157,314
252,722
253,776
45,91
252,731
253,785
251,623
110,220
253,794
197,395
153,307
171,343
28,56
46,92
218,436
106,213
249,518
249,527
42,85
249,536
232,465
107,214
249,545
63,126
252,681
249,554
39,79
250,608
13,27
252,690
250,617
185,371
252,699
257,805
60,120
16,32
233,466
252,708
253,762
260,810
252,717
253,771
121,243
253,780
251,618
186,372
253,789
142,284
56,113
74,149
247,495
95,190
27,55
182,365
200,401
30,60
249,513
203,406
221,442
249,522
135,271
249,531
249,540
156,312
250,594
249,549
250,603
252,685
250,612
252,694
217,435
92,184
252,703
253,757
252,712
253,766
24,49
214,429
253,775
170,341
45,90
253,784
235,470
263,816
253,793
150,301
153,306
171,342
103,207
59,119
249,499
106,212
124,248
249,508
249,517
12,25
256,803
249,526
250,580
77,154
249,535
232,464
250,589
250,598
252,680
164,329
120,241
138,277
250,607
13,26
252,689
250,616
185,370
252,698
253,743
253,752
253,761
73,147
253,770
246,493
253,779
9,19
26,53
199,399
74,148
220,440
6,13
152,305
27,54
200,400
249,503
249,512
70,141
88,177
249,521
250,575
109,218
249,530
250,584
250,593
23,47
41,83
231,463
250,602
252,684
253,738
259,809
44,88
62,124
250,611
217,434
252,693
253,747
253,756
262,814
149,299
167,335
253,765
214,428
253,774
170,340
188,376
102,205
123,246
55,111
228,457
184,369
59,118
76,152
249,498
205,410
249,507
250,561
181,363
137,275
249,516
250,570
12,24
202,404
250,579
250,588
117,235
250,597
252,679
120,240
138,276
253,742
253,751
253,760
198,397
216,433
73,146
91,182
5,11
134,269
151,303
26,52
251,665
199,398
251,674
131,263
87,175
105,211
152,304
108,216
249,502
40,81
213,427
249,511
250,565
258,807
250,574
234,468
250,583
166,333
250,592
41,82
231,462
259,808
187,374
253,746
101,203
119,239
253,755
167,334
37,75
227,455
245,491
255,801
251,660
248,496
251,669
8,17
55,110
11,22
29,58
184,368
116,233
250,560
181,362
137,274
155,310
250,569
250,578
69,139
25,51
90,180
22,45
253,741
195,391
43,86
198,396
216,432
148,297
251,646
104,209
251,655
151,302
169,338
251,664
84,169
251,673
230,461
87,174
105,210
165,331
183,367
40,80
58,116
258,806
250,564
250,573
118,237
166,332
98,197
54,109
244,489
101,202
119,238
75,150
251,632
51,103
7,15
251,641
180,361
72,144
251,650
245,490
201,402
251,659
251,668
115,231
133,267
8,16
154,308
86,173
68,137
241,483
89,178
250,559
4,9
194,389
212,425
25,50
215,430
147,295
252,726
22,44
252,735
168,336
251,627
83,167
251,636
229,459
148,296
251,645
104,208
251,654
18,37
36,73
251,663
254,799
57,114
230,460
162,325
10,20
165,330
183,366
97,195
71,143
243,487
118,236
136,272
179,359
252,721
54,108
252,730
244,488
251,622
132,265
251,631
7,14
251,640
197,394
251,649
85,171
133,266
65,131
21,43
211,423
68,136
86,172
42,84
249,544
249,553
39,78
212,424
257,804
252,707
82,165
100,201
252,716
147,294
121,242
252,725
252,734
253,788
35,71
53,107
208,417
226,453
251,626
253,797
56,112
251,635
229,458
247,494
251,644
161,323
254,798
182,364
114,229
135,270
50,101
249,539
222,445
240,481
196,393
249,548
71,142
249,557
243,486
3,7
252,702
193,387
252,711
24,48
179,358
252,720
252,729
253,783
129,259
251,621
253,792
132,264
150,300
251,630
64,129
38,77
210,421
85,170
103,206
190,381
146,293
21,42
211,422
256,802
249,525
143,287
249,534
99,199
249,543
164,328
249,552
250,606
252,688
250,615
252,697
52,105
225,451
252,706
100,200
252,715
253,769
246,492
32,65
252,724
253,778
160,321
178,357
253,787
35,70
53,106
9,18
251,625
253,796
6,12
49,99
67,135
239,479
267,825
114,228
70,140
88,176
249,520
2,5
20,41
249,529
175,351
264,819
249,538
23,46
240,480
196,392
249,547
250,601
252,683
249,556
250,610
128,257
252,692
252,701
193,386
149,298
252,710
253,764
252,719
81,163
253,773
253,782
102,204
253,791
17,35
189,379
207,415
163,327
38,76
210,420
228,456
249,506
146,292
249,515
96,193
249,524
224,449
242,485
249,533
99,198
117,234
250,587
249,542
250,596
252,678
31,63
250,605
252,687
177,355
250,614
252,696
52,104
253,750
225,450
252,705
253,759
253,768
157,315
113,227
253,777
5,10
160,320
178,356
134,268
253,786
110,221
66,133
131,262
19,39
192,385
67,134
249,501
239,478
267,824
213,426
249,510
