source,destination,label
2276,300,False
2203,298,False
2896,316,False
4113,347,False
6715,414,False
6642,412,False
2114,296,False
46,445,False
5336,378,False
1862,289,False
1789,287,False
2259,300,False
2186,298,False
2482,305,False
4096,347,False
4023,345,False
4319,352,False
4716,363,False
102,156,False
2097,295,False
2790,313,False
2717,311,False
6301,403,False
6228,401,False
6590,411,False
6921,419,False
5319,378,False
2465,305,False
4302,352,False
260,200,False
486,78,False
46,426,False
2700,311,False
2773,313,False
2996,318,False
3069,320,False
6176,400,False
6507,408,False
6904,419,False
653,220,False
4978,369,False
4905,367,False
4250,351,False
498,86,False
2251,299,False
2359,302,False
2286,300,False
2648,310,False
2979,318,False
3052,320,False
6159,400,False
6455,407,False
320,64,False
4853,366,False
6690,413,False
77,76,False
437,36,False
2234,299,False
2530,306,False
2638,309,False
2565,307,False
2927,317,False
2962,318,False
6114,398,False
6438,407,False
339,102,False
6734,414,False
1910,291,False
4836,366,False
5132,373,False
6673,413,False
56,427,False
3819,340,False
4115,347,False
51,423,False
639,208,False
2513,306,False
52,436,False
6024,396,False
6717,414,False
2189,298,False
5115,373,False
5411,380,False
404,232,False
2261,300,False
2557,307,False
4098,347,False
4394,354,False
2172,297,False
2099,295,False
2496,306,False
2792,313,False
6303,403,False
509,98,False
1479,280,False
185,90,False
4701,362,False
6611,411,False
6538,409,False
3684,336,False
2082,295,False
2775,313,False
3071,320,False
51,434,False
4980,369,False
6486,408,False
6817,416,False
3632,335,False
3928,342,False
4325,353,False
4252,351,False
778,262,False
1633,283,False
2030,294,False
2326,301,False
2434,304,False
2361,302,False
6530,409,False
460,56,False
4235,350,False
4928,368,False
6765,415,False
3911,342,False
1616,283,False
2309,301,False
2640,309,False
6116,398,False
6513,409,False
1292,275,False
1588,282,False
4514,357,False
5134,373,False
6055,397,False
6351,404,False
6748,415,False
3497,331,False
4190,349,False
5442,381,False
382,190,False
1895,290,False
2588,308,False
6099,398,False
6792,416,False
1571,282,False
4497,357,False
6334,404,False
3445,330,False
3776,338,False
4173,349,False
2174,297,False
6378,405,False
1519,281,False
6613,411,False
3428,330,False
3355,328,False
284,236,False
3651,335,False
3724,337,False
5011,370,False
2122,296,False
2157,297,False
3663,336,False
3959,343,False
1105,270,False
6561,410,False
6596,411,False
3014,319,False
3310,326,False
3707,337,False
3634,335,False
6892,418,False
1412,278,False
1708,285,False
2105,296,False
2401,303,False
3942,343,False
1088,270,False
4310,352,False
6147,399,False
6840,417,False
6767,415,False
3293,326,False
396,216,False
1691,285,False
2311,301,False
3528,332,False
5895,393,False
4148,348,False
428,26,False
970,266,False
4516,357,False
6130,399,False
6426,406,False
6823,417,False
3241,325,False
6750,415,False
3572,333,False
1970,292,False
1897,290,False
953,266,False
557,134,False
6409,406,False
6336,404,False
3520,332,False
3447,330,False
3555,333,False
1953,292,False
901,265,False
152,38,False
209,126,False
136,258,False
6284,403,False
6392,406,False
3106,321,False
6688,413,False
3430,330,False
3726,337,False
88,114,False
1504,280,False
2197,298,False
2124,296,False
4034,345,False
3665,336,False
5943,394,False
6636,412,False
6274,402,False
6563,410,False
3089,321,False
3016,319,False
3709,337,False
1487,280,False
533,116,False
1710,285,False
1783,287,False
2107,296,False
3324,327,False
3620,334,False
4017,345,False
3944,343,False
5529,383,False
5926,394,False
6149,399,False
6222,401,False
1766,287,False
1693,285,False
2062,294,False
3603,334,False
3530,332,False
4223,350,False
3971,343,False
616,192,False
6097,398,False
6205,401,False
6132,399,False
6428,406,False
4826,365,False
1641,284,False
1676,285,False
1972,292,False
3478,331,False
3513,332,False
5683,387,False
6080,398,False
6411,406,False
3522,332,False
1227,273,False
1631,283,False
1920,291,False
3757,338,False
903,265,False
567,150,False
2155,297,False
6035,396,False
5666,387,False
5962,394,False
6070,397,False
6359,405,False
2812,314,False
3108,321,False
5342,379,False
271,222,False
1579,282,False
1210,273,False
1506,280,False
3120,322,False
3047,320,False
3343,327,False
3416,329,False
3740,338,False
6018,396,False
5945,394,False
6638,412,False
3091,321,False
490,84,False
1165,271,False
1489,280,False
1785,287,False
3399,329,False
3326,327,False
3622,334,False
4019,345,False
2020,293,False
5604,385,False
5531,383,False
5893,393,False
5928,394,False
6224,401,False
3274,326,False
3605,334,False
4298,352,False
716,260,False
529,110,False
274,224,False
2003,293,False
5479,382,False
6207,401,False
6503,408,False
5155,374,False
1354,276,False
2860,315,False
3553,333,False
3588,334,False
699,260,False
1554,281,False
1589,282,False
5065,371,False
5462,382,False
5758,389,False
5793,390,False
934,266,False
476,72,False
5993,395,False
452,44,False
1302,275,False
2843,315,False
3139,322,False
176,74,False
1537,281,False
5741,389,False
691,254,False
6037,396,False
6361,405,False
2887,316,False
3183,323,False
4724,363,False
273,222,False
961,266,False
888,264,False
5976,395,False
6272,402,False
2798,313,False
2725,311,False
3122,322,False
3418,329,False
6929,419,False
1520,281,False
1816,288,False
5400,380,False
5327,378,False
6020,396,False
99,142,False
5562,384,False
3401,329,False
3697,336,False
1799,288,False
5571,384,False
5968,395,False
5606,385,False
747,261,False
4951,369,False
438,32,False
2656,310,False
2952,317,False
2987,318,False
199,114,False
3680,336,False
6860,418,False
1458,279,False
1385,277,False
4861,366,False
5554,384,False
4537,358,False
2935,317,False
3231,324,False
3628,335,False
6742,414,False
1629,283,False
1664,284,False
5140,373,False
5537,384,False
5760,389,False
5833,391,False
4520,358,False
38,420,False
5375,379,False
6068,397,False
2521,306,False
3214,324,False
6725,414,False
640,210,False
919,265,False
1612,283,False
5123,373,False
5743,389,False
891,264,False
3521,332,False
3817,339,False
5358,379,False
963,266,False
6051,397,False
2800,313,False
3197,324,False
3493,331,False
1198,272,False
1818,288,False
5402,380,False
874,264,False
497,90,False
687,248,False
5637,386,False
6330,404,False
2748,312,False
2675,310,False
6257,402,False
2783,313,False
3476,331,False
64,42,False
1181,272,False
1477,279,False
5350,379,False
626,198,False
2334,301,False
2731,312,False
2658,310,False
2954,317,False
3027,319,False
3062,320,False
3351,328,False
4936,368,False
5629,386,False
5556,384,False
2317,301,False
3010,319,False
2937,317,False
4847,366,False
496,88,False
5215,375,False
5142,373,False
5539,384,False
549,132,False
5835,391,False
6756,415,False
663,230,False
5450,381,False
5847,392,False
6143,399,False
2488,305,False
2596,308,False
2523,306,False
994,267,False
5198,375,False
5125,373,False
5433,381,False
6053,397,False
2471,305,False
148,32,False
213,132,False
1200,272,False
500,90,False
100,150,False
6910,419,False
4056,346,False
5712,388,False
2130,296,False
2057,294,False
5639,386,False
2454,305,False
2750,312,False
4364,354,False
1148,271,False
2985,318,False
6569,410,False
5587,385,False
2113,296,False
2040,294,False
2409,303,False
2733,312,False
5622,386,False
4570,359,False
2644,309,False
2968,318,False
6848,417,False
6479,408,False
6775,415,False
54,440,False
5866,392,False
2392,303,False
2319,301,False
3012,319,False
4229,350,False
301,28,False
4921,368,False
6723,414,False
6831,417,False
