source,destination,label
67,108,False
60,116,False
58,72,False
66,128,False
74,31,True
55,91,False
74,32,False
65,106,False
66,114,True
53,9,False
62,146,False
2,23,False
53,75,False
59,45,False
72,19,False
57,17,False
2,27,False
0,7,False
62,2,True
63,29,False
55,77,False
0,11,False
2,29,False
59,73,False
63,97,False
56,92,False
67,122,False
61,25,False
0,13,False
58,51,False
64,141,False
66,107,False
55,70,False
74,24,False
74,35,False
53,39,False
54,76,False
65,149,False
61,95,False
53,54,False
72,9,False
57,18,False
54,12,False
68,5,True
58,79,False
67,143,False
72,22,False
72,11,False
53,82,False
59,52,False
64,105,False
63,111,False
67,101,False
54,40,False
58,19,False
2,25,False
64,31,True
0,16,False
2,36,False
74,2,True
63,104,False
67,129,False
0,20,False
58,58,False
55,55,False
2,38,False
72,0,True
60,144,False
66,35,False
62,132,False
53,61,False
57,43,False
0,22,False
0,9,False
55,13,False
53,10,False
74,33,False
58,20,False
72,3,False
62,28,False
59,22,False
72,7,False
72,18,False
56,63,False
63,147,False
2,26,False
57,71,False
72,15,True
55,41,False
52,46,False
54,47,False
74,37,False
0,10,False
57,86,False
61,145,False
52,8,False
72,20,False
52,74,False
53,0,True
62,96,False
2,28,False
60,123,False
63,30,False
2,32,False
0,12,False
58,94,False
74,23,False
74,34,False
53,68,True
2,30,False
66,150,False
61,138,False
56,15,True
70,6,True
56,16,False
74,38,False
2,31,True
2,34,False
72,21,False
62,27,False
65,33,False
56,42,False
54,11,False
67,37,False
57,50,False
0,15,True
0,18,False
54,1,True
74,29,False
74,27,False
72,10,False
52,53,False
59,80,False
60,23,False
60,102,False
64,134,True
72,14,False
64,148,False
54,69,True
54,83,False
67,38,False
55,48,False
56,56,True
64,112,False
61,117,False
62,103,False
72,16,False
52,81,False
65,142,False
2,24,False
2,35,False
60,130,False
0,8,False
0,19,False
66,36,False
65,120,False
74,30,False
56,49,True
2,37,False
53,89,False
59,59,False
55,14,False
56,78,False
0,21,False
63,133,False
57,57,False
64,32,False
61,26,False
54,62,False
72,1,True
64,98,False
74,36,False
61,131,False
59,21,False
72,17,False
52,60,False
59,87,False
67,136,False
60,109,False
0,14,False
58,65,False
66,121,False
55,84,False
63,126,False
74,25,False
54,90,False
52,7,False
72,8,False
65,99,False
62,125,True
62,139,False
64,119,False
61,124,False
72,12,False
52,88,False
60,137,False
65,127,False
74,26,False
66,135,True
2,33,False
61,110,False
59,66,False
56,85,False
67,115,False
57,93,False
0,17,False
58,44,False
66,100,False
63,140,False
74,28,False
60,24,False
74,4,False
57,64,False
65,34,False
65,113,False
62,118,False
72,13,False
52,67,False
