source,destination,label
111,48,False
75,43,False
28,36,False
92,46,False
5,58,False
102,47,False
45,39,False
87,45,False
55,40,False
97,46,False
40,38,False
72,43,False
35,37,False
114,49,False
50,40,False
120,50,False
21,34,False
115,49,False
26,36,False
4,56,True
68,42,False
9,16,False
105,47,False
44,39,False
117,49,False
12,28,True
112,48,False
43,39,False
2,57,False
17,18,False
88,45,False
130,51,False
41,38,False
83,44,False
110,48,False
5,3,False
59,41,False
16,14,False
54,40,False
86,45,False
128,51,False
39,38,False
81,44,False
82,44,False
25,36,False
29,37,False
19,26,False
57,41,False
99,47,False
52,40,False
94,46,False
47,39,False
18,22,False
85,45,False
3,59,False
127,51,False
80,44,False
77,43,False
119,49,False
70,42,True
15,10,False
125,50,False
129,51,False
124,50,False
58,41,False
100,47,False
49,39,False
11,24,False
73,43,True
53,40,False
95,46,False
123,50,False
48,39,False
14,6,False
76,43,False
118,49,False
122,50,False
71,43,False
113,49,False
0,0,True
24,36,False
66,42,False
8,12,False
20,30,False
51,40,False
89,45,False
93,46,False
7,8,False
37,38,False
91,45,False
22,36,False
133,51,False
64,42,False
106,48,False
4,1,True
84,44,False
13,32,False
23,36,False
10,20,False
109,48,False
34,37,False
62,41,False
104,47,False
1,2,False
30,37,False
4,53,True
63,41,False
131,51,False
67,42,False
126,50,False
90,45,False
132,51,False
2,52,False
79,44,False
32,37,False
38,38,False
108,48,False
33,37,False
61,41,False
65,42,False
107,48,False
56,40,False
60,41,False
6,4,False
36,38,False
5,55,False
78,44,False
31,37,False
101,47,False
103,47,False
98,46,False
3,54,False
96,46,False
42,38,False
121,50,False
46,39,False
74,43,False
116,49,False
27,36,False
69,42,False
