source,destination,label
302,152,False
2537,263,False
892,206,False
906,207,False
2277,254,False
563,174,False
1313,221,False
632,197,False
1487,227,False
3045,281,False
3066,281,False
1894,241,False
3132,284,False
2434,259,False
3819,307,False
145,142,False
2174,250,False
2855,274,False
1210,217,False
3436,294,False
950,208,False
1051,212,False
186,192,False
2436,260,False
1963,243,False
1998,244,False
291,138,False
133,124,False
2419,259,False
2492,261,False
2593,265,False
774,202,False
2899,275,False
3000,279,False
1195,217,False
3245,287,False
3961,312,False
2316,255,False
2021,245,False
1948,243,False
2122,249,False
2056,246,False
3802,307,False
1092,213,False
1193,217,False
32,324,False
39,323,False
933,208,False
1845,239,False
1178,216,False
1880,240,False
1946,243,False
916,207,False
3404,293,False
3142,284,False
2475,261,False
344,24,False
506,108,False
757,202,False
3387,292,False
3127,283,False
3228,287,False
3843,308,False
1409,224,False
2198,251,False
2264,254,False
2299,255,False
3944,312,False
359,54,False
2004,245,False
3684,303,False
974,209,False
1075,213,False
2951,277,False
1320,221,False
3546,298,False
1727,235,False
1060,212,False
1828,239,False
3269,288,False
418,172,False
3304,289,False
3370,292,False
884,206,False
3009,279,False
3110,283,False
2146,250,False
22,12,False
1392,224,False
2181,251,False
1886,241,False
957,209,False
467,62,False
579,194,False
2426,259,False
781,202,False
2833,273,False
3007,279,False
2166,250,False
1188,216,False
1202,217,False
2934,277,False
3428,294,False
3688,303,False
2674,268,False
1783,237,False
3463,295,False
3708,303,False
2744,270,False
925,207,False
266,108,False
428,192,False
1506,227,False
2585,265,False
839,204,False
766,202,False
3252,288,False
2992,279,False
1246,218,False
1347,222,False
2259,253,False
3939,311,False
2975,278,False
2308,255,False
254,90,False
663,198,False
2889,275,False
1136,215,False
1070,212,False
1925,242,False
2816,273,False
3296,289,False
1872,240,False
981,209,False
908,207,False
3134,284,False
1388,223,False
2453,260,False
1489,227,False
3308,290,False
2874,275,False
1229,218,False
3414,293,False
3887,310,False
2141,249,False
3220,287,False
1474,226,False
2242,253,False
3031,280,False
1212,217,False
2291,255,False
3922,311,False
3995,313,False
2771,271,False
1018,211,False
1807,238,False
2872,275,False
3784,306,False
2754,270,False
1298,220,False
2560,264,False
2595,265,False
863,205,False
790,203,False
3016,280,False
535,142,False
1371,223,False
2840,273,False
3247,287,False
2580,264,False
1,2,False
226,60,False
1616,231,False
1717,235,False
3842,308,False
2197,251,False
1356,222,False
2124,249,False
1457,226,False
2913,276,False
3877,309,False
427,190,False
3666,302,False
113,100,False
2636,266,False
1180,216,False
2999,279,False
3701,303,False
75,58,False
1775,237,False
573,186,False
745,201,False
2722,269,False
116,108,False
1758,236,False
3129,283,False
2462,260,False
3230,287,False
1498,227,False
2266,254,False
1599,231,False
3724,304,False
4019,314,False
298,142,False
441,30,False
1339,222,False
2006,245,False
2795,272,False
3040,280,False
262,104,False
397,130,False
482,80,False
2286,254,False
3141,284,False
3548,298,False
2881,275,False
1062,212,False
1851,239,False
551,162,False
1163,216,False
1917,242,False
679,199,False
403,142,False
2604,265,False
2705,269,False
1741,236,False
3185,285,False
3112,283,False
1481,227,False
430,16,False
1221,218,False
469,62,False
3023,280,False
3524,297,False
1204,217,False
1378,223,False
3430,294,False
1785,237,False
1118,214,False
1045,212,False
132,128,False
3710,303,False
2746,270,False
1101,213,False
2552,264,False
3254,288,False
2660,267,False
2587,265,False
314,162,False
1696,234,False
25,316,False
375,86,False
3327,290,False
1363,223,False
447,38,False
630,197,False
2484,261,False
665,198,False
2891,275,False
2905,276,False
1159,215,False
3746,305,False
1260,219,False
1667,233,False
2172,250,False
3852,308,False
3658,302,False
1912,241,False
2013,245,False
2729,270,False
160,160,False
983,209,False
1084,213,False
3209,286,False
789,203,False
2469,261,False
824,204,False
129,120,False
1069,212,False
3962,312,False
234,66,False
3222,287,False
3295,289,False
1650,232,False
1577,230,False
2366,257,False
613,197,False
3033,280,False
2071,247,False
4011,314,False
1142,215,False
237,74,False
79,60,False
351,38,False
2155,250,False
3119,283,False
2190,251,False
1794,237,False
1895,241,False
2611,266,False
966,209,False
3192,286,False
671,199,False
36,332,False
567,182,False
3437,294,False
1618,231,False
1792,237,False
951,208,False
3844,308,False
3177,285,False
3104,283,False
2213,252,False
1532,228,False
1459,226,False
2248,253,False
3945,312,False
603,196,False
3160,284,False
3668,302,False
446,36,False
3001,279,False
2037,246,False
1370,223,False
2072,247,False
265,106,False
3596,300,False
1777,237,False
3579,299,False
2898,275,False
556,168,False
1093,213,False
3319,290,False
1500,227,False
1674,233,False
245,82,False
369,74,False
710,200,False
1601,231,False
2081,247,False
2095,248,False
3059,281,False
422,180,False
3042,280,False
3143,284,False
3216,286,False
3623,300,False
2883,275,False
1919,242,False
233,64,False
1238,218,False
1659,233,False
3461,295,False
2005,245,False
1027,211,False
135,130,False
1816,238,False
1149,215,False
1076,213,False
2780,271,False
3187,285,False
1556,229,False
3201,286,False
1657,233,False
4042,315,False
3533,297,False
2924,276,False
3098,282,False
3025,280,False
281,126,False
123,112,False
1380,223,False
3199,286,False
3505,296,False
3989,313,False
1801,238,False
1120,214,False
1975,244,False
3111,283,False
2922,276,False
2627,266,False
982,209,False
909,207,False
1698,234,False
2662,267,False
1031,211,False
958,209,False
1799,238,False
1539,229,False
514,116,False
3415,293,False
2451,260,False
2486,261,False
2292,255,False
3081,282,False
1262,219,False
3488,296,False
4028,314,False
1507,227,False
3733,304,False
3834,308,False
2015,245,False
2804,272,False
381,98,False
2610,266,False
864,205,False
791,203,False
1580,230,False
2544,263,False
1421,225,False
3557,298,False
531,138,False
1825,238,False
139,132,False
95,82,False
2333,256,False
1666,233,False
2406,258,False
702,200,False
636,197,False
3398,293,False
3875,309,False
3976,313,False
3910,310,False
1389,223,False
1490,227,False
3542,298,False
3615,300,False
1970,243,False
1897,241,False
2686,268,False
1230,218,False
2019,245,False
3716,304,False
389,114,False
530,136,False
847,205,False
3032,280,False
569,182,False
1387,223,False
3439,294,False
2772,271,False
3540,298,False
953,208,False
1808,238,False
318,166,False
3353,291,False
3280,289,False
112,104,False
2389,258,False
4034,315,False
59,36,False
1531,228,False
3858,309,False
2112,248,False
3191,286,False
1445,225,False
1372,223,False
3497,296,False
7,6,False
1852,239,False
3598,300,False
1953,243,False
1112,214,False
989,210,False
547,158,False
2865,274,False
2914,276,False
1269,219,False
3321,290,False
3495,296,False
2654,267,False
1676,233,False
1690,234,False
2531,263,False
3422,294,False
3162,285,False
2443,260,False
3218,286,False
798,203,False
2478,261,False
1514,228,False
1994,244,False
1327,221,False
1254,219,False
3480,296,False
1835,239,False
871,206,False
4020,314,False
3536,297,False
2080,247,False
2782,271,False
2796,272,False
1818,238,False
3637,301,False
1151,215,False
488,84,False
856,205,False
1624,232,False
2413,259,False
891,206,False
3377,292,False
1904,241,False
2519,262,False
114,102,False
3100,282,False
2433,259,False
213,40,False
680,199,False
1396,224,False
2941,277,False
1977,244,False
1310,221,False
3853,308,False
3186,285,False
2222,252,False
180,184,False
3902,310,False
216,48,False
58,34,False
1962,243,False
1889,241,False
2063,247,False
2730,270,False
2852,274,False
1033,211,False
3519,297,False
505,106,False
3504,296,False
326,180,False
546,156,False
1786,237,False
822,204,False
4012,314,False
400,136,False
857,205,False
3083,282,False
1859,240,False
3328,290,False
2364,257,False
3429,294,False
3735,304,False
106,96,False
3068,281,False
3836,308,False
2104,248,False
205,34,False
406,148,False
2139,249,False
2205,252,False
1844,239,False
2612,266,False
1945,243,False
3401,293,False
431,18,False
1016,211,False
355,46,False
3646,301,False
2892,275,False
1261,219,False
3487,296,False
1668,233,False
777,202,False
1769,237,False
1842,239,False
3894,310,False
2263,254,False
3210,286,False
232,68,False
74,54,False
1565,229,False
3311,290,False
601,196,False
2950,277,False
3718,304,False
1986,244,False
3791,306,False
2494,262,False
1827,239,False
376,88,False
3528,297,False
2774,271,False
1883,240,False
1810,238,False
1129,214,False
1984,244,False
463,54,False
3369,292,False
3629,301,False
1550,229,False
1724,235,False
3776,306,False
760,202,False
4036,315,False
3352,291,False
1707,234,False
4056,315,False
3092,282,False
3266,288,False
3193,286,False
1447,225,False
3860,309,False
1548,229,False
260,100,False
584,196,False
1187,216,False
2933,277,False
3845,308,False
2200,251,False
1236,218,False
3090,282,False
2694,268,False
1271,219,False
3511,297,False
1765,236,False
1077,213,False
1692,234,False
1866,240,False
2273,254,False
210,40,False
493,90,False
2518,262,False
301,150,False
2619,266,False
3234,287,False
354,44,False
499,98,False
922,207,False
1589,230,False
3815,307,False
33,317,False
1329,221,False
1395,224,False
1430,225,False
3075,282,False
42,20,False
1675,233,False
3901,310,False
3828,308,False
224,54,False
2183,251,False
2972,278,False
1219,218,False
2677,268,False
3393,293,False
959,209,False
122,116,False
1748,236,False
14,10,False
3624,300,False
373,82,False
3725,304,False
2761,271,False
2695,268,False
2400,258,False
2501,262,False
682,199,False
1471,226,False
804,203,False
3697,303,False
1277,220,False
80,64,False
1312,221,False
3942,311,False
3188,285,False
557,170,False
2224,252,False
4043,315,False
1557,229,False
593,196,False
3783,306,False
2819,273,False
2138,249,False
2065,247,False
1174,216,False
2753,270,False
2854,274,False
841,205,False
3766,305,False
3099,282,False
159,156,False
3506,296,False
3607,300,False
548,156,False
2643,267,False
385,106,False
2383,258,False
637,197,False
738,201,False
1699,234,False
3925,311,False
2106,248,False
2280,254,False
2207,252,False
3665,302,False
1947,243,False
1056,212,False
2736,270,False
1091,213,False
3648,301,False
41,18,False
526,132,False
3749,305,False
3388,292,False
3489,296,False
2598,265,False
2525,263,False
1858,240,False
223,52,False
2265,254,False
620,197,False
3734,304,False
3386,292,False
865,205,False
2422,259,False
1581,230,False
1682,234,False
3126,283,False
3807,307,False
333,184,False
476,72,False
2089,248,False
127,122,False
2162,250,False
2569,264,False
452,44,False
2915,276,False
3704,303,False
3631,301,False
2964,278,False
1145,215,False
313,160,False
3371,292,False
414,164,False
1726,235,False
2581,265,False
762,202,False
3717,304,False
1971,243,False
1007,210,False
2687,268,False
1042,211,False
316,168,False
747,201,False
93,76,False
848,205,False
1515,228,False
1637,232,False
2304,255,False
3268,288,False
2044,246,False
3689,303,False
504,104,False
57,38,False
4021,314,False
2289,254,False
3057,281,False
2797,272,False
3586,299,False
2130,249,False
239,72,False
195,22,False
1100,213,False
1868,240,False
3513,297,False
3687,303,False
644,198,False
484,80,False
2113,248,False
2520,262,False
8,6,False
1853,239,False
3410,293,False
889,206,False
3599,300,False
990,210,False
924,207,False
2670,268,False
1470,226,False
1397,224,False
2186,251,False
730,201,False
3150,284,False
3251,288,False
392,120,False
2431,259,False
3903,310,False
2939,277,False
2272,254,False
85,70,False
2974,278,False
627,197,False
2679,268,False
2012,245,False
3569,299,False
1048,212,False
1083,213,False
1995,244,False
38,13,False
2096,248,False
3554,298,False
2576,264,False
1735,235,False
2503,262,False
771,202,False
1836,239,False
872,206,False
3292,289,False
322,176,False
3133,284,False
612,197,False
520,124,False
413,162,False
3537,297,False
4045,315,False
0,0,False
3378,292,False
1559,229,False
2414,259,False
3785,306,False
769,202,False
3886,310,False
2154,250,False
1190,217,False
2561,264,False
3101,282,False
272,116,False
3682,302,False
2841,273,False
2718,269,False
410,156,False
1877,240,False
1978,244,False
2051,246,False
3696,303,False
2458,260,False
1718,235,False
754,202,False
537,146,False
3419,293,False
3520,297,False
1875,240,False
3927,311,False
4000,313,False
3260,288,False
2296,255,False
1542,229,False
651,198,False
2022,245,False
1058,212,False
899,207,False
3049,281,False
1303,220,False
2983,278,False
3084,282,False
3157,284,False
3564,298,False
1933,242,False
1860,240,False
3985,313,False
2441,260,False
142,140,False
3475,295,False
3402,293,False
324,174,False
280,124,False
1757,236,False
3983,313,False
1462,226,False
2164,250,False
478,72,False
1497,227,False
3125,283,False
2931,277,False
3706,303,False
60,40,False
1286,220,False
2966,278,False
3039,280,False
203,28,False
3446,294,False
62,44,False
3512,297,False
2583,265,False
3547,298,False
1916,242,False
198,22,False
3792,306,False
2863,274,False
170,172,False
2568,264,False
206,36,False
2495,262,False
923,207,False
850,205,False
1639,232,False
2669,268,False
