source,destination,label
205,966,False
214,1381,False
307,3878,False
334,386,False
220,160,False
280,2517,False
305,3382,False
10,378,False
286,3857,False
313,3448,False
294,3923,False
334,416,False
198,1394,False
332,238,False
200,1077,False
334,367,False
328,119,False
250,1850,False
313,3216,False
217,687,False
292,3195,False
219,158,False
200,845,False
328,149,False
212,1030,False
250,1618,False
204,732,False
288,444,False
243,279,False
300,501,False
245,1961,False
328,179,False
284,2927,False
237,1663,False
4,49,False
12,560,False
278,3154,False
222,605,False
278,2892,False
223,983,False
245,1729,False
270,2856,False
270,2594,False
262,2558,False
311,3823,False
4,79,False
278,2660,False
303,3787,False
303,3525,False
256,2523,False
257,2901,False
229,2004,False
270,2362,False
295,3489,False
12,541,False
295,3227,False
336,550,False
299,499,False
223,1360,False
4,109,False
311,3591,False
215,1324,False
215,1062,False
264,2327,False
282,420,False
290,3832,False
262,2935,False
303,3293,False
330,197,False
257,2669,False
334,401,False
12,571,False
248,2255,False
248,1993,False
330,276,False
326,103,False
202,1369,False
295,3866,False
14,579,False
290,3600,False
330,227,False
288,3946,False
281,3186,False
196,42,False
281,2924,False
235,2300,False
326,133,False
257,3046,False
202,1137,False
295,3634,False
290,3368,False
209,1086,False
330,257,False
209,824,False
281,2692,False
201,788,False
290,3977,False
235,2068,False
326,163,False
274,395,False
334,16,False
242,2017,False
301,3204,False
234,1719,False
268,2999,False
253,325,False
207,97,False
227,197,False
276,3094,False
301,3959,False
0,152,False
260,3078,False
224,694,False
4,94,False
336,480,False
309,4025,False
297,488,False
8,218,False
301,3727,False
218,659,False
219,1037,False
336,431,False
313,3912,False
0,182,False
279,2371,False
4,124,False
211,739,False
301,509,False
305,3614,False
233,1485,False
238,251,False
258,2612,False
258,2350,False
213,1264,False
252,1968,False
8,248,False
336,461,False
219,805,False
312,3302,False
244,1670,False
313,3680,False
266,2678,False
4,154,False
287,438,False
266,2416,False
291,3543,False
8,199,False
291,3281,False
246,2195,False
332,208,False
307,538,False
252,1736,False
277,2601,False
250,2082,False
299,3609,False
299,3347,False
203,1080,False
8,229,False
198,53,False
219,1182,False
244,2309,False
285,2667,False
330,272,False
211,1146,False
252,1504,False
236,2011,False
203,848,False
252,2113,False
222,1069,False
244,2077,False
285,2435,False
244,1815,False
269,2942,False
269,2680,False
236,1779,False
285,3044,False
10,401,False
277,3008,False
277,2746,False
2,103,False
231,2122,False
256,2987,False
269,2448,False
209,107,False
310,3939,False
310,3677,False
229,207,False
230,1773,False
264,3053,False
2,133,False
10,382,False
286,430,False
256,2755,False
222,1214,False
334,420,False
2,163,False
264,2821,False
289,3686,False
10,412,False
256,3132,False
272,388,False
324,157,False
255,2174,False
289,3454,False
332,10,False
297,3781,False
201,1252,False
253,1679,False
293,3341,False
332,223,False
207,793,False
324,187,False
209,1318,False
234,2183,False
297,3549,False
328,49,False
201,1020,False
332,253,False
240,1724,False
309,3734,False
242,2249,False
301,3436,False
267,3114,False
12,430,False
271,386,False
234,1951,False
294,19,False
328,79,False
332,283,False
240,1492,False
275,3180,False
265,2357,False
287,3365,False
12,460,False
267,2882,False
232,2065,False
273,2423,False
275,2948,False
290,454,False
218,1123,False
12,490,False
302,511,False
6,242,False
265,2996,False
306,3354,False
210,1087,False
210,825,False
279,2835,False
232,1833,False
232,1571,False
12,441,False
6,321,False
2,148,False
273,2800,False
218,891,False
312,4028,False
243,1756,False
312,3766,False
6,272,False
240,1899,False
265,2764,False
265,2502,False
12,471,False
2,178,False
217,146,False
306,3731,False
326,3,False
298,3695,False
298,3433,False
243,1524,False
6,302,False
228,7,False
330,261,False
251,1851,False
204,587,False
306,3499,False
210,1232,False
210,970,False
299,3841,False
212,653,False
330,291,False
251,1619,False
243,2163,False
243,1901,False
197,1277,False
330,242,False
328,64,False
228,201,False
284,2550,False
330,321,False
326,148,False
248,301,False
293,467,False
202,73,False
251,2258,False
251,1996,False
328,94,False
230,2237,False
196,696,False
249,1501,False
284,3189,False
238,2303,False
228,1480,False
263,3168,False
328,124,False
229,1627,False
230,2005,False
282,2432,False
0,186,False
247,298,False
12,505,False
238,2071,False
304,521,False
263,2936,False
315,3363,False
336,465,False
12,535,False
271,3002,False
0,167,False
253,2143,False
263,2704,False
302,3408,False
336,495,False
282,3187,False
4,54,False
8,233,False
198,581,False
208,1404,False
267,2591,False
336,446,False
214,945,False
308,3820,False
4,139,False
336,525,False
206,647,False
300,3522,False
326,48,False
205,85,False
228,1655,False
214,713,False
330,306,False
198,1220,False
239,1578,False
261,2586,False
286,3451,False
287,3829,False
247,1905,False
326,78,False
226,190,False
14,554,False
330,336,False
294,3255,False
198,988,False
200,62,False
258,347,False
286,3219,False
322,38,False
287,3597,False
247,1673,False
250,311,False
261,355,False
204,83,False
232,2297,False
338,543,False
280,2604,False
236,240,False
338,494,False
225,1304,False
313,3535,False
217,1006,False
338,573,False
226,2291,False
280,2372,False
305,3237,False
338,524,False
225,1072,False
250,1937,False
272,2945,False
313,3303,False
272,2683,False
231,217,False
217,774,False
226,2059,False
298,3927,False
324,57,False
338,554,False
212,1379,False
305,3876,False
225,840,False
292,460,False
250,1705,False
259,2990,False
284,424,False
215,888,False
312,560,False
226,1827,False
245,2310,False
324,87,False
217,1413,False
217,1151,False
212,1147,False
292,3921,False
212,885,False
196,1392,False
259,2758,False
215,656,False
245,2078,False
270,2943,False
267,375,False
292,3689,False
196,1160,False
248,1587,False
280,414,False
274,2830,False
278,3009,False
202,701,False
311,558,False
229,2091,False
281,2518,False
282,2896,False
235,1894,False
235,1632,False
315,579,False
215,1411,False
274,2598,False
6,325,False
227,1596,False
237,2157,False
314,3449,False
315,3827,False
268,2563,False
10,346,False
282,2664,False
307,3529,False
260,2527,False
2,48,False
12,475,False
314,3217,False
315,3595,False
6,306,False
10,376,False
268,2331,False
293,3196,False
276,2658,False
2,78,False
221,749,False
338,539,False
334,414,False
302,3902,False
274,3005,False
6,336,False
309,3589,False
213,1060,False
315,3972,False
334,365,False
276,2426,False
338,569,False
301,3291,False
6,287,False
10,357,False
205,762,False
307,3936,False
221,1388,False
261,3050,False
221,1126,False
286,3915,False
219,156,False
309,3357,False
213,828,False
334,395,False
324,102,False
254,2319,False
294,3981,False
314,571,False
254,2057,False
334,346,False
221,894,False
286,3683,False
246,1759,False
199,757,False
200,1135,False
324,132,False
213,596,False
254,1825,False
233,2066,False
205,1169,False
246,1527,False
200,903,False
224,1390,False
200,641,False
313,568,False
233,1834,False
233,1572,False
258,2699,False
306,21,False
224,1158,False
299,497,False
200,1280,False
266,2765,False
222,663,False
282,418,False
270,2652,False
12,435,False
233,2211,False
299,3696,False
258,3076,False
203,1167,False
262,2354,False
311,3881,False
12,520,False
278,2718,False
303,3583,False
231,1454,False
266,3142,False
211,1233,False
270,2420,False
236,2098,False
295,3285,False
6,217,False
258,2844,False
311,3649,False
264,2647,False
334,380,False
278,408,False
12,550,False
264,2385,False
219,1299,False
289,3250,False
244,2164,False
303,3351,False
330,255,False
256,2349,False
223,1186,False
248,2051,False
330,206,False
311,3417,False
295,3924,False
334,14,False
221,166,False
281,2982,False
297,3345,False
225,187,False
248,1819,False
330,236,False
326,63,False
295,3692,False
207,95,False
314,3913,False
209,1144,False
209,882,False
281,2750,False
201,846,False
201,584,False
290,4035,False
326,93,False
242,2075,False
283,2433,False
242,1813,False
14,569,False
314,3681,False
209,650,False
330,217,False
234,1777,False
234,1515,False
268,3057,False
275,2744,False
326,123,False
220,835,False
242,1581,False
267,2446,False
301,507,False
275,2512,False
276,3152,False
220,603,False
276,2890,False
301,4017,False
305,528,False
260,3136,False
220,1212,False
0,82,False
287,436,False
283,2578,False
253,1534,False
309,3821,False
0,161,False
0,112,False
220,980,False
198,843,False
336,440,False
199,1221,False
287,3452,False
324,72,False
312,3360,False
0,142,False
207,1287,False
232,2152,False
336,470,False
199,989,False
8,208,False
240,2218,False
299,3405,False
207,1055,False
232,1920,False
285,2725,False
273,3149,False
209,105,False
240,1986,False
10,429,False
199,1366,False
201,69,False
252,2171,False
232,1688,False
213,126,False
285,2493,False
244,1873,False
10,380,False
236,1575,False
285,3102,False
277,2804,False
10,410,False
256,3045,False
269,2506,False
197,639,False
254,331,False
338,439,False
285,2870,False
310,3997,False
310,3735,False
245,288,False
10,361,False
230,1831,False
264,3111,False
338,518,False
2,63,False
256,2813,False
240,260,False
334,399,False
222,1272,False
338,469,False
238,1635,False
263,2500,False
208,591,False
10,391,False
310,3503,False
230,1599,False
264,2879,False
289,3744,False
289,447,False
216,657,False
334,429,False
324,136,False
338,499,False
255,2232,False
268,377,False
208,1230,False
249,1588,False
271,2334,False
296,3199,False
297,3839,False
324,166,False
282,2519,False
255,2000,False
324,117,False
304,3265,False
208,998,False
208,736,False
209,1376,False
234,2241,False
297,3607,False
308,544,False
241,1929,False
241,1667,False
242,2307,False
324,147,False
267,3172,False
249,1733,False
228,1974,False
324,177,False
214,1294,False
283,3042,False
197,45,False
261,2905,False
6,221,False
275,3006,False
228,1742,False
6,300,False
306,3412,False
308,3937,False
198,1307,False
6,251,False
261,2673,False
12,450,False
6,202,False
206,1373,False
265,2560,False
242,270,False
277,405,False
217,600,False
198,1075,False
6,281,False
214,1439,False
216,142,False
246,291,False
273,2626,False
330,240,False
298,3491,False
6,232,False
225,666,False
206,1141,False
251,1909,False
306,3557,False
330,270,False
334,340,False
298,3259,False
6,262,False
212,711,False
251,1677,False
330,221,False
334,29,False
330,300,False
245,1642,False
284,2608,False
196,986,False
243,1989,False
320,37,False
251,2054,False
230,2295,False
296,483,False
196,754,False
284,2985,False
278,2341,False
300,504,False
0,165,False
229,1685,False
257,2320,False
230,2063,False
223,1041,False
199,55,False
336,572,False
215,743,False
237,1489,False
238,2129,False
262,2616,False
263,2994,False
223,809,False
0,146,False
257,2959,False
202,1050,False
271,3060,False
295,3547,False
296,3925,False
263,2762,False
0,176,False
304,3991,False
257,2727,False
202,818,False
296,3693,False
296,3431,False
302,3234,False
202,1427,False
290,3658,False
235,1749,False
330,285,False
288,4004,False
257,2495,False
239,1636,False
202,1195,False
261,2382,False
227,2060,False
241,2161,False
330,315,False
14,484,False
235,2126,False
294,3313,False
274,3092,False
14,563,False
247,1731,False
257,343,False
14,514,False
307,4023,False
240,264,False
280,2662,False
306,530,False
