source,destination
15,30
93,187
101,289
101,298
101,307
11,23
29,59
50,100
3,6
99,230
99,239
90,181
99,248
43,87
64,128
0,0
101,293
101,302
111,334
101,311
78,157
58,117
61,122
79,158
99,234
99,243
14,28
32,64
99,252
105,323
108,328
75,151
72,145
28,57
46,93
93,186
101,288
49,98
101,297
89,179
99,229
60,121
99,238
17,34
107,327
101,292
57,115
78,156
96,192
10,21
31,62
104,321
92,185
99,233
45,91
28,56
46,92
42,85
63,126
39,79
13,27
60,120
16,32
106,325
107,326
56,113
74,149
95,190
27,55
30,60
92,184
98,218
24,49
45,90
100,273
100,282
59,119
12,25
77,154
98,204
13,26
103,319
98,213
98,222
106,324
73,147
100,268
9,19
26,53
100,277
74,148
6,13
27,54
70,141
88,177
23,47
41,83
98,199
44,88
62,124
98,208
98,217
100,263
109,330
100,272
100,281
55,111
59,118
76,152
12,24
102,317
98,203
103,318
98,212
98,221
73,146
91,182
5,11
100,258
100,267
26,52
100,276
100,285
87,175
40,81
41,82
98,198
98,207
98,216
37,75
100,262
100,271
8,17
101,306
55,110
11,22
29,58
101,315
102,316
69,139
25,51
90,180
99,247
22,45
98,202
43,86
100,257
100,266
84,169
101,301
87,174
101,310
40,80
58,116
99,242
105,322
98,197
99,251
54,109
75,150
51,103
7,15
72,144
101,287
101,296
8,16
101,305
101,314
86,173
68,137
89,178
4,9
99,228
25,50
99,237
99,246
22,44
99,255
83,167
18,37
36,73
101,291
57,114
101,300
101,309
10,20
104,320
97,195
71,143
99,232
99,241
99,250
54,108
7,14
85,171
101,286
101,295
65,131
101,304
21,43
68,136
86,172
42,84
39,78
112,337
99,227
99,236
82,165
99,245
35,71
53,107
56,112
101,290
101,299
50,101
71,142
3,7
99,231
99,240
24,48
64,129
38,77
85,170
21,42
111,335
52,105
99,226
32,65
35,70
53,106
9,18
6,12
49,99
67,135
70,140
88,176
2,5
20,41
23,46
98,225
81,163
17,35
100,280
38,76
96,193
31,63
98,211
52,104
98,220
5,10
100,275
66,133
100,284
19,39
67,134
113,339
2,4
20,40
110,333
63,127
80,161
98,206
98,215
16,33
34,69
98,224
81,162
37,74
100,261
100,270
100,279
95,191
30,61
48,97
69,138
1,3
98,201
98,210
98,219
100,256
100,265
100,274
66,132
84,168
100,283
19,38
113,338
110,332
77,155
33,67
80,160
98,196
98,205
98,214
34,68
51,102
98,223
100,260
94,189
100,269
100,278
47,95
101,313
48,96
4,8
1,2
98,200
99,254
44,89
62,125
98,209
83,166
15,31
100,264
18,36
36,72
109,331
101,308
76,153
97,194
33,66
99,249
91,183
100,259
94,188
0,1
101,294
47,94
65,130
101,303
101,312
112,336
61,123
79,159
99,235
82,164
99,244
14,29
99,253
108,329
