source,destination,label
3447,299,False
1701,238,False
2556,268,False
1802,242,False
2591,269,False
838,209,False
3641,305,True
578,200,False
3604,304,False
1118,218,False
3344,295,False
1525,232,False
2380,262,False
2019,249,False
2120,253,False
3697,307,True
475,196,False
402,194,False
489,197,False
2660,271,False
3067,285,False
1436,229,False
1537,233,False
1843,243,False
2017,249,False
1176,220,False
1053,216,False
1944,247,False
3329,295,False
3503,301,False
1684,238,False
720,205,False
3486,300,False
965,213,False
1000,214,False
3125,287,False
2262,258,False
1595,235,False
2002,249,False
258,20,False
2542,267,False
3015,284,False
2949,281,False
602,200,False
529,198,False
1318,225,False
2086,252,False
1419,229,False
3050,285,False
3544,302,False
1826,243,False
261,28,False
2071,251,False
426,194,False
2652,271,False
882,210,False
371,160,False
1428,229,False
2144,254,False
1463,230,False
3108,287,False
499,197,False
3454,299,False
3091,286,False
2424,263,False
2230,257,False
484,196,False
411,194,False
585,200,False
1252,223,False
1301,225,False
1968,248,False
2041,250,False
250,14,False
3005,283,False
1041,216,False
2794,276,False
2054,251,False
409,194,False
2461,265,False
1867,244,False
1794,242,False
2534,267,False
1605,235,False
3371,296,True
43,24,False
18,8,True
3596,304,False
235,148,False
2358,261,False
1517,232,False
626,201,False
2372,262,False
727,205,False
2953,282,False
3689,307,True
1134,219,False
1923,246,False
467,196,False
1183,221,False
267,36,False
379,168,False
3059,285,False
2168,254,False
1414,228,False
450,195,False
2676,272,False
2009,249,False
2711,273,False
2416,263,False
2517,267,False
3427,298,True
239,160,False
3478,300,False
1732,239,False
1833,243,False
2313,259,False
1472,230,False
2240,257,False
161,138,False
508,197,False
609,201,False
1573,234,False
14,6,False
3782,310,False
1261,223,False
2050,250,False
1362,227,False
1296,224,False
2151,254,False
3042,285,False
3115,287,False
433,195,False
3522,301,False
1891,245,False
3623,305,False
343,122,False
927,212,False
3309,294,True
60,76,False
3346,295,False
3433,298,False
1614,235,False
2382,262,False
182,180,False
1715,239,False
1455,230,False
491,197,False
136,86,False
2367,261,False
3257,292,False
3378,296,True
1438,229,False
1612,235,False
3664,306,False
3785,310,True
2997,283,False
1244,223,False
2033,250,False
2924,281,False
1279,224,False
3765,310,False
3505,301,False
1759,240,False
204,56,False
225,118,False
795,207,False
137,90,False
3750,309,False
2786,276,False
3488,300,False
1756,240,False
2821,277,False
2337,260,False
3416,298,False
1597,235,False
207,64,False
3843,312,True
1337,226,False
157,128,False
9,4,False
2249,257,False
3211,290,True
2350,261,False
3139,288,False
1386,228,False
705,204,False
1494,231,False
1421,229,False
3879,313,False
2879,279,False
1126,219,False
208,68,False
229,130,False
1901,245,False
1915,246,False
354,138,False
2247,257,False
3815,311,False
2668,272,False
1023,215,False
2703,273,False
211,76,False
112,38,False
864,210,False
1479,231,False
3355,295,False
3529,301,False
746,205,False
1825,243,False
2305,259,False
2232,257,False
486,196,False
660,202,False
587,200,False
1376,227,False
2043,250,False
2406,263,False
3021,284,False
3688,307,True
282,54,False
2129,253,False
1165,220,False
905,211,False
390,182,False
2447,264,False
2374,262,False
628,201,False
802,207,False
729,205,False
1693,238,False
2482,265,False
2114,253,False
2288,259,False
2548,268,False
469,196,False
1258,223,False
2955,282,False
2271,258,False
1604,235,False
2062,251,False
3830,312,False
52,52,False
2011,249,False
2112,253,False
3394,297,True
787,207,False
358,140,False
228,128,False
1327,225,False
3553,302,False
2329,260,False
2256,258,False
2430,264,False
684,203,False
611,201,False
2837,278,False
3747,309,True
3082,286,False
3871,313,False
3798,311,False
56,64,False
1437,229,False
2153,254,False
697,204,False
1486,231,False
2226,256,False
3117,287,False
124,62,False
1893,245,False
248,188,False
669,203,False
2239,257,False
1209,221,False
3536,302,False
1015,215,False
32,320,False
826,208,False
1790,241,False
2211,256,False
171,154,False
350,134,False
667,203,False
2543,267,False
1579,234,False
3259,292,False
2964,282,False
1319,225,False
3854,313,False
652,202,False
