source,destination,label
330,325,False
229,1594,False
245,2132,False
229,1332,False
222,572,False
295,3688,True
223,950,False
238,143,False
245,1958,False
290,3219,True
270,2823,False
311,3181,False
196,1214,False
10,378,False
238,2009,False
248,1641,False
12,344,False
270,2561,False
251,1470,False
216,827,False
310,3877,False
284,3445,False
262,2525,False
310,3615,False
328,217,False
262,2263,False
230,1711,False
304,3058,False
311,3790,False
275,233,False
208,529,False
231,1799,False
0,64,False
278,2889,False
278,2627,False
303,3754,False
223,718,False
230,1275,False
255,2402,False
303,3492,False
281,2572,False
255,2140,False
314,33,False
289,3682,False
256,2490,False
257,2868,False
12,374,False
295,3456,False
215,83,False
248,1409,False
238,1777,False
238,1515,False
263,2642,False
216,595,False
221,94,False
332,363,False
241,1460,False
202,523,False
230,1479,False
311,3558,False
293,3744,True
255,2344,False
0,56,False
288,3333,False
288,3071,False
244,161,False
6,205,False
290,3799,False
229,1913,False
303,3260,False
271,2708,False
195,400,False
281,2340,False
328,198,False
289,3450,False
249,1526,False
308,373,False
256,2258,False
255,2953,False
257,2636,False
235,1454,False
294,301,False
332,393,False
288,3275,False
248,1960,False
328,15,False
330,377,False
209,414,False
307,3322,True
0,86,False
195,604,False
4,156,False
262,2844,False
228,1331,False
294,3687,True
8,335,False
208,1110,False
282,2457,False
289,3189,False
298,322,False
322,79,False
283,2835,False
290,3567,False
268,2647,False
194,1038,False
227,2027,False
268,2385,False
230,1856,False
195,1213,False
249,1294,False
302,21,False
214,651,False
274,2159,False
255,2721,False
281,2891,False
248,174,False
308,3526,False
201,987,False
260,2349,False
230,119,False
250,178,False
334,389,False
288,270,False
228,1535,False
276,2712,False
293,3076,False
297,3545,False
228,1273,False
261,2262,False
216,1176,False
294,3629,True
8,281,True
241,2041,False
300,3228,False
202,1104,False
309,3643,True
227,1969,False
260,2958,False
304,17,True
263,2787,False
208,878,False
195,1155,False
282,2225,False
227,1795,False
268,2153,False
293,3018,False
0,67,False
195,981,False
261,2466,False
255,2489,False
214,419,False
261,2204,False
249,2107,False
239,1284,False
234,1947,False
201,755,False
276,2480,False
322,60,False
235,2035,False
301,3345,False
260,2900,False
241,1809,False
228,2086,False
253,1994,False
260,2726,False
297,319,False
2,113,False
