source,destination,label
34,318,False
1328,222,True
4096,317,False
4023,315,False
3045,281,False
3059,282,False
1313,221,False
1487,227,False
1414,225,False
3132,284,False
3640,302,False
1894,241,False
2973,279,False
3900,311,False
892,207,True
2956,278,False
3363,292,False
2696,269,False
943,209,False
1732,236,False
2436,260,False
3204,287,False
1472,227,False
329,96,False
2485,262,False
840,205,False
2520,263,False
422,48,False
3014,280,False
1195,217,False
1382,224,True
1296,221,False
1470,227,False
2260,254,False
3115,284,False
3522,298,False
598,180,False
3817,308,True
464,82,False
1034,212,True
4062,316,False
3767,306,False
1948,243,False
2122,249,False
3802,307,False
2838,274,False
1193,217,False
2578,265,False
69,38,False
825,205,False
282,174,False
1614,232,False
2679,269,False
80,48,False
3346,292,False
1946,243,False
2367,258,False
3142,284,False
2475,261,False
722,201,False
2402,259,False
155,120,True
757,202,False
2948,278,False
234,30,False
142,110,False
916,208,True
3228,287,False
2264,254,False
3944,312,False
2299,255,False
2004,245,False
1931,243,False
2105,249,False
2720,270,False
286,186,False
1075,213,False
1196,217,True
3684,303,False
590,174,False
881,207,False
41,319,False
225,194,False
177,146,False
3473,296,False
3546,298,False
1828,239,False
4054,316,False
3387,293,False
74,42,False
1901,242,False
1355,223,True
3370,292,False
3110,283,False
2146,250,False
3826,308,False
2247,254,False
2181,251,False
1886,241,False
1987,245,False
1043,212,True
1058,213,False
3688,303,False
2934,277,False
1303,221,False
3355,292,False
2674,268,False
3428,294,False
1710,235,False
3529,298,False
404,38,False
1811,239,False
375,186,False
3936,312,False
3985,314,False
1551,230,False
3252,288,False
2585,265,False
251,82,False
3353,292,False
2992,279,False
182,150,False
3093,283,False
2129,250,False
1462,227,False
1869,241,False
254,90,False
2882,276,False
2816,273,False
14,6,False
1852,240,False
3671,303,False
3411,294,False
1592,231,False
1766,237,False
1693,235,False
802,204,False
923,208,True
3818,308,False
285,184,False
908,207,False
4098,317,False
3134,284,False
3308,290,False
295,28,False
714,201,False
1489,227,False
3235,288,False
2874,275,False
2975,279,False
44,321,False
237,40,False
258,102,False
3220,287,False
2242,253,False
3887,310,False
3922,311,False
2291,255,False
1018,211,False
1807,238,False
2799,273,False
1908,242,False
2872,275,False
2886,276,False
3553,299,False
187,154,False
2560,264,False
1820,239,False
856,206,False
790,203,False
442,62,False
3016,280,False
4046,316,False
1437,226,False
1371,223,False
3117,284,False
367,172,False
1212,218,False
3362,292,False
439,62,False
1717,235,False
3769,306,False
3870,310,False
2124,249,False
1457,226,False
9,4,False
2173,251,False
2719,270,False
3435,295,False
2754,271,False
1001,211,False
1790,238,False
49,325,False
611,190,False
364,166,False
3507,297,False
1775,237,False
2543,264,False
724,201,False
3928,312,False
2266,254,False
342,120,False
1599,231,False
3651,302,False
635,198,False
3752,306,False
2006,245,False
3825,308,False
1339,222,False
1266,220,False
1143,216,False
2107,249,False
2896,276,False
3926,312,False
3317,291,False
883,207,False
3141,284,False
3548,298,False
2881,275,False
3649,302,False
1917,242,False
1844,240,False
1163,216,False
2685,269,False
3389,293,False
2425,260,False
44,332,False
339,114,False
794,204,False
1758,237,False
1322,222,True
2705,269,False
1741,236,False
3112,283,False
3967,313,False
1481,227,False
1582,231,False
3707,304,False
1221,218,False
1989,245,False
441,60,False
2778,272,False
765,203,False
3023,280,False
3791,307,False
3124,284,False
3430,294,False
3531,298,False
92,60,False
1045,212,False
360,156,False
1900,242,False
3271,289,False
2307,256,False
392,28,False
421,52,False
2552,264,False
3254,288,False
2587,265,False
1623,232,False
3849,309,False
2131,250,False
1361,223,True
1464,227,False
1101,214,True
3746,305,False
2905,276,False
2217,253,False
3006,280,False
3673,303,False
3413,294,False
1782,238,False
2189,252,False
3658,302,False
3759,306,False
2729,270,False
2535,264,False
789,203,False
2469,261,False
1505,228,False
1011,211,True
1606,232,False
51,20,False
1346,223,False
447,68,False
983,210,True
3222,287,False
4011,314,False
165,134,False
2839,274,False
2172,251,False
2099,249,False
2888,276,False
3555,299,False
1243,219,False
