source,destination
100,245
15,30
101,280
93,187
11,23
29,59
102,290
50,100
102,299
99,221
3,6
90,181
100,231
43,87
100,240
64,128
101,275
101,284
0,0
111,334
78,157
58,117
99,216
61,122
79,158
99,225
14,28
32,64
105,323
108,328
75,151
101,261
101,270
72,145
28,57
46,93
101,279
93,186
49,98
99,202
89,179
99,211
99,220
60,121
17,34
107,327
101,265
101,274
101,283
57,115
78,156
96,192
10,21
99,206
31,62
104,321
99,215
99,224
92,185
45,91
101,260
101,269
28,56
46,92
101,278
42,85
99,201
63,126
99,210
39,79
99,219
13,27
60,120
16,32
106,325
107,326
56,113
74,149
101,264
95,190
101,273
27,55
30,60
99,205
99,214
92,184
24,49
45,90
101,259
59,119
12,25
77,154
99,200
13,26
103,319
106,324
73,147
9,19
26,53
74,148
6,13
27,54
70,141
88,177
102,313
23,47
41,83
44,88
62,124
100,254
109,330
55,111
59,118
76,152
102,308
12,24
102,317
103,318
73,146
91,182
100,249
5,11
26,52
87,175
102,294
40,81
102,303
102,312
41,82
100,235
100,244
100,253
37,75
8,17
55,110
11,22
29,58
102,289
102,298
102,307
102,316
69,139
25,51
90,180
22,45
100,230
43,86
100,239
100,248
100,257
84,169
87,174
102,293
40,80
58,116
102,302
102,311
105,322
98,197
54,109
75,150
100,234
51,103
100,243
7,15
100,252
72,144
101,287
8,16
86,173
68,137
102,288
89,178
102,297
102,306
4,9
25,50
115,343
22,44
100,229
100,238
83,167
100,247
18,37
36,73
101,282
57,114
10,20
102,292
104,320
97,195
71,143
99,223
54,108
100,233
7,14
101,268
101,277
85,171
101,286
65,131
21,43
68,136
86,172
42,84
99,209
39,78
99,218
112,337
99,227
115,342
82,165
35,71
53,107
56,112
101,263
101,272
101,281
50,101
99,204
99,213
71,142
99,222
3,7
24,48
114,341
101,258
64,129
101,267
38,77
101,276
85,170
101,285
21,42
111,335
99,199
99,208
99,217
52,105
99,226
32,65
35,70
53,106
9,18
101,262
6,12
101,271
49,99
67,135
70,140
88,176
2,5
20,41
23,46
99,203
99,212
114,340
81,163
17,35
101,266
38,76
96,193
99,198
99,207
31,63
52,104
5,10
66,133
19,39
67,134
113,339
2,4
20,40
110,333
63,127
80,161
16,33
34,69
81,162
37,74
95,191
30,61
48,97
102,315
69,138
1,3
100,256
66,132
84,168
19,38
113,338
102,301
102,310
110,332
77,155
33,67
80,160
98,196
34,68
51,102
100,242
100,251
94,189
47,95
102,296
48,96
102,305
4,8
102,314
1,2
44,89
62,125
100,228
100,237
83,166
100,246
15,31
100,255
18,36
36,72
109,331
76,153
102,291
102,300
97,194
102,309
33,66
100,232
100,241
91,183
100,250
94,188
0,1
47,94
65,130
102,295
102,304
112,336
61,123
79,159
82,164
14,29
108,329
100,236
