source,destination
15,30
93,187
11,23
29,59
50,100
97,202
3,6
90,181
99,257
43,87
64,128
0,0
111,334
78,157
58,117
61,122
79,158
14,28
32,64
105,323
108,328
75,151
72,145
28,57
46,93
93,186
49,98
89,179
60,121
98,251
17,34
107,327
100,306
57,115
78,156
96,192
10,21
31,62
104,321
92,185
98,237
45,91
98,246
28,56
46,92
100,301
100,310
42,85
63,126
39,79
13,27
60,120
16,32
106,325
98,232
98,241
98,250
107,326
56,113
74,149
100,287
100,296
95,190
100,305
27,55
30,60
92,184
98,227
24,49
98,236
45,90
98,245
100,291
100,300
100,309
59,119
12,25
77,154
13,26
103,319
106,324
73,147
98,231
98,240
9,19
26,53
74,148
100,286
100,295
6,13
100,304
27,54
70,141
88,177
23,47
41,83
44,88
62,124
98,226
99,280
98,235
109,330
100,290
55,111
59,118
76,152
12,24
102,317
97,211
97,220
103,318
99,266
99,275
73,146
91,182
5,11
26,52
100,285
87,175
40,81
97,197
97,206
97,215
41,82
99,261
99,270
99,279
37,75
8,17
55,110
11,22
29,58
101,315
97,201
102,316
97,210
69,139
25,51
97,219
90,180
22,45
99,256
99,265
43,86
99,274
99,283
84,169
87,174
40,80
58,116
97,196
97,205
97,214
105,322
54,109
99,260
75,150
99,269
51,103
99,278
7,15
72,144
8,16
101,314
86,173
68,137
89,178
4,9
97,200
97,209
25,50
22,44
99,255
99,264
83,167
18,37
36,73
57,114
10,20
104,320
97,195
71,143
54,108
99,259
7,14
85,171
65,131
21,43
68,136
86,172
42,84
39,78
82,165
98,249
35,71
53,107
56,112
100,313
50,101
71,142
3,7
24,48
98,244
98,253
64,129
38,77
100,299
85,170
100,308
21,42
111,335
52,105
98,230
32,65
98,239
98,248
35,70
53,106
9,18
100,294
6,12
100,303
100,312
49,99
67,135
70,140
88,176
2,5
20,41
23,46
98,225
98,234
81,163
98,243
98,252
17,35
100,289
38,76
100,298
100,307
96,193
31,63
52,104
98,229
98,238
5,10
98,247
66,133
100,284
100,293
100,302
19,39
100,311
67,134
2,4
20,40
110,333
97,223
63,127
80,161
16,33
34,69
98,224
98,233
81,162
37,74
98,242
100,288
100,297
95,191
30,61
48,97
69,138
97,218
1,3
99,273
98,228
99,282
66,132
84,168
100,292
19,38
97,204
97,213
110,332
77,155
33,67
97,222
80,160
99,268
34,68
51,102
99,277
94,189
47,95
48,96
4,8
97,199
97,208
97,217
1,2
99,254
44,89
62,125
99,263
99,272
83,166
99,281
15,31
18,36
36,72
109,331
76,153
97,194
97,203
97,212
33,66
97,221
99,258
99,267
99,276
91,183
94,188
0,1
47,94
65,130
97,198
61,123
79,159
97,207
97,216
82,164
14,29
99,262
108,329
99,271
