source,destination,label
294,3497,False
272,2402,False
328,4,False
306,3682,False
10,378,False
239,2197,False
298,3384,False
212,836,False
305,3333,False
219,177,False
260,298,False
259,2709,False
332,238,False
314,592,False
216,898,True
245,1767,False
342,482,False
247,2292,False
259,2477,False
338,388,False
250,1801,False
245,1535,False
292,3408,False
202,79,False
284,3110,False
12,396,False
328,100,False
212,1243,False
237,2108,False
278,2466,False
250,1569,False
229,1810,False
16,417,False
223,1166,False
340,560,False
317,4041,False
216,1043,True
245,2174,False
245,1912,False
270,3039,False
311,3397,False
284,2878,False
208,1007,True
237,1876,False
237,1614,False
262,2741,False
229,1578,False
278,3105,False
340,456,False
299,469,False
278,2843,False
340,590,False
223,934,False
243,260,False
317,3809,False
300,482,False
4,79,False
270,2807,False
270,2545,False
271,3185,False
295,3672,False
336,337,False
340,407,False
262,2509,False
311,4036,False
311,3774,False
256,1865,False
12,541,False
251,276,False
303,3738,False
4,109,False
6,238,False
223,1311,False
330,197,False
215,1275,False
256,1633,False
290,3783,False
262,16,False
256,2242,False
248,2206,False
326,182,False
330,227,False
202,1320,False
290,3551,False
264,309,False
281,3137,False
206,1382,True
201,971,False
309,553,False
235,2251,False
260,3116,False
14,560,False
334,16,False
268,3182,False
207,108,True
201,739,False
254,1544,False
235,2019,False
260,2884,False
204,89,False
14,456,False
233,1523,False
14,590,False
205,626,False
287,2475,False
268,2950,False
14,407,False
305,519,False
297,458,False
247,2001,False
0,152,False
227,227,False
276,3045,False
219,1220,False
205,1381,False
340,26,False
4,173,False
224,645,False
280,2932,False
204,1061,True
305,4059,False
233,1930,False
258,2795,False
203,886,False
0,182,False
213,1447,False
272,2634,False
215,984,True
235,244,False
219,988,False
212,1127,True
238,251,False
313,3863,False
266,2861,False
211,690,False
305,3827,False
305,3565,False
233,1698,False
258,2563,False
252,1919,False
299,3792,False
219,756,False
299,3530,False
203,1263,False
244,1621,False
307,538,False
266,2629,False
291,3494,False
291,3232,False
292,3872,False
285,2850,False
279,353,False
252,1687,False
330,59,False
236,2194,False
277,2552,False
250,2295,False
198,53,False
299,3298,False
203,1031,False
222,1252,False
215,1391,True
16,619,False
285,2618,False
269,3125,False
330,89,False
311,564,False
236,1962,False
236,1700,False
237,2340,False
16,570,False
14,392,False
215,1159,True
16,387,False
244,2028,False
231,2305,False
14,471,False
269,2893,False
295,443,False
14,422,False
277,2959,False
302,496,False
222,788,False
231,2073,False
338,460,False
342,505,False
264,3004,False
303,3970,False
219,181,False
222,1427,False
332,242,False
289,389,False
212,137,True
220,931,False
223,202,False
309,3540,False
328,202,False
201,1435,False
332,272,False
332,10,False
254,2240,False
220,699,False
338,605,False
309,3308,False
201,1203,False
253,1630,False
254,2008,False
279,2873,False
207,744,False
332,253,False
199,708,False
317,614,False
286,2561,False
287,2939,False
211,1068,True
240,1937,False
240,1675,False
254,1776,False
213,1331,True
232,1639,False
332,283,False
16,451,False
273,2606,False
287,2707,False
12,460,False
16,530,False
199,1085,False
16,481,False
306,3537,False
4,113,False
273,2374,False
298,3239,False
6,242,False
10,312,False
218,1336,False
218,1074,False
2,148,False
340,520,False
306,3305,False
279,3048,False
210,776,False
232,1784,False
222,1398,True
222,1136,True
6,272,False
258,3027,False
277,347,False
218,842,False
243,1969,False
312,3979,False
2,178,False
243,1707,False
221,191,False
265,2715,False
266,3093,False
226,1169,False
291,3958,False
222,904,True
225,212,False
298,3646,False
2,208,False
299,4024,False
6,253,False
226,937,False
291,3726,False
251,1802,False
273,337,False
276,344,False
248,271,False
6,283,False
342,610,False
208,687,False
238,2109,False
243,2114,False
328,64,False
304,510,False
259,295,False
238,1877,False
328,94,False
247,268,False
271,2808,False
230,2188,False
227,706,False
283,2993,False
207,860,True
328,124,False
336,301,False
275,2695,False
209,1385,True
228,1693,False
238,2254,False
242,1532,False
316,3924,False
340,584,False
230,1956,False
300,476,False
4,73,False
283,2761,False
307,3248,False
308,3626,False
336,331,False
292,415,False
261,2362,False
340,535,False
216,1276,False
275,2463,False
316,3692,False
220,1163,False
294,3293,False
308,3394,False
4,54,False
253,2094,False
302,3359,False
336,312,False
275,3102,False
206,830,False
300,3967,False
4,139,False
198,794,False
267,2804,False
286,3025,False
210,1154,True
210,892,True
308,4033,False
239,1761,False
308,3771,False
253,1862,False
300,3735,False
212,138,False
221,4,False
286,2793,False
239,1529,False
310,561,False
247,2118,False
247,1856,False
