source,destination,label
71108,1797,False
65876,1753,False
16942,1341,False
60644,1709,False
11710,1297,False
101508,2052,False
103098,2065,False
96154,2007,False
97866,2021,False
76445,1841,False
73277,1815,False
71213,1797,False
64269,1739,False
68045,1771,False
59037,1695,False
93,28,False
61319,1714,False
56087,1670,False
3377,1226,False
45168,1579,False
34570,1490,False
36160,1503,False
29338,1446,False
39936,1535,False
27152,1427,False
30928,1459,False
66560,1758,False
8051,1267,False
10570,1288,False
50505,1623,False
43683,1566,False
45273,1579,False
20806,1374,False
30147,1452,False
11798,1298,False
15574,1330,False
6566,1254,False
96242,2008,False
100018,2040,False
97832,2021,False
91010,1964,False
8726,1272,False
92600,1977,False
82002,1888,False
83963,1905,False
78731,1861,False
68133,1772,False
69723,1785,False
62901,1728,False
64491,1741,False
53893,1652,False
82478,1892,False
1542,1106,False
25662,1415,False
73470,1816,False
68238,1772,False
61294,1714,False
56062,1670,False
429,104,False
43649,1566,False
52990,1644,False
34641,1490,False
38417,1522,False
29409,1446,False
33185,1478,False
36961,1510,False
27953,1434,False
15540,1330,False
3263,1090,False
21105,1376,False
6532,1254,False
10308,1286,False
15873,1332,False
11898,1299,False
5076,1242,False
101696,2054,False
52762,1642,False
96464,2010,False
47530,1598,False
42298,1554,False
37636,1515,False
32404,1471,False
20877,1374,False
8701,1272,False
96313,2008,False
100089,2040,False
103865,2072,False
91081,1964,False
94857,1996,False
98633,2028,False
85849,1920,False
89625,1952,False
86220,1924,False
77212,1848,False
80988,1880,False
68204,1772,False
75756,1836,False
71980,1804,False
62972,1728,False
66748,1760,False
70524,1792,False
61516,1716,False
49103,1612,False
91794,1970,False
47846,1601,False
40095,1536,False
43871,1568,False
34863,1492,False
38639,1524,False
75605,1834,False
70373,1790,False
17455,1346,False
65141,1746,False
12223,1302,False
68917,1778,False
59909,1702,False
63685,1734,False
2447,70,False
11986,1300,False
47496,1598,False
38488,1522,False
42264,1554,False
46040,1586,False
37032,1510,False
40808,1542,False
31800,1466,False
35576,1498,False
26568,1422,False
19387,1362,False
23163,1394,False
18130,1351,False
21906,1383,False
10379,1286,False
14155,1318,False
12898,1307,False
17931,1350,False
5147,1242,False
8923,1274,False
103831,2072,False
94823,1996,False
98599,2028,False
89591,1952,False
93367,1984,False
85616,1919,False
84359,1908,False
88135,1940,False
80384,1875,False
79127,1864,False
82903,1896,False
75152,1831,False
69920,1787,False
66714,1760,False
61482,1716,False
12548,1304,False
56250,1672,False
48499,1607,False
103936,2072,False
98704,2028,False
102480,2060,False
97248,2016,False
81059,1880,False
28141,1436,False
75827,1836,False
68883,1778,False
70595,1792,False
63651,1734,False
65363,1748,False
58419,1690,False
60131,1704,False
56925,1677,False
51693,1633,False
43942,1568,False
40774,1542,False
31766,1466,False
35542,1498,False
26534,1422,False
30310,1454,False
22559,1389,False
77996,1854,False
21302,1378,False
67398,1765,False
17327,1345,False
16070,1334,False
62166,1721,False
