index,is_init,is_goal
0,False,False
1,True,False
2,False,False
3,True,False
4,False,False
5,True,False
6,False,False
7,True,False
8,False,False
9,True,False
10,False,False
11,True,False
12,False,False
13,True,False
14,False,False
15,True,False
16,False,False
17,True,False
18,False,False
19,True,False
20,False,False
21,True,False
22,False,False
23,True,False
24,False,False
25,True,False
26,False,False
27,True,False
28,False,False
29,True,False
30,False,False
31,True,False
32,False,False
33,True,False
34,False,False
35,True,False
36,False,False
37,True,False
38,False,False
39,True,False
40,False,False
41,True,False
42,False,False
43,True,False
44,False,False
45,True,False
46,False,False
47,True,False
48,False,False
49,True,False
50,False,False
51,True,False
52,False,False
53,True,False
54,False,False
55,True,False
56,False,False
57,True,False
58,False,False
59,True,False
60,False,False
61,True,False
62,False,False
63,True,False
64,False,False
65,True,False
66,False,False
67,True,False
68,False,False
69,True,False
70,False,False
71,True,False
72,False,False
73,True,False
74,False,False
75,True,False
76,False,False
77,True,False
78,False,False
79,True,False
80,False,False
81,True,False
82,False,False
83,True,False
84,False,False
85,True,False
86,False,False
87,True,False
88,False,False
89,True,False
90,False,False
91,True,False
92,False,False
93,True,False
94,False,False
95,True,False
96,False,False
97,True,False
98,False,False
99,True,False
100,False,False
101,True,False
102,False,False
103,True,False
104,False,False
105,True,False
106,False,False
107,True,False
108,False,False
109,True,False
110,False,False
111,True,False
112,False,False
113,True,False
114,False,False
115,True,False
116,False,False
117,True,False
118,False,False
119,True,False
120,False,False
121,True,False
122,False,False
123,True,False
124,False,False
125,True,False
126,False,False
127,True,False
128,False,False
129,True,False
130,False,False
131,True,False
132,False,False
133,True,False
134,False,False
135,True,False
136,False,False
137,True,False
138,False,False
139,True,False
140,False,False
141,True,False
142,False,False
143,True,False
144,False,False
145,True,False
146,False,False
147,True,False
148,False,False
149,True,False
150,False,False
151,True,False
152,False,False
153,True,False
154,False,True
155,True,False
156,False,False
157,True,False
158,False,False
159,True,False
160,False,False
161,True,False
162,False,False
163,True,False
164,False,False
165,True,False
166,False,True
167,True,False
168,False,False
169,True,False
170,False,False
171,True,False
172,False,False
173,True,False
174,False,False
175,True,False
176,False,True
177,True,False
178,False,False
179,True,False
180,False,False
181,True,False
182,False,False
183,True,False
184,False,True
185,True,False
186,False,True
187,True,False
188,False,False
189,True,False
190,False,False
191,True,False
192,False,False
193,True,False
194,False,False
195,True,False
196,False,False
197,True,False
198,False,False
199,True,False
200,False,True
201,True,False
202,False,True
203,True,False
204,False,False
205,True,False
206,False,False
207,True,False
208,False,False
209,True,False
210,False,True
211,True,False
212,False,False
213,True,False
214,False,False
215,True,False
216,False,False
217,True,False
218,False,True
219,True,False
220,False,False
221,True,False
222,False,False
223,True,False
224,False,False
225,True,False
226,False,False
227,True,False
228,False,True
229,True,False
230,False,False
231,True,False
232,False,False
233,True,False
234,False,False
235,True,False
236,False,False
237,True,False
238,False,False
239,True,False
240,False,True
241,True,False
242,False,True
243,True,False
244,False,False
245,True,False
246,False,False
247,True,False
248,False,False
249,True,False
250,False,False
251,True,False
252,False,True
253,True,False
254,False,False
255,True,False
256,False,False
257,True,False
258,False,True
259,True,False
260,False,False
261,True,False
262,False,False
263,True,False
264,False,False
265,True,False
266,False,False
267,True,False
268,False,False
269,True,False
270,False,False
271,True,False
272,False,True
273,True,False
274,False,False
275,True,False
276,False,True
277,True,False
278,False,False
279,True,False
280,False,False
281,True,False
282,False,True
283,True,False
284,False,False
285,True,False
286,False,False
287,True,False
288,False,False
289,True,False
290,False,False
291,True,False
292,False,True
293,True,False
294,False,False
295,True,False
296,False,False
297,True,False
298,False,False
299,True,False
300,False,False
301,True,False
302,False,False
303,True,False
304,False,True
305,True,False
306,False,False
307,True,False
308,False,False
309,True,False
310,False,False
311,True,False
312,False,True
313,True,False
314,False,False
315,True,False
316,False,True
317,True,False
318,False,False
319,True,False
320,False,False
321,True,False
322,False,False
323,True,False
324,False,False
325,True,False
326,False,False
327,True,False
328,False,False
329,True,False
330,False,False
331,True,False
332,False,False
333,True,False
334,False,False
335,True,False
336,False,False
337,True,False
338,False,False
339,True,False
340,False,False
341,True,False
342,False,False
343,True,False
344,False,False
345,True,False
346,False,False
347,True,False
348,False,False
349,True,False
350,False,False
351,True,False
352,False,False
353,True,False
354,False,False
355,True,False
356,False,False
357,True,False
358,False,False
359,True,False
360,False,False
361,True,False
362,False,False
363,True,False
364,False,False
365,True,False
366,False,False
367,True,False
368,False,False
369,True,False
370,False,False
371,True,False
372,False,False
373,True,False
