source,destination,label
345,5227,False
390,6051,False
322,3333,False
333,270,False
388,6634,False
321,3137,False
401,5515,False
403,581,False
301,3312,False
346,4136,False
270,1566,False
350,3944,False
368,4352,False
381,5691,False
313,2973,False
385,5499,False
317,2781,False
438,349,False
261,1206,False
283,2,False
325,239,False
304,2613,False
308,2421,False
18,585,False
351,3828,False
329,3691,False
333,3499,False
378,4323,False
18,536,False
364,5246,False
376,4906,False
342,4522,False
332,3303,False
300,2336,False
309,3359,False
299,2140,False
434,260,False
324,3139,False
369,3963,False
293,1393,False
389,5816,False
336,2800,False
393,5624,False
379,4207,False
405,599,False
12,396,False
413,6619,False
414,6894,False
380,5456,False
327,2440,False
12,347,False
296,772,False
373,4513,False
405,6534,False
331,2327,False
409,6342,False
308,171,False
316,3717,False
372,5371,False
285,1971,False
365,4349,False
376,5179,False
289,1779,False
4,262,False
277,2197,False
12,377,False
396,6174,False
264,1950,False
377,4010,False
320,3604,False
400,5982,False
300,3779,False
345,4603,False
369,4236,False
269,2033,False
356,3989,False
367,4819,False
412,5643,False
6,208,False
276,1689,False
444,577,False
312,3440,False
268,1837,False
281,1694,False
325,2321,False
404,5479,False
12,407,False
360,3876,False
292,1158,False
260,1673,False
303,3080,False
401,6920,False
4,243,False
284,994,False
340,4130,False
339,296,False
272,1412,False
440,300,False
16,428,False
306,3746,False
380,6899,False
283,798,False
387,469,False
349,5153,False
394,5977,False
307,2967,False
385,6904,False
392,6560,False
288,881,False
361,4814,False
341,4989,False
263,1052,False
397,6643,False
267,860,False
353,4650,False
264,2223,False
440,330,False
321,2707,False
6,140,False
14,579,False
345,4876,False
356,4262,False
388,6283,False
301,2961,False
344,4290,False
376,406,False
18,466,False
446,34,False
14,609,False
348,4177,False
415,665,False
295,1239,False
261,855,False
14,426,False
14,560,False
415,6387,False
352,5234,False
333,3148,False
364,4895,False
296,2177,False
376,4555,False
362,365,False
426,56,False
375,4359,False
365,373,False
324,2788,False
407,610,False
287,1817,False
367,4195,False
323,2592,False
291,1625,False
336,2449,False
359,4421,False
379,3856,False
315,2428,False
413,6268,False
282,1265,False
401,6296,False
325,3726,False
405,6104,False
368,5133,False
18,641,False
360,5281,False
434,152,False
372,4941,False
304,3705,False
417,5765,False
348,324,False
373,4162,False
273,1959,False
409,5991,False
316,3366,False
396,5744,False
361,363,False
385,454,False
308,3592,False
363,4581,False
408,5405,False
351,4999,False
332,2835,False
264,1599,False
275,89,False
276,1259,False
400,5631,False
300,3428,False
345,4252,False
387,5384,False
8,169,False
343,4835,False
367,4468,False
312,3089,False
348,3864,False
280,1146,False
323,2475,False
355,4496,False
442,572,False
311,2893,False
389,6908,False
292,807,False
260,1322,False
272,982,False
358,4108,False
379,5299,False
303,2729,False
0,84,False
401,6569,False
4,154,False
347,321,False
442,523,False
271,786,False
436,141,False
444,652,False
380,6548,False
384,451,False
349,4802,False
392,6209,False
339,3193,False
371,5214,False
331,3419,False
0,114,False
442,553,False
384,6045,False
8,229,False
419,5650,False
319,3447,False
444,682,False
371,393,False
356,3911,False
377,5102,False
343,5108,False
299,1165,False
388,5932,False
16,619,False
301,2610,False
408,6927,False
428,86,False
291,1001,False
357,5356,False
16,570,False
444,450,False
369,5017,False
383,5380,False
335,3579,False
295,888,False
416,6232,False
348,4996,False
338,2295,False
404,6650,False
415,6036,False
339,3466,False
360,4657,False
2,103,False
364,4465,False
296,1747,False
352,4883,False
284,2165,False
395,6290,False
319,3720,False
376,4204,False
362,5127,False
275,1805,False
355,4183,False
2,133,False
324,2437,False
390,491,False
403,585,False
310,3360,False
10,382,False
322,3020,False
390,5738,False
367,3844,False
291,1274,False
402,5399,False
411,6422,False
313,3714,False
356,5043,False
442,27,False
282,914,False
348,5269,False
10,412,False
391,6676,False
360,4930,False
274,750,False
372,4590,False
304,3354,False
340,5105,False
328,251,False
262,1168,False
347,4761,False
394,517,False
271,2191,False
316,3015,False
396,5393,False
381,429,False
320,2823,False
442,453,False
363,4230,False
298,1632,False
430,85,False
264,1248,False
276,908,False
324,236,False
300,3077,False
438,334,False
311,2463,False
343,4484,False
267,1914,False
354,3870,False
332,3733,False
446,662,False
389,6557,False
373,398,False
336,3541,False
430,115,False
260,971,False
379,4948,False
438,364,False
442,434,False
446,613,False
323,3373,False
392,5779,False
380,6197,False
327,3181,False
359,5202,False
432,195,False
290,2210,False
415,5412,False
294,2018,False
339,2842,False
438,394,False
300,139,False
432,146,False
311,183,False
384,5694,False
374,4475,False
319,3096,False
16,451,False
417,6936,False
286,1933,False
299,814,False
408,6576,False
322,2396,False
307,168,False
418,6741,False
314,2544,False
412,6384,False
352,334,False
12,411,False
440,353,False
281,1381,False
379,5221,False
400,6412,False
404,6220,False
326,2283,False
411,5798,False
292,1899,False
335,3228,False
399,6216,False
367,5249,False
16,694,False
323,3646,False
403,6024,False
348,4645,False
280,1927,False
366,5053,False
346,5228,False
