source,destination
15,30
93,187
11,23
29,59
131,317
131,326
50,100
131,335
3,6
133,381
90,181
133,390
133,399
111,222
129,258
133,408
43,87
146,445
64,128
143,439
125,251
0,0
131,303
122,245
78,157
131,312
131,321
131,330
58,117
131,339
61,122
79,158
133,385
14,28
32,64
133,394
75,151
72,145
28,57
46,93
93,186
49,98
131,307
131,316
131,325
132,379
89,179
107,215
131,334
128,256
60,121
133,380
133,389
17,34
146,444
143,438
125,250
57,115
131,302
122,244
78,156
96,192
131,311
132,365
131,320
132,374
10,21
31,62
134,420
92,185
45,91
110,220
145,443
28,56
46,92
106,213
132,351
131,306
132,360
132,369
42,85
132,378
107,214
63,126
39,79
13,27
142,437
60,120
16,32
130,292
121,243
56,113
74,149
95,190
27,55
132,346
30,60
131,301
132,355
132,364
132,373
92,184
130,287
24,49
130,296
45,90
145,442
103,207
59,119
132,341
106,212
124,248
132,350
132,359
12,25
132,368
77,154
120,241
13,26
130,273
130,282
130,291
73,147
9,19
26,53
74,148
6,13
27,54
132,345
132,354
70,141
88,177
132,363
109,218
23,47
41,83
130,268
44,88
62,124
130,277
130,286
141,435
130,295
144,440
102,205
123,246
55,111
59,118
76,152
132,340
132,349
12,24
117,235
130,263
120,240
130,272
130,281
133,417
130,290
73,146
91,182
5,11
26,52
87,175
105,211
108,216
132,344
40,81
140,433
41,82
130,267
133,403
130,276
101,203
119,239
133,412
130,285
141,434
37,75
8,17
137,427
55,110
11,22
29,58
116,233
69,139
25,51
90,180
130,262
133,398
22,45
130,271
133,407
43,86
133,416
104,209
84,169
87,174
105,210
131,329
139,431
40,80
58,116
131,338
118,237
133,384
140,432
133,393
98,197
54,109
130,266
133,402
101,202
119,238
75,150
133,411
51,103
7,15
72,144
115,231
8,16
131,315
86,173
68,137
131,324
89,178
131,333
4,9
25,50
133,388
133,397
22,44
133,406
133,415
83,167
104,208
18,37
36,73
57,114
131,310
136,425
131,319
10,20
131,328
139,430
131,337
97,195
71,143
118,236
133,383
133,392
54,108
133,401
7,14
85,171
65,131
131,305
21,43
131,314
68,136
86,172
42,84
131,323
132,377
131,332
39,78
142,436
82,165
100,201
133,387
133,396
121,242
35,71
53,107
56,112
135,423
131,300
114,229
131,309
136,424
131,318
132,372
131,327
50,101
71,142
3,7
133,382
24,48
129,259
64,129
38,77
85,170
103,206
138,429
131,304
21,42
132,358
131,313
132,367
132,376
99,199
52,105
100,200
130,299
32,65
35,70
53,106
9,18
6,12
135,422
49,99
67,135
132,353
114,228
70,140
88,176
131,308
132,362
2,5
20,41
132,371
23,46
128,257
130,294
81,163
102,204
17,35
38,76
132,348
138,428
132,357
96,193
132,366
132,375
99,198
117,234
31,63
134,421
52,104
130,280
130,289
130,298
113,227
5,10
110,221
66,133
19,39
67,134
132,343
132,352
132,361
127,255
2,4
20,40
132,370
63,127
80,161
130,275
130,284
16,33
34,69
130,293
81,162
37,74
137,426
95,191
116,232
132,347
30,61
48,97
132,356
69,138
1,3
130,261
130,270
130,279
130,288
130,297
113,226
66,132
84,168
19,38
132,342
124,249
127,254
77,155
33,67
80,160
98,196
130,265
130,274
133,410
130,283
133,419
34,68
51,102
94,189
112,225
115,230
47,95
147,447
48,96
4,8
109,219
126,253
1,2
130,260
130,269
133,405
44,89
62,125
130,278
133,414
83,166
15,31
144,441
18,36
36,72
123,247
76,153
131,336
97,194
33,66
133,391
130,264
133,400
111,223
133,409
133,418
91,183
94,188
112,224
0,1
47,94
65,130
131,322
108,217
131,331
147,446
61,123
79,159
126,252
82,164
133,386
14,29
133,395
133,404
133,413
